"","EQUIPO","AVG ASISTENCIA GIRA","MAXIMA ASISTENCIA CASA","MENOR ASISTENCIA CASA","AVG ASISTENCIA CASA","ASISTENCIA TOTAL CASA"
"1","Charros de Jalisco",4742,9513,2656,3942,130095
"2","Guerreros de Oaxaca",4500,7200,1100,2698,89028
"3","Pericos de Puebla",4267,9892,3690,5201,171628
"4","Piratas de Campeche",3956,4321,1,1473,45658
"5","Acereros del Norte",4767,8500,3294,4388,153584
"6","Rieleros de Aguascalientes",4478,5344,1851,3237,110042
"7","Leones de Yucatan",4573,5329,1,3290,98690
"8","Toros de Tijuana",4378,17016,3983,9859,325351
"9","Sultanes de Monterrey",4586,18010,1,8445,253344
"10","Bravos de Leon",4419,6097,1467,4182,146365
"11","Diablos Rojos del Mexico",5789,19989,5554,11812,425219
"12","Saraperos de Saltillo",5798,10480,3481,6681,220470
"13","Tecos de los Dos Laredos",4315,7103,2973,3759,131566
"14","Tigres de Quintana Roo",4884,10285,2046,5543,171844
"15","Olmecas de Tabasco",4965,7498,1366,3482,125356
"16","Caliente de Durango",4824,5081,512,1801,61248
"17","Conspiradores de Queretaro",3714,4672,1,1799,61181
"18","El Aguila de Veracruz",4037,7310,1430,3332,113301
"19","Dorados de Chihuahua",5234,6835,248,1706,68220
"20","Algodoneros Union Laguna",5007,7640,5224,6993,251749
