"","EQUIPO","AVG ASISTENCIA GIRA","MAXIMA ASISTENCIA CASA","MENOR ASISTENCIA CASA","APERTURAS EN CASA","AVG ASISTENCIA CASA","ASISTENCIA TOTAL CASA","CAPACIDAD","PCT CAPACIDAD"
"1","Acereros del Norte",5334,8500,3294,36,4379,157645,8500,52
"2","Algodoneros Union Laguna",4955,7640,5224,41,6997,286869,7689,91
"3","Bravos de Leon",4536,6097,1467,38,4058,154197,6500,62
"4","Caliente de Durango",4943,5081,512,37,1773,65603,4983,36
"5","Charros de Jalisco",4610,9513,2122,39,3819,148928,16500,23
"6","Conspiradores de Queretaro",3566,4672,1,35,1791,62699,6800,26
"7","Diablos Rojos del Mexico",5764,19989,5554,40,11598,463908,20062,58
"8","Dorados de Chihuahua",5014,6835,248,41,1664,68220,15500,11
"9","El Aguila de Veracruz",4093,7310,1380,35,3277,114681,7319,45
"10","Guerreros de Oaxaca",4815,7200,1100,35,2665,93269,7200,37
"11","Leones de Yucatan",4325,5329,1,32,3219,103023,5104,63
"12","Olmecas de Tabasco",4706,7498,1366,39,3521,137319,6600,53
"13","Pericos de Puebla",4259,9892,3581,36,5157,185666,9200,56
"14","Piratas de Campeche",3848,4321,1,35,1481,51840,4190,35
"15","Rieleros de Aguascalientes",4404,5344,1851,37,3321,122865,6496,51
"16","Saraperos de Saltillo",5750,10480,3481,39,6747,263117,11000,61
"17","Sultanes de Monterrey",4824,18010,1,33,8616,284329,21803,40
"18","Tecos de los Dos Laredos",4182,7103,2973,39,3731,145499,5000,75
"19","Tigres de Quintana Roo",4735,10285,2046,36,5296,190670,10825,49
"20","Toros de Tijuana",4321,17016,3983,34,9688,329396,17000,57
