"","team_records_team_name","team_records_wins","team_records_losses","team_records_winning_percentage","W_vs_Sur","L_vs_Sur","PCT_vs_Sur","W_vs_Nte","L_vs_Nte","PCT_vs_Nte"
"1","Bravos de Leon",27,39,".409",22,32,".407",5,7,".417"
"2","Olmecas de Tabasco",35,32,".522",30,25,".545",5,7,".417"
"3","Algodoneros Union Laguna",40,26,".606",7,5,".583",33,21,".611"
"4","Leones de Yucatan",35,27,".565",29,21,".580",6,6,".500"
"5","Saraperos de Saltillo",34,33,".507",2,9,".182",32,24,".571"
"6","Pericos de Puebla",35,32,".522",32,23,".582",3,9,".250"
"7","Piratas de Campeche",22,41,".349",17,34,".333",5,7,".417"
"8","Rieleros de Aguascalientes",31,36,".463",9,3,".750",22,33,".400"
"9","Diablos Rojos del Mexico",53,15,".779",44,13,".772",9,2,".818"
"10","Tecos de los Dos Laredos",40,28,".588",7,5,".583",33,23,".589"
"11","Acereros del Norte",37,29,".561",8,4,".667",29,25,".537"
"12","Sultanes de Monterrey",41,25,".621",8,4,".667",33,21,".611"
"13","Tigres de Quintana Roo",19,46,".292",16,37,".302",3,9,".250"
"14","Dorados de Chihuahua",25,43,".368",4,8,".333",21,35,".375"
"15","Guerreros de Oaxaca",34,32,".515",26,28,".481",8,4,".667"
"16","Caliente de Durango",24,43,".358",4,8,".333",20,35,".364"
"17","Toros de Tijuana",36,31,".537",5,7,".417",31,24,".564"
"18","El Aguila de Veracruz",31,33,".484",25,27,".481",6,6,".500"
"19","Conspiradores de Queretaro",34,31,".523",26,27,".491",8,4,".667"
"20","Charros de Jalisco",28,39,".418",7,5,".583",21,34,".382"
