"","team_name","attendance_average_home","attendance_total_home"
"1","Guerreros de Oaxaca",2763,162991
"2","Pericos de Puebla",4693,248725
"3","Piratas de Campeche",1743,87151
"4","Acereros del Norte",5917,349127
"5","Rieleros de Aguascalientes",2001,112080
"6","Leones de Yucatan",8673,520350
"7","Toros de Tijuana",11291,677464
"8","Sultanes de Monterrey",9770,556872
"9","Bravos de Leon",3337,183545
"10","Diablos Rojos del Mexico",7216,389642
"11","Saraperos de Saltillo",6398,377500
"12","Tecos de los Dos Laredos",3669,220110
"13","Tigres de Quintana Roo",3839,226526
"14","Olmecas de Tabasco",2107,126448
"15","Generales de Durango",3219,180250
"16","Algodoneros Union Laguna",3560,199381
