"","venue_name","team_full_name","hits_per9inn","runs_per9inn","total_hits","total_runs","pitches_per_pitcher","pr_portal_calculated_fields_time_per9inn_game"
"1","Estadio Mobil Super","Sultanes de Monterrey",20.66,11.47,854,474,28.545,"03:01:27"
"2","Estadio Hermanos Serdan","Pericos de Puebla",21.74,12.76,1000,587,26.363,"03:03:49"
"3","Estadio Alberto Romo Chavez","Rieleros de Aguascalientes",21.92,12.87,952,559,27.613,"03:02:37"
"4","Parque Nelson Barrera Romellon","Piratas de Campeche",17.44,9.97,752,430,29.984,"03:00:08"
"5","Estadio Kickapoo Lucky Eagle","Acereros del Norte",18.99,10,820,432,28.013,"02:57:27"
"6","Parque Lic. Eduardo Vasconcelos","Guerreros de Oaxaca",23.18,14.18,960,587,28.38,"03:11:54"
"7","Parque Francisco I. Madero","Saraperos de Saltillo",21.84,11.64,983,524,26.591,"03:01:34"
"8","Parque Centenario 27 de Febrero","Olmecas de Tabasco",15.64,7.35,675,317,31.088,"02:55:16"
"9","Estadio de la Revolucion","Algodoneros Union Laguna",19.08,10.29,890,480,27.096,"03:07:44"
"10","Estadio Chevron","Toros de Tijuana",16.14,8.59,716,381,27.839,"02:52:41"
"11","Estadio Universitario Beto Avila","El Aguila de Veracruz",17.03,9.28,780,425,30.902,"02:59:58"
"12","Estadio Chihuahua","Dorados de Chihuahua",22.49,12.78,1065,605,27.554,"03:03:01"
"13","Parque la Junta","Tecos de los Dos Laredos",20.11,10.3,463,237,30.38,"02:50:41"
"14","Estadio De Beisbol Beto Avila","Tigres de Quintana Roo",16.05,7.52,709,332,28.738,"03:02:25"
"15","Estadio Panamericano","Charros de Jalisco",22.36,13.74,947,582,28.768,"03:06:07"
"16","Parque Domingo Santana","Bravos de Leon",22.59,13.54,944,566,28.292,"03:16:16"
"17","Estadio Francisco Villa","Caliente de Durango",21.74,13.52,958,596,27.841,"03:12:20"
"18","Estadio Alfredo Harp Helu","Diablos Rojos del Mexico",23.15,14.08,988,601,29.135,"03:06:14"
"19","Estadio Conspiradores","Conspiradores de Queretaro",24.86,15.82,984,626,31.886,"03:19:25"
"20","Estadio de Beisbol VIctor Cervera Pacheco","Leones de Yucatan",16.95,8.87,705,369,30.688,"02:50:56"
