"","team_records_division_rank","team_records_team_name","team_records_wins","team_records_losses","team_records_league_record_pct","team_records_division_games_back","team_records_streak_streak_code"
"1","1","Sultanes de Monterrey",34,16,".680","-","W1"
"2","2","Acereros del Norte",28,22,".560","6.0","L1"
"3","3","Algodoneros Union Laguna",28,22,".560","6.0","L1"
"4","4","Tecos de los Dos Laredos",28,22,".560","6.0","W1"
"5","5","Toros de Tijuana",27,23,".540","7.0","W3"
"6","6","Rieleros de Aguascalientes",25,25,".500","9.0","L1"
"7","7","Saraperos de Saltillo",24,25,".490","9.5","W2"
"8","8","Charros de Jalisco",20,30,".400","14.0","L2"
"9","9","Caliente de Durango",19,31,".380","15.0","W1"
"10","10","Dorados de Chihuahua",18,32,".360","16.0","L2"
