"","team_records_division_rank","team_records_team_name","team_records_wins","team_records_losses","team_records_league_record_pct","team_records_division_games_back","team_records_streak_streak_code"
"1","1","Diablos Rojos del Mexico",39,10,".796","-","W1"
"2","2","Leones de Yucatan",29,20,".592","10.0","W1"
"3","3","Conspiradores de Queretaro",28,22,".560","11.5","W2"
"4","4","Guerreros de Oaxaca",27,23,".540","12.5","W1"
"5","5","Olmecas de Tabasco",26,24,".520","13.5","L1"
"6","6","Pericos de Puebla",24,26,".480","15.5","L1"
"7","7","El Aguila de Veracruz",23,26,".469","16.0","W1"
"8","8","Bravos de Leon",22,27,".449","17.0","L1"
"9","9","Piratas de Campeche",15,34,".306","24.0","L1"
"10","10","Tigres de Quintana Roo",13,37,".260","26.5","L4"
