"","i","team_records_team_name","LAG Rank","LAG Pct"
"1","2024-04-11","Algodoneros Union Laguna","2",".000"
"2","2024-04-12","Algodoneros Union Laguna","1","1.000"
"3","2024-04-13","Algodoneros Union Laguna","1","1.000"
"4","2024-04-14","Algodoneros Union Laguna","1","1.000"
"5","2024-04-15","Algodoneros Union Laguna","1","1.000"
"6","2024-04-16","Algodoneros Union Laguna","2",".750"
"7","2024-04-17","Algodoneros Union Laguna","3",".600"
"8","2024-04-18","Algodoneros Union Laguna","4",".500"
"9","2024-04-19","Algodoneros Union Laguna","4",".571"
"10","2024-04-20","Algodoneros Union Laguna","5",".500"
"11","2024-04-21","Algodoneros Union Laguna","6",".444"
"12","2024-04-22","Algodoneros Union Laguna","6",".444"
"13","2024-04-23","Algodoneros Union Laguna","4",".500"
"14","2024-04-24","Algodoneros Union Laguna","7",".455"
"15","2024-04-25","Algodoneros Union Laguna","4",".500"
"16","2024-04-26","Algodoneros Union Laguna","5",".462"
"17","2024-04-27","Algodoneros Union Laguna","6",".429"
"18","2024-04-28","Algodoneros Union Laguna","5",".467"
"19","2024-04-29","Algodoneros Union Laguna","5",".467"
"20","2024-04-30","Algodoneros Union Laguna","5",".500"
"21","2024-05-01","Algodoneros Union Laguna","5",".471"
"22","2024-05-02","Algodoneros Union Laguna","5",".500"
"23","2024-05-03","Algodoneros Union Laguna","6",".474"
"24","2024-05-04","Algodoneros Union Laguna","4",".500"
"25","2024-05-05","Algodoneros Union Laguna","4",".524"
"26","2024-05-06","Algodoneros Union Laguna","4",".524"
"27","2024-05-07","Algodoneros Union Laguna","5",".500"
"28","2024-05-08","Algodoneros Union Laguna","4",".522"
"29","2024-05-09","Algodoneros Union Laguna","4",".542"
"30","2024-05-10","Algodoneros Union Laguna","3",".560"
"31","2024-05-11","Algodoneros Union Laguna","3",".538"
"32","2024-05-12","Algodoneros Union Laguna","5",".519"
"33","2024-05-13","Algodoneros Union Laguna","5",".519"
"34","2024-05-14","Algodoneros Union Laguna","6",".500"
"35","2024-05-15","Algodoneros Union Laguna","6",".483"
"36","2024-05-16","Algodoneros Union Laguna","5",".500"
"37","2024-05-17","Algodoneros Union Laguna","5",".516"
"38","2024-05-18","Algodoneros Union Laguna","5",".531"
"39","2024-05-19","Algodoneros Union Laguna","4",".545"
"40","2024-05-20","Algodoneros Union Laguna","3",".559"
"41","2024-05-21","Algodoneros Union Laguna","5",".543"
"42","2024-05-22","Algodoneros Union Laguna","4",".556"
"43","2024-05-23","Algodoneros Union Laguna","2",".556"
"44","2024-05-25","Algodoneros Union Laguna","2",".556"
"45","2024-05-27","Algodoneros Union Laguna","2",".556"
"46","2024-05-28","Algodoneros Union Laguna","2",".568"
"47","2024-05-29","Algodoneros Union Laguna","2",".579"
"48","2024-05-30","Algodoneros Union Laguna","2",".564"
"49","2024-05-31","Algodoneros Union Laguna","2",".575"
"50","2024-06-01","Algodoneros Union Laguna","2",".595"
"51","2024-06-02","Algodoneros Union Laguna","2",".595"
"52","2024-06-03","Algodoneros Union Laguna","2",".595"
"53","2024-06-04","Algodoneros Union Laguna","2",".581"
"54","2024-06-05","Algodoneros Union Laguna","2",".568"
"55","2024-06-06","Algodoneros Union Laguna","2",".578"
"56","2024-06-07","Algodoneros Union Laguna","2",".578"
"57","2024-06-08","Algodoneros Union Laguna","4",".565"
"58","2024-06-09","Algodoneros Union Laguna","2",".574"
"59","2024-06-10","Algodoneros Union Laguna","3",".563"
"60","2024-06-11","Algodoneros Union Laguna","3",".571"
"61","2024-06-12","Algodoneros Union Laguna","3",".560"
"62","2024-06-13","Algodoneros Union Laguna","3",".569"
"63","2024-06-14","Algodoneros Union Laguna","3",".577"
"64","2024-06-15","Algodoneros Union Laguna","3",".566"
"65","2024-06-16","Algodoneros Union Laguna","3",".574"
"66","2024-06-17","Algodoneros Union Laguna","2",".574"
"67","2024-06-18","Algodoneros Union Laguna","2",".582"
"68","2024-06-19","Algodoneros Union Laguna","2",".582"
"69","2024-06-20","Algodoneros Union Laguna","2",".582"
"70","2024-06-21","Algodoneros Union Laguna","2",".589"
"71","2024-06-22","Algodoneros Union Laguna","2",".579"
"72","2024-06-23","Algodoneros Union Laguna","2",".586"
"73","2024-06-24","Algodoneros Union Laguna","2",".586"
"74","2024-06-25","Algodoneros Union Laguna","2",".593"
"75","2024-06-26","Algodoneros Union Laguna","2",".600"
"76","2024-06-27","Algodoneros Union Laguna","2",".607"
"77","2024-06-28","Algodoneros Union Laguna","2",".607"
"78","2024-06-29","Algodoneros Union Laguna","2",".603"
"79","2024-06-30","Algodoneros Union Laguna","2",".609"
"80","2024-07-01","Algodoneros Union Laguna","2",".609"
"81","2024-07-02","Algodoneros Union Laguna","1",".615"
"82","2024-07-03","Algodoneros Union Laguna","2",".606"
"83","2024-07-04","Algodoneros Union Laguna","1",".612"
"84","2024-07-05","Algodoneros Union Laguna","1",".603"
"85","2024-07-06","Algodoneros Union Laguna","1",".609"
"86","2024-07-07","Algodoneros Union Laguna","1",".600"
"87","2024-07-08","Algodoneros Union Laguna","2",".600"
"88","2024-07-09","Algodoneros Union Laguna","2",".592"
"89","2024-07-10","Algodoneros Union Laguna","1",".597"
"90","2024-07-11","Algodoneros Union Laguna","1",".589"
"91","2024-07-12","Algodoneros Union Laguna","2",".581"
"92","2024-07-13","Algodoneros Union Laguna","3",".581"
"93","2024-07-14","Algodoneros Union Laguna","3",".566"
"94","2024-07-15","Algodoneros Union Laguna","3",".566"
"95","2024-07-16","Algodoneros Union Laguna","2",".571"
"96","2024-07-17","Algodoneros Union Laguna","3",".564"
"97","2024-07-18","Algodoneros Union Laguna","2",".570"
"98","2024-07-19","Algodoneros Union Laguna","3",".563"
"99","2024-07-20","Algodoneros Union Laguna","4",".568"
"100","2024-07-21","Algodoneros Union Laguna","3",".573"
"101","2024-07-22","Algodoneros Union Laguna","3",".573"
"102","2024-07-23","Algodoneros Union Laguna","3",".578"
"103","2024-07-24","Algodoneros Union Laguna","3",".578"
