"","i","team_records_team_name","LAR Rank","LAR Pct"
"1","2024-04-11","Tecos de los Dos Laredos","9",".000"
"2","2024-04-12","Tecos de los Dos Laredos","5","1.000"
"3","2024-04-13","Tecos de los Dos Laredos","3","1.000"
"4","2024-04-14","Tecos de los Dos Laredos","2","1.000"
"5","2024-04-15","Tecos de los Dos Laredos","2","1.000"
"6","2024-04-16","Tecos de los Dos Laredos","1","1.000"
"7","2024-04-17","Tecos de los Dos Laredos","2",".800"
"8","2024-04-18","Tecos de los Dos Laredos","2",".667"
"9","2024-04-19","Tecos de los Dos Laredos","2",".714"
"10","2024-04-20","Tecos de los Dos Laredos","3",".625"
"11","2024-04-21","Tecos de los Dos Laredos","4",".556"
"12","2024-04-22","Tecos de los Dos Laredos","4",".556"
"13","2024-04-23","Tecos de los Dos Laredos","2",".600"
"14","2024-04-24","Tecos de los Dos Laredos","2",".636"
"15","2024-04-25","Tecos de los Dos Laredos","3",".583"
"16","2024-04-26","Tecos de los Dos Laredos","3",".615"
"17","2024-04-27","Tecos de los Dos Laredos","3",".643"
"18","2024-04-28","Tecos de los Dos Laredos","3",".600"
"19","2024-04-29","Tecos de los Dos Laredos","3",".600"
"20","2024-04-30","Tecos de los Dos Laredos","4",".563"
"21","2024-05-01","Tecos de los Dos Laredos","3",".588"
"22","2024-05-02","Tecos de los Dos Laredos","3",".611"
"23","2024-05-03","Tecos de los Dos Laredos","3",".579"
"24","2024-05-04","Tecos de los Dos Laredos","3",".600"
"25","2024-05-05","Tecos de los Dos Laredos","2",".619"
"26","2024-05-06","Tecos de los Dos Laredos","2",".619"
"27","2024-05-07","Tecos de los Dos Laredos","3",".591"
"28","2024-05-08","Tecos de los Dos Laredos","2",".609"
"29","2024-05-09","Tecos de los Dos Laredos","3",".583"
"30","2024-05-10","Tecos de los Dos Laredos","4",".560"
"31","2024-05-11","Tecos de los Dos Laredos","5",".538"
"32","2024-05-12","Tecos de los Dos Laredos","4",".556"
"33","2024-05-13","Tecos de los Dos Laredos","4",".556"
"34","2024-05-14","Tecos de los Dos Laredos","4",".536"
"35","2024-05-15","Tecos de los Dos Laredos","5",".517"
"36","2024-05-16","Tecos de los Dos Laredos","6",".500"
"37","2024-05-17","Tecos de los Dos Laredos","6",".484"
"38","2024-05-18","Tecos de los Dos Laredos","6",".500"
"39","2024-05-19","Tecos de los Dos Laredos","6",".515"
"40","2024-05-20","Tecos de los Dos Laredos","6",".515"
"41","2024-05-21","Tecos de los Dos Laredos","6",".529"
"42","2024-05-22","Tecos de los Dos Laredos","5",".543"
"43","2024-05-23","Tecos de los Dos Laredos","4",".556"
"44","2024-05-25","Tecos de los Dos Laredos","4",".556"
"45","2024-05-27","Tecos de los Dos Laredos","4",".556"
"46","2024-05-28","Tecos de los Dos Laredos","3",".568"
"47","2024-05-29","Tecos de los Dos Laredos","3",".579"
"48","2024-05-30","Tecos de los Dos Laredos","3",".564"
"49","2024-05-31","Tecos de los Dos Laredos","3",".575"
"50","2024-06-01","Tecos de los Dos Laredos","3",".561"
"51","2024-06-02","Tecos de los Dos Laredos","3",".571"
"52","2024-06-03","Tecos de los Dos Laredos","3",".571"
