"","result.event","n"
"1","Bunt Groundout",4
"2","Caught Stealing 2B",2
"3","Caught Stealing Home",1
"4","Double",186
"5","Double Play",11
"6","Field Error",31
"7","Fielders Choice",6
"8","Fielders Choice Out",6
"9","Flyout",334
"10","Forceout",85
"11","Grounded Into DP",77
"12","Groundout",476
"13","Hit By Pitch",33
"14","Home Run",104
"15","Intent Walk",23
"16","Lineout",114
"17","Pickoff Caught Stealing 2B",1
"18","Pop Out",172
"19","Sac Bunt",19
"20","Sac Fly",23
"21","Single",599
"22","Strikeout",603
"23","Strikeout Double Play",1
"24","Triple",8
"25","Walk",345
"26","Wild Pitch",1
