"","result.event","percent"
"1","Bunt Groundout",0.155666251556663
"2","Caught Stealing 2B",0.186799501867995
"3","Double",4.29638854296389
"4","Double Play",0.280199252801993
"5","Field Error",1.05853051058531
"6","Fielders Choice",0.0933997509339975
"7","Fielders Choice Out",0.186799501867995
"8","Flyout",12.733499377335
"9","Forceout",2.08592777085928
"10","Grounded Into DP",1.96139476961395
"11","Groundout",16.1270236612702
"12","Hit By Pitch",1.27646326276463
"13","Home Run",2.98879202988792
"14","Intent Walk",0.37359900373599
"15","Lineout",2.77085927770859
"16","Pickoff 1B",0.0311332503113325
"17","Pop Out",5.13698630136986
"18","Sac Bunt",0.529265255292653
"19","Sac Fly",0.62266500622665
"20","Sac Fly Double Play",0.0311332503113325
"21","Single",15.8779576587796
"22","Stolen Base 2B",0.0311332503113325
"23","Strikeout",20.1432129514321
"24","Strikeout Double Play",0.0311332503113325
"25","Triple",0.342465753424658
"26","Walk",10.6475716064757
