team_id,team_full_name,team_code,team_abbreviation,franchise_name,club_name,venue_id,venue_name,capacity,league_id,division_id,sport_id
560,Acereros del Norte,mva,MVA,Monclova,Acereros,2950,Estadio Kickapoo Lucky Eagle,8500,125,222,23
447,Algodoneros Union Laguna,vaq,LAG,Laguna,Algodoneros,2956,Estadio de la Revolucion,7689,125,223,23
434,Bravos de Leon,leo,LEO,Leon,Bravos,5320,Parque Domingo Santana,6500,125,223,23
4444,Caliente de Durango,dur,DUR,Durango,Caliente,5321,Estadio Francisco Villa,4983,125,223,23
6304,Charros de Jalisco,jal,JAL,Jalisco,Charros,4710,Estadio Panamericano,16500,125,222,23
6303,Conspiradores de Queretaro,qro,QRO,Queretaro,Conspiradores,6070,Estadio Conspiradores,6800,125,222,23
532,Diablos Rojos del Mexico,mxo,MEX,Mexico,Diablos Rojos,5340,Estadio Alfredo Harp Helu,20062,125,223,23
575,Dorados de Chihuahua,chi,CHI,Chihuahua,Dorados,3210,Estadio Chihuahua,15500,125,222,23
5567,El Aguila de Veracruz,ver,VER,Veracruz,El Aguila,2958,Estadio Universitario Beto Avila,7319,125,222,23
579,Guerreros de Oaxaca,oax,OAX,Oaxaca,Guerreros,2951,Parque Lic. Eduardo Vasconcelos,7200,125,223,23
496,Leones de Yucatan,yuc,YUC,Yucatan,Leones,6081,Estadio de Beisbol VIctor Cervera Pacheco,5104,125,223,23
442,Olmecas de Tabasco,tab,TAB,Tabasco,Olmecas,2955,Parque Centenario 27 de Febrero,6600,125,222,23
520,Pericos de Puebla,pue,PUE,Puebla,Pericos,2869,Estadio Hermanos Serdan,9200,125,222,23
523,Piratas de Campeche,cam,CAM,Campeche,Piratas,2949,Parque Nelson Barrera Romellon,4190,125,223,23
528,Rieleros de Aguascalientes,agu,AGS,Aguascalientes,Rieleros,2929,Estadio Alberto Romo Chavez,6496,125,223,23
502,Saraperos de Saltillo,slt,SLT,Saltillo,Saraperos,2953,Parque Francisco I. Madero,11000,125,222,23
562,Sultanes de Monterrey,mty,MTY,Monterrey,Sultanes,2701,Estadio Mobil Super,21803,125,223,23
536,Tecos de los Dos Laredos,lar,LAR,Dos Laredos,Tecos,3410,Parque la Junta,5000,125,223,23
569,Tigres de Quintana Roo,qui,TIG,Quintana Roo,Tigres,3929,Estadio De Beisbol Beto Avila,10825,125,222,23
5010,Toros de Tijuana,tij,TIJ,Tijuana,Toros,2957,Estadio Chevron,17000,125,222,23
