NAME,TEAM,POS,G,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,CS
Yadir Drake,DUR,OF,71,260,46,100,21,2,14,61,167,28,39,6,4
Daniel Mayora,MTY,1B,83,327,57,121,20,0,9,43,168,31,52,11,1
Julio Borbon,PUE,CF,90,337,71,123,14,3,5,37,158,33,40,20,7
Jesus Valdez,LAG,LF,95,350,67,127,26,2,16,61,205,32,39,3,3
Zoilo Almonte,MTY,LF,109,442,78,157,33,1,15,70,237,46,84,0,0
Justin Greene,MVA,LF,97,384,89,136,18,2,13,45,197,44,80,51,22
Chris Roberson,MTY,CF,99,416,79,143,35,6,16,63,238,37,64,18,9
Endy Chavez,PUE,RF,93,385,56,132,18,0,5,59,165,34,31,1,5
Francisco Lugo,YUC,LF,93,365,62,125,13,1,8,55,164,18,44,8,3
Jesus Castillo,AGS,1B,109,409,79,140,24,0,20,82,224,67,63,9,5
Amadeo Zazueta,MVA,SS,101,405,60,138,26,2,9,64,195,21,42,8,4
Ramon Urias,MEX,SS,106,388,91,132,29,3,19,79,224,41,75,12,10
Jairo Perez,DUR,DH,92,342,57,115,20,0,14,65,177,21,41,12,4
Welington Dotel,LAG,RF,77,306,64,102,16,6,9,44,157,23,63,17,14
Ivan Terrazas,MEX,LF,87,322,44,107,28,0,5,60,150,20,45,1,1
Jordany Valdespin,TAB,2B,72,265,48,88,13,4,4,37,121,35,34,15,7
Jesus Arredondo,PUE,2B,105,398,71,132,33,1,15,87,212,42,65,8,5
Saul Soto,AGS,DH,109,386,67,128,27,0,11,59,188,78,58,0,1
Rainel Rosario,SAL,RF,108,411,83,136,19,1,26,104,235,51,74,9,6
Alex Romero,CAM,RF,72,289,42,95,5,1,2,25,108,21,19,3,3
Cristhian Presichi,AGS,LF,104,388,67,127,21,1,5,58,165,36,39,11,7
Max Ramirez,SAL,DH,90,311,48,101,17,0,15,52,163,52,57,1,1
Jaime Brena,OAX,2B,77,271,37,88,16,0,1,14,107,35,31,2,1
Carlos Figueroa,MEX,CF,98,395,85,128,13,3,1,30,150,31,58,34,7
Sandy Madera,TAB,DH,94,335,42,108,21,1,9,47,158,47,29,3,2
Antonio Lamas,MVA,3B,88,295,53,95,14,2,6,46,131,24,23,10,6
Cyle Hankerd,TIJ,LF,94,340,68,109,23,3,17,69,189,41,65,1,0
Luis Borges,SAL,2B,101,356,43,114,19,0,1,40,136,20,29,1,2
Eduardo Arredondo,LEO,DH,68,270,39,86,11,2,5,29,116,20,22,1,7
Alan Sanchez,OAX,RF,93,374,55,119,15,3,6,42,158,28,58,8,7
Emmanuel Avila,MEX,3B,98,371,46,118,20,2,9,51,169,20,35,0,1
Ramon Rios,MTY,2B,101,419,63,133,19,1,7,43,175,22,32,0,0
Alberto Carreon,PUE,SS,107,407,76,129,18,2,5,48,166,23,52,12,9
Miguel Torrero,LEO,3B,93,322,38,102,12,2,2,38,124,18,27,4,1
Jesus Fabela,MEX,CF,83,274,49,86,15,2,8,36,129,33,33,7,3
Leo German,MTY,RF,103,357,53,112,16,1,0,30,130,20,75,24,9
Manny Rodriguez,MVA,2B,102,396,62,124,30,0,13,89,193,41,56,19,4
Carlos Lopez,VER,1B,100,378,61,118,16,1,1,41,139,43,62,1,4
Luis Juarez,MTY,DH,105,423,70,132,23,2,14,81,201,27,38,3,2
Ricky Alvarez,YUC,1B,109,434,67,135,28,2,17,105,218,16,55,8,3
Carlos Rodriguez,AGS,C,100,356,50,110,24,2,15,65,183,30,96,1,0
Anderson Hernandez,LAG,SS,109,437,79,135,30,8,5,68,196,36,60,9,3
Jose Guadalupe Chavez,TIJ,SS,83,305,62,94,17,0,3,28,120,64,48,6,3
Yosmany Guerra,CAM,2B,104,419,56,129,24,12,4,44,189,43,54,4,7
Yordanys Linares,TAB,CF,70,280,47,86,17,6,1,19,118,13,38,23,16
Frank Diaz,CAM,DH,106,406,58,124,26,3,13,67,195,38,61,2,0
Willy Taveras,MVA,CF,103,431,77,131,17,6,12,62,196,27,87,21,5
Ricky Rodriguez,PUE,1B,102,372,57,113,15,3,11,72,167,30,113,3,4
Balbino Fuenmayor,VER,1B,86,334,44,101,13,1,16,64,164,26,52,0,0
Jose Ruiz,SAL,1B,105,411,57,124,16,2,17,70,195,29,77,5,1
Brian Hernandez,TIG,3B,97,362,46,109,20,1,6,58,149,31,57,1,2
Eliezer Ortiz,AGS,CF,96,337,38,101,18,3,3,50,134,14,62,11,3
Cesar Tapia,PUE,C,94,338,53,101,17,0,12,55,154,37,41,8,0
C.J. Retherford,TIG,1B,103,378,58,112,21,0,14,50,175,36,85,4,2
Leo Heras,YUC,CF,95,355,66,104,21,10,3,48,154,46,75,18,9
Esteban Quiroz,YUC,2B,89,287,64,84,23,0,11,49,140,64,41,8,2
Roberto Lopez,TIJ,RF,90,277,43,81,8,1,11,41,124,28,55,4,4
Carlos Alberto Gastelum,TIG,2B,80,302,42,88,13,1,1,28,106,23,28,3,3
Corey Brown,TIJ,CF,106,381,79,111,23,4,24,85,214,73,124,19,2
Jose Vargas,AGS,3B,83,286,58,83,13,1,23,60,167,22,86,4,7
Issmael Salas,PUE,3B,99,376,55,109,20,0,9,47,156,39,37,3,1
Henry Alejandro Rodriguez,CAM,1B,103,414,63,120,21,1,11,47,176,30,63,4,1
Juan Apodaca,TIJ,C,84,291,51,84,12,1,6,41,116,35,63,0,0
Alejandro Gonzalez,OAX,CF,98,353,45,101,21,5,8,55,156,30,91,5,3
Fernando Flores,CAM,C,101,364,33,104,24,1,5,52,145,18,56,0,4
Jose Martinez,OAX,3B,99,351,38,100,32,3,8,43,162,24,94,2,2
Sergio Contreras,TIG,RF,88,304,30,86,11,1,2,23,105,23,36,5,4
Dave Sappelt,AGS,RF,94,386,66,109,22,2,13,43,174,46,57,5,3
Alfredo Amezaga,TIJ,2B,81,309,39,87,13,0,4,37,112,31,51,5,5
Jorge Cantu,TIJ,1B,99,341,53,96,20,1,12,55,154,45,86,2,0
Paul Leon,CAM,SS,94,335,45,94,18,0,12,50,148,30,67,1,0
Samar Leyva,OAX,SS,104,373,40,104,16,2,2,35,130,14,50,9,6
