NAME,TEAM,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,HR,HB,BB,SO,HLD,GF
Nestor Molina,VER,12,3,23,23,3,0,0,152.2,128,40,32,6,9,37,124,0,0
Jose Samayoa,LAG,11,2,22,16,0,0,0,110,95,32,28,4,3,38,77,0,0
Jose Pina,VER,7,7,18,18,0,0,0,112.1,96,36,33,6,5,31,74,0,0
Carlos Hernandez,TIJ,10,2,18,17,0,0,0,97.2,94,32,29,4,2,15,65,0,0
Josh Lowey,MVA,8,5,20,20,0,0,0,127,115,46,38,4,2,36,146,0,0
Josh Roenicke,PUE,7,5,21,20,0,0,0,120,129,43,36,8,4,28,103,1,0
Miguel Pena,TIJ,11,2,20,20,0,0,0,107.1,97,33,33,8,2,34,83,0,0
Yoanner Negrin,YUC,11,4,21,21,2,2,0,129,115,46,42,5,8,31,93,0,0
Edgar Gonzalez,MTY,6,2,19,19,0,0,0,95,97,38,31,2,3,23,52,0,0
Octavio Acosta,MEX,14,1,21,20,0,0,0,123.1,115,41,41,10,6,46,102,0,0
Walter Silva,LEO,8,9,21,21,2,0,0,117.1,121,51,40,4,5,36,59,0,0
Alejandro Astorga,TAB,4,12,22,22,1,0,0,116,122,54,42,8,9,40,82,0,0
Francisco Rodriguez,YUC,8,6,18,16,1,1,0,97,104,38,36,8,3,33,53,0,1
Pablo Ortega,TIG,10,9,21,21,0,0,0,133.2,141,59,51,14,15,33,85,0,0
Manuel Al Flores,VER,8,7,22,22,2,1,0,130.1,133,57,52,9,3,25,96,0,0
Salvador Valdez,TAB,2,9,21,21,0,0,0,100,121,51,41,5,1,25,46,0,0
Frankie De La Cruz,SAL,11,4,20,20,0,0,0,126,110,60,53,9,11,44,91,0,0
Rolando Valdez,CAM,9,5,20,20,1,0,0,121,127,59,52,14,6,30,73,0,0
Jaime Lugo,PUE,6,3,24,16,1,0,0,108.1,125,55,47,5,1,34,68,1,1
Irwin Delgado,OAX,9,6,21,21,1,0,0,119,129,58,52,7,6,52,111,0,0
Dustin Crenshaw,TIG,9,5,21,21,1,1,0,125,134,59,55,11,6,16,79,0,0
Alex Maestri,VER,3,8,19,19,1,0,0,95.1,87,45,43,6,4,44,68,0,0
Manny Barreda,TIJ,4,7,18,17,1,1,0,93,86,46,42,8,3,34,89,0,0
Kameron Loe,TIG,8,8,22,22,1,0,0,132.2,134,68,60,6,5,44,110,0,0
Mauricio Lara,MVA,7,7,19,19,0,0,0,108.1,116,54,49,6,9,30,63,0,0
Angel Castro,MTY,11,6,22,22,2,0,0,138.2,153,75,66,7,4,41,96,0,0
Raul Carrillo,SAL,4,6,22,18,0,0,0,108.2,123,57,52,7,9,46,51,1,0
Yohan Flande,AGS,12,6,23,23,0,0,0,130,151,68,63,6,2,34,101,0,0
Daniel Guerrero,OAX,3,10,22,22,0,0,0,118,146,69,59,12,2,45,61,0,0
Javier Solano,MTY,11,7,22,22,1,0,0,142,153,75,71,20,6,25,84,0,0
Ruddy Acosta,OAX,5,8,17,17,1,1,0,99.2,113,61,50,5,7,24,48,0,0
David Reyes,MEX,10,7,22,22,2,1,0,129.1,164,77,67,14,6,33,71,0,0
Jonathan Castellanos,YUC,7,5,19,19,0,0,0,106.2,127,63,56,10,5,41,45,0,0
Roy Merritt,AGS,8,6,22,22,0,0,0,116,139,68,62,13,6,28,93,0,0
Daniel Rodriguez,SAL,6,7,20,20,0,0,0,113.2,136,67,64,6,3,51,77,0,0
Arturo Lopez,MEX,7,7,21,21,0,0,0,107.2,141,70,65,12,2,25,55,0,0
Henry Garcia,MVA,7,7,20,19,0,0,0,95.1,125,65,58,7,5,44,46,0,0
Oscar Hurtado,DUR,5,5,20,17,0,0,0,99.2,120,70,62,8,3,32,60,0,1
Jesse Estrada,TIG,6,8,19,19,0,0,0,94.2,110,59,59,14,6,23,39,0,0
Orlando Lara,MVA,7,8,21,18,0,0,0,97.2,124,65,62,12,2,27,73,0,0
Efren Delgado,MEX,5,8,20,18,0,0,0,93.1,108,68,61,12,6,16,59,0,1
Mario Gonzalez,CAM,1,10,20,20,0,0,0,104,145,77,72,20,6,28,77,0,0
Edgar Osuna,YUC,5,9,21,18,0,0,0,92,125,69,65,12,2,35,51,0,1
