"","DATE","VISITA","LOCAL","ZONA","CV","CL","HV","HL","ATT","TIME","OBS"
"1","2017-03-31","SLT","MTY","NTE",7,3,10,9,29734,194,""
"2","2017-03-31","TAB","CAM","SUR",4,5,8,12,8956,161,""
"3","2017-03-31","DUR","AGU","NTE",2,1,5,5,5989,192,""
"4","2017-03-31","VRA","OAX","SUR",11,4,15,13,7328,195,""
"5","2017-03-31","MVA","MXO","NTE",12,7,11,12,4989,225,""
"6","2017-03-31","LEO","PUE","SUR",4,10,9,16,11699,177,""
"7","2017-03-31","QUI","YUC","SUR",1,8,7,14,12000,185,""
"8","2017-03-31","VAQ","TIJ","NTE",5,16,8,14,17988,202,""
"9","2017-04-01","MVA","MXO","NTE",10,17,10,20,4450,226,""
"10","2017-04-01","LEO","PUE","SUR",10,7,13,10,3472,179,""
"11","2017-04-01","VRA","OAX","SUR",0,9,7,11,2286,172,""
"12","2017-04-01","QUI","YUC","SUR",4,8,11,13,10877,194,""
"13","2017-04-01","TAB","CAM","SUR",2,8,5,12,3167,186,""
"14","2017-04-01","DUR","AGU","NTE",7,8,8,12,2846,216,""
"15","2017-04-01","MTY","SLT","NTE",11,7,16,11,14000,233,""
"16","2017-04-01","VAQ","TIJ","NTE",0,5,3,8,12983,158,""
"17","2017-04-02","MVA","MXO","NTE",4,3,6,7,3792,196,""
"18","2017-04-02","LEO","PUE","SUR",6,16,8,16,3697,248,""
"19","2017-04-02","SLT","MTY","NTE",5,9,11,9,16182,182,""
"20","2017-04-02","VRA","OAX","SUR",6,7,10,13,2423,213,""
"21","2017-04-02","DUR","AGU","NTE",4,9,8,16,3567,185,""
"22","2017-04-02","TAB","CAM","SUR",2,1,8,6,2724,153,""
"23","2017-04-02","QUI","YUC","SUR",1,13,4,18,10392,204,""
"24","2017-04-02","VAQ","TIJ","NTE",1,6,5,10,10214,160,""
"25","2017-04-04","LEO","OAX","SUR",3,4,12,8,2086,195,""
"26","2017-04-04","MXO","SLT","NTE",8,6,11,11,4996,220,""
"27","2017-04-04","PUE","VRA","SUR",12,3,21,5,4284,178,""
"28","2017-04-04","MTY","MVA","NTE",2,4,9,10,8500,200,""
"29","2017-04-04","YUC","TAB","SUR",0,3,3,6,7511,178,""
"30","2017-04-04","CAM","QUI","SUR",3,4,10,7,7989,135,""
"31","2017-04-04","AGU","VAQ","NTE",3,8,6,13,9000,182,""
"32","2017-04-04","DUR","TIJ","NTE",6,3,13,8,6092,199,""
