"","TEAM","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"1","AGU",624,106,185,29,0,24,102,59,126,5,19,11,12
"2","CAM",605,79,165,22,5,11,76,51,97,11,7,8,8
"3","DUR",679,136,231,44,7,16,130,73,122,15,11,9,10
"4","LAR",607,88,161,27,4,15,82,65,97,9,17,5,5
"5","LEO",646,113,192,40,4,23,103,69,110,14,10,7,2
"6","MTY",623,96,187,38,1,25,89,43,91,11,18,6,4
"7","MVA",622,97,177,40,1,12,91,68,104,12,6,6,9
"8","MXO",633,133,203,36,4,16,119,80,106,13,14,5,7
"9","OAX",672,129,206,42,3,17,122,71,144,14,11,5,6
"10","PUE",598,128,175,26,9,23,115,85,134,17,7,13,1
"11","QUI",657,99,191,43,1,14,96,64,131,12,5,7,1
"12","SLT",614,85,164,32,1,15,77,49,137,7,9,5,7
"13","TAB",597,61,157,28,3,8,58,39,104,16,6,4,12
"14","TIJ",617,102,170,35,1,23,95,93,123,8,30,5,4
"15","VAQ",592,55,145,30,5,8,50,52,128,4,12,5,12
"16","YUC",617,99,179,33,5,10,91,85,111,7,16,9,11
