"","TEAM","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"1","AGU",456,172,19,98,88,104,54,1,8,9,13,5
"2","CAM",450,201,17,106,96,90,42,0,6,11,18,5
"3","DUR",450,207,17,136,121,112,82,0,8,9,14,3
"4","LAR",455,144,12,73,68,128,53,2,9,8,6,4
"5","LEO",464,181,19,118,104,122,72,1,8,9,6,3
"6","MTY",467,154,18,75,72,123,51,0,12,5,22,2
"7","MVA",448,199,14,119,99,115,63,0,6,11,8,1
"8","MXO",460,170,22,93,85,157,71,5,11,6,14,4
"9","OAX",457,175,14,99,80,98,66,0,8,9,5,3
"10","PUE",447,154,17,92,80,106,75,2,12,5,10,4
"11","QUI",459,184,7,85,78,124,51,1,12,5,30,7
"12","SLT",446,159,11,97,92,118,64,1,5,12,9,3
"13","TAB",456,162,16,86,81,101,68,2,6,11,6,3
"14","TIJ",450,172,20,85,82,95,54,4,9,8,12,3
"15","VAQ",441,156,15,93,88,75,86,2,3,14,4,3
"16","YUC",466,165,10,81,75,99,52,1,13,4,9,6
