"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"1","AARON KURCZ",6,1,3,3,7,4,3,0,1,1,0,7.1,3.68,1.36
"2","AARON LAFFEY",17,1,9,8,3,2,0,1,1,0,0,13,5.54,1.46
"3","ADRIAN C. RAMIREZ",5,0,5,5,1,3,0,0,0,0,0,2,22.5,4
"4","ADRIAN GARZA",6,1,4,4,4,6,0,0,0,0,0,7,5.14,1.71
"5","ALBERTO LEYVA",11,0,8,7,6,5,0,1,0,4,0,6.1,9.95,2.53
"6","ALDO MONTES",19,0,7,5,15,6,0,1,2,0,0,18,2.5,1.39
"7","ALDO RAMIREZ",7,2,3,3,2,3,0,0,0,0,0,6,4.5,1.67
"8","ALEJANDRO ARTEAGA",2,0,3,3,6,4,0,0,0,0,0,5.1,5.06,1.12
"9","ALEJANDRO ASTORGA",17,0,7,6,12,7,2,0,1,0,0,17,3.18,1.41
"10","ALEJANDRO BARRAZA",2,0,2,2,3,5,0,2,0,3,1,6,3,1.17
"11","ALEJANDRO CHAVARRIA",10,0,5,5,6,3,0,0,1,0,0,6.1,7.11,2.05
"12","ALEJANDRO MARTINEZ",11,1,8,8,3,3,0,1,0,0,0,7,10.29,2
"13","ALEJANDRO SOTO",19,4,16,15,7,7,0,0,2,0,0,8.1,16.2,3.12
"14","ALEX DELGADO",9,2,7,6,9,3,0,1,0,0,0,7.1,7.36,1.64
"15","ALEX SANABIA",13,1,8,8,4,6,0,2,1,0,0,12,6,1.58
"16","ALEXIS CANDELARIO",16,2,10,10,12,5,0,0,1,0,0,11.2,7.71,1.8
"17","ALEXIS PORTILLO",10,0,10,10,2,1,0,0,2,0,0,3.1,27,3.3
"18","ALFONSO SANCHEZ",0,0,1,1,5,3,0,0,1,2,0,4.1,2.08,0.69
"19","ANDRES AVILA",7,1,4,4,10,3,0,1,1,3,0,10,3.6,1
"20","ANDREW GUTIERREZ",5,0,5,5,1,1,1,0,0,0,0,0.2,67.5,9
"21","ANGEL ADRIAN RAMIREZ",5,0,1,1,3,1,0,0,0,0,0,4.1,2.08,1.38
"22","ANGEL ARAIZA",16,3,9,9,13,3,0,0,2,0,0,16,5.06,1.19
"23","ANGEL CASTRO",18,1,12,10,6,11,0,0,1,0,0,14,6.43,2.07
"24","ANGEL LANDAZURI",1,0,1,1,6,5,0,0,0,0,0,13.1,0.68,0.45
"25","ANGEL RODRIGUEZ",13,1,11,9,6,5,0,0,0,0,0,8.2,9.35,2.08
"26","ANTHONY CARTER",15,1,11,7,13,3,0,2,3,0,4,14.1,4.4,1.26
"27","ANTONIO GARZON",9,0,4,4,5,1,0,0,0,3,0,9.1,3.86,1.07
"28","ARCENIO LEON",5,0,4,2,8,2,0,1,0,0,3,8.1,2.16,0.84
"29","ARIEL GRACIA",13,2,12,8,6,6,0,1,0,0,0,6,12,3.17
"30","ARIEL PENA",18,1,15,14,8,8,0,1,2,0,0,12.2,9.95,2.05
"31","ARTURO BARRADAS",12,1,4,4,7,6,0,1,0,5,0,11,3.27,1.64
"32","ARTURO FLORENTINO",12,0,12,12,5,10,0,0,1,0,0,8,13.5,2.75
"33","ATAHUALPA SEVERINO",6,1,4,2,6,5,0,0,0,3,0,5,3.6,2.2
"34","AXEL RIOS",17,3,6,5,9,3,0,1,1,2,0,8.2,5.19,2.31
"35","BARRY ENRIGHT",18,1,7,7,13,5,0,2,0,0,0,17,3.71,1.35
"36","BENNY SUAREZ",6,0,4,1,4,4,0,0,0,0,0,5.1,1.69,1.88
"37","BRANDON CUNNIFF",1,0,0,0,0,1,0,0,0,0,0,2,0,1
"38","BRANDON QUINTERO",6,2,4,4,4,1,0,0,0,1,0,6.1,5.68,1.11
"39","BRAULIO LARA",4,0,3,3,8,5,0,0,0,4,0,6,4.5,1.5
"40","BRAULIO TORRES-PEREZ",3,0,1,1,0,1,0,0,1,0,0,2,4.5,2
"41","BRYAN EVANS",18,2,10,8,16,2,0,1,1,0,0,16,4.5,1.25
"42","CARLOS CHAVEZ",8,1,8,6,3,4,0,0,0,1,0,5.1,10.12,2.25
"43","CARLOS DE LEON",11,2,5,4,11,4,0,1,0,1,0,10.1,3.48,1.45
"44","CARLOS FELIX",7,0,1,1,1,2,0,0,0,0,0,5,1.8,1.8
"45","CARLOS FISHER",8,0,3,3,16,3,0,1,0,4,0,11,2.45,1
"46","CARLOS HERNANDEZ",24,2,12,12,21,1,0,2,2,0,0,24.1,4.44,1.03
"47","CARLOS MORALES",11,1,8,6,7,5,0,0,0,0,0,9,6,1.78
"48","CARLOS PECH",9,0,4,4,5,3,0,0,0,0,0,5.2,6.35,2.12
"49","CARLOS TELLER",5,0,5,5,0,3,0,0,1,0,0,2,22.5,4
"50","CARLOS ZUNIGA",2,0,0,0,0,0,0,0,0,0,0,1,0,2
"51","CESAR VALDEZ",26,2,10,10,9,5,0,1,2,0,0,16,5.62,1.94
"52","CHAD GAUDIN",7,0,6,0,5,0,0,1,1,0,1,5.1,0,1.31
"53","CHRIS ROCHA",13,1,4,4,10,3,0,0,1,0,0,11,3.27,1.45
"54","CONFESOR LARA",15,1,10,8,9,9,0,1,2,2,0,12.1,5.84,1.95
"55","DALLAS MARTINEZ",0,0,0,0,0,1,0,0,0,0,0,1,0,1
"56","DANIEL BRITO",9,1,6,5,1,3,0,0,0,0,0,6,7.5,2
"57","DANIEL DUARTE",7,0,3,3,3,0,0,1,0,3,0,4.1,6.23,1.62
"58","DANIEL FLORES",3,0,2,2,1,2,0,0,0,0,0,3.2,4.91,1.36
"59","DANIEL GUERRERO",14,3,9,9,10,9,0,0,2,0,0,13,6.23,1.77
"60","DAVID GUTIERREZ",7,0,5,3,7,5,0,0,0,4,0,10.2,2.53,1.12
"61","DAVID REYES",22,2,15,15,17,6,1,2,0,0,0,15,9,1.87
