"","Pitcher_Name","SO","BB","IP","ERA","WHIP","BB/9","K/9"
"1","AARON KURCZ",7,4,7.1,3.68,1.36,0.55,0.95
"2","AARON LAFFEY",3,2,13,5.54,1.46,0.15,0.23
"3","ADRIAN C. RAMIREZ",1,3,2,22.5,4,1.5,0.5
"4","ADRIAN GARZA",4,6,7,5.14,1.71,0.86,0.57
"5","ALBERTO LEYVA",6,5,6.1,9.95,2.53,0.79,0.95
"6","ALDO MONTES",15,6,18,2.5,1.39,0.33,0.83
"7","ALDO RAMIREZ",2,3,6,4.5,1.67,0.5,0.33
"8","ALEJANDRO ARTEAGA",6,4,5.1,5.06,1.12,0.75,1.12
"9","ALEJANDRO ASTORGA",12,7,17,3.18,1.41,0.41,0.71
"10","ALEJANDRO BARRAZA",3,5,6,3,1.17,0.83,0.5
"11","ALEJANDRO CHAVARRIA",6,3,6.1,7.11,2.05,0.47,0.95
"12","ALEJANDRO MARTINEZ",3,3,7,10.29,2,0.43,0.43
"13","ALEJANDRO SOTO",7,7,8.1,16.2,3.12,0.84,0.84
"14","ALEX DELGADO",9,3,7.1,7.36,1.64,0.41,1.23
"15","ALEX SANABIA",4,6,12,6,1.58,0.5,0.33
"16","ALEXIS CANDELARIO",12,5,11.2,7.71,1.8,0.43,1.03
"17","ALEXIS PORTILLO",2,1,3.1,27,3.3,0.3,0.6
"18","ALFONSO SANCHEZ",5,3,4.1,2.08,0.69,0.69,1.15
"19","ANDRES AVILA",10,3,10,3.6,1,0.3,1
"20","ANDREW GUTIERREZ",1,1,0.2,67.5,9,1.5,1.5
"21","ANGEL ADRIAN RAMIREZ",3,1,4.1,2.08,1.38,0.23,0.69
"22","ANGEL ARAIZA",13,3,16,5.06,1.19,0.19,0.81
"23","ANGEL CASTRO",6,11,14,6.43,2.07,0.79,0.43
"24","ANGEL LANDAZURI",6,5,13.1,0.68,0.45,0.38,0.45
"25","ANGEL RODRIGUEZ",6,5,8.2,9.35,2.08,0.58,0.69
"26","ANTHONY CARTER",13,3,14.1,4.4,1.26,0.21,0.91
"27","ANTONIO GARZON",5,1,9.1,3.86,1.07,0.11,0.54
"28","ARCENIO LEON",8,2,8.1,2.16,0.84,0.24,0.96
"29","ARIEL GRACIA",6,6,6,12,3.17,1,1
"30","ARIEL PENA",8,8,12.2,9.95,2.05,0.63,0.63
"31","ARTURO BARRADAS",7,6,11,3.27,1.64,0.55,0.64
"32","ARTURO FLORENTINO",5,10,8,13.5,2.75,1.25,0.62
"33","ATAHUALPA SEVERINO",6,5,5,3.6,2.2,1,1.2
"34","AXEL RIOS",9,3,8.2,5.19,2.31,0.35,1.04
"35","BARRY ENRIGHT",13,5,17,3.71,1.35,0.29,0.76
"36","BENNY SUAREZ",4,4,5.1,1.69,1.88,0.75,0.75
"37","BRANDON CUNNIFF",0,1,2,0,1,0.5,0
"38","BRANDON QUINTERO",4,1,6.1,5.68,1.11,0.16,0.63
"39","BRAULIO LARA",8,5,6,4.5,1.5,0.83,1.33
"40","BRAULIO TORRES-PEREZ",0,1,2,4.5,2,0.5,0
"41","BRYAN EVANS",16,2,16,4.5,1.25,0.12,1
"42","CARLOS CHAVEZ",3,4,5.1,10.12,2.25,0.75,0.56
"43","CARLOS DE LEON",11,4,10.1,3.48,1.45,0.39,1.06
"44","CARLOS FELIX",1,2,5,1.8,1.8,0.4,0.2
"45","CARLOS FISHER",16,3,11,2.45,1,0.27,1.45
"46","CARLOS HERNANDEZ",21,1,24.1,4.44,1.03,0.04,0.86
"47","CARLOS MORALES",7,5,9,6,1.78,0.56,0.78
"48","CARLOS PECH",5,3,5.2,6.35,2.12,0.53,0.88
"49","CARLOS TELLER",0,3,2,22.5,4,1.5,0
"50","CARLOS ZUNIGA",0,0,1,0,2,0,0
"51","CESAR VALDEZ",9,5,16,5.62,1.94,0.31,0.56
"52","CHAD GAUDIN",5,0,5.1,0,1.31,0,0.94
"53","CHRIS ROCHA",10,3,11,3.27,1.45,0.27,0.91
"54","CONFESOR LARA",9,9,12.1,5.84,1.95,0.73,0.73
"55","DALLAS MARTINEZ",0,1,1,0,1,1,0
"56","DANIEL BRITO",1,3,6,7.5,2,0.5,0.17
"57","DANIEL DUARTE",3,0,4.1,6.23,1.62,0,0.69
"58","DANIEL FLORES",1,2,3.2,4.91,1.36,0.55,0.27
"59","DANIEL GUERRERO",10,9,13,6.23,1.77,0.69,0.77
"60","DAVID GUTIERREZ",7,5,10.2,2.53,1.12,0.47,0.66
"61","DAVID REYES",17,6,15,9,1.87,0.4,1.13
"62","DAVID RICHARDSON",16,4,10,4.5,0.9,0.4,1.6
"63","DEMETRIO GUTIERREZ",3,5,8,1.12,1.12,0.62,0.38
"64","DERRICK LOOP",16,6,10,0,1.5,0.6,1.6
"65","DUSTIN CRENSHAW",17,8,30,3.9,1.47,0.27,0.57
"66","EDER LLAMAS",8,2,12.2,2.84,0.63,0.16,0.63
"67","EDGAR GOMEZ",4,4,7.1,12.27,2.32,0.55,0.55
"68","EDGAR GONZALEZ",6,2,15.1,5.28,1.37,0.13,0.39
"69","EDGAR TORRES",1,0,3,12,1.67,0,0.33
"70","EDUARD SANTOS",4,2,1.1,27,3.75,1.5,3
"71","EDWIN QUIRARTE",1,2,3.2,22.09,4.09,0.55,0.27
"72","EDWIN SALAS",11,2,10.1,0.87,0.68,0.19,1.06
"73","EGER ACOSTA",8,3,4.2,5.79,1.29,0.64,1.71
"74","EL'HAJJ MUHAMMAD",1,4,9.2,0.93,0.83,0.41,0.1
"75","ERNESTO FRIERI",5,1,3.2,2.45,0.55,0.27,1.36
"76","ESTEBAN HARO",3,2,5.1,6.75,2.25,0.38,0.56
"77","EUMIR SEPULVEDA",5,15,18.1,6.87,2.07,0.82,0.27
"78","FABIAN COTA",4,2,4,2.25,2,0.5,1
"79","FABIAN WILLIAMSON",4,4,3.1,16.2,3,1.2,1.2
"80","FEDERICO CASTANEDA",4,3,8.2,1.04,0.92,0.35,0.46
"81","FELIPE ARREDONDO",8,3,10,4.5,1.2,0.3,0.8
"82","FELIPE GONZALEZ",6,4,8,1.12,1.12,0.5,0.75
"83","FERNANDO GALLEGOS",6,3,6,15,2.67,0.5,1
"84","FERNANDO VILLALOBOS",2,3,6.2,9.45,1.95,0.45,0.3
"85","FRANCISCO CAMPOS",0,1,1.1,47.25,5.25,0.75,0
"86","FRANCISCO DEL ROSARIO",11,5,11,0.82,1.09,0.45,1
"87","FRANCISCO GIL",1,2,5,7.2,1.4,0.4,0.2
"88","FRANCISCO HARO",8,2,11.1,1.59,1.15,0.18,0.71
"89","FRANCISCO MORENO",5,1,10,6.3,1.7,0.1,0.5
"90","FRANCISCO RODRIGUEZ",12,8,17.2,6.62,1.64,0.45,0.68
"91","FRANKIE DE LA CRUZ",18,4,23.1,5.79,1.54,0.17,0.77
"92","FREDDY GARCIA",14,1,12.2,4.26,1.58,0.08,1.11
"93","FREDY QUINTERO",4,3,7.1,2.45,1.64,0.41,0.55
"94","GABE AGUILAR",5,2,4.1,0,1.15,0.46,1.15
"95","GABINO AVALOS",1,3,1,27,5,3,1
"96","GERARDO GUTIERREZ",10,3,5.1,5.06,0.75,0.56,1.88
"97","GERARDO SANCHEZ",4,2,9,2,1.33,0.22,0.44
"98","GONZALO OCHOA",5,1,3.1,0,1.2,0.3,1.5
"99","GONZALO SANUDO",5,0,5.1,0,0.94,0,0.94
"100","GUILLERMO TRUJILLO",7,3,16.2,3.24,0.9,0.18,0.42
"101","HASSAN PENA",4,4,3.1,21.6,5.4,1.2,1.2
"102","HECTOR AMBRIZ",8,2,8,3.38,1.5,0.25,1
"103","HECTOR GALVAN",5,5,10.2,8.44,2.25,0.47,0.47
"104","HENDERSON ALVAREZ",8,3,13.2,6.59,1.61,0.22,0.59
"105","HENRY OMANA",2,14,9.2,6.52,1.97,1.45,0.21
"106","HERIBERTO RUELAS",13,6,11.2,0,0.86,0.51,1.11
"107","HUGO GUTIERREZ",1,0,1,54,7,0,1
"108","HUMBERTO MONTIEL",3,7,6.1,12.79,3.16,1.11,0.47
"109","IRWIN DELGADO",22,10,26.1,4.44,1.75,0.38,0.84
"110","ISAAC JIMENEZ",2,0,2,18,3.5,0,1
"111","ISMAEL CASTILLO",6,3,5,7.2,1,0.6,1.2
"112","IVAN SALAS",2,2,6.1,0,0.79,0.32,0.32
"113","IVAN ZAVALA",4,3,6.2,2.7,1.2,0.45,0.6
"114","JAIME LUGO",9,2,12,8.25,2,0.17,0.75
"115","JASON URQUIDEZ",5,0,6,3,1.33,0,0.83
"116","JAVIER REYNOSO",2,5,6.1,5.68,2.05,0.79,0.32
"117","JAVIER SOLANO",14,4,19.2,5.03,1.58,0.2,0.71
"118","JEAN MACHI",9,2,11.1,7.15,1.41,0.18,0.79
"119","JEFF IBARRA",10,1,7.2,1.17,0.65,0.13,1.3
"120","JESSE ESTRADA",3,2,8.2,0,0.92,0.23,0.35
"121","JESUS ADRIAN CASTILLO",16,4,16,0.56,1.06,0.25,1
"122","JESUS ALCANTAR",7,4,10.1,6.97,1.26,0.39,0.68
"123","JESUS ANGUAMEA",14,7,13.1,0.68,1.2,0.52,1.05
"124","JESUS BARRAZA",4,3,9.2,0,0.41,0.31,0.41
"125","JESUS GARCIA",2,0,4.1,12.46,2.31,0,0.46
"126","JESUS PIRELA",1,0,4.2,3.86,1.07,0,0.21
"127","JOAQUIN LARA",8,2,7.1,9.82,2.32,0.27,1.09
"128","JOHN MILLAN",0,2,3.2,7.36,2.45,0.55,0
"129","JONATHAN CASTELLANOS",7,7,15.1,2.35,1.5,0.46,0.46
"130","JONATHAN FRUTOS",2,6,4.1,4.15,2.54,1.38,0.46
"131","JONATHAN PARTIDA",0,3,2.2,0,1.5,1.12,0
"132","JORDAN ABOITES",6,5,6,6,1.67,0.83,1
"133","JORGE IBARRA",5,2,6.1,4.26,1.11,0.32,0.79
"134","JORGE QUINONES",0,1,0.2,27,4.5,1.5,0
"135","JORGE REYES",9,3,11.2,4.63,1.54,0.26,0.77
"136","JORGE RIVERA",13,3,20,3.6,1.2,0.15,0.65
"137","JOSE ASCANIO",2,1,3.2,4.91,1.64,0.27,0.55
"138","JOSE BARAJAS",6,8,11,9,2.09,0.73,0.55
"139","JOSE CARLOS MEDINA",5,2,5,3.6,1.4,0.4,1
"140","JOSE FRUTOS",2,2,2.2,0,1.5,0.75,0.75
"141","JOSE HAROS",2,0,2,0,1,0,1
"142","JOSE ISIDRO MARQUEZ",3,1,3.2,4.91,1.09,0.27,0.82
"143","JOSE LOPEZ CRUZ",9,4,10.2,6.75,2.16,0.38,0.84
"144","JOSE MANUEL LOPEZ",9,4,7.2,3.52,2.09,0.52,1.17
"145","JOSE MARRUJO",7,11,17,12.71,2.35,0.65,0.41
"146","JOSE MERAZ",3,0,2.2,3.38,0.75,0,1.12
"147","JOSE PINA",15,7,21,1.71,1,0.33,0.71
"148","JOSE SAMAYOA",20,8,32,1.12,0.97,0.25,0.62
"149","JOSH JUDY",1,2,7.2,2.35,1.17,0.26,0.13
"150","JOSH LOWEY",24,9,20,3.6,1.45,0.45,1.2
"151","JOSH LUEKE",7,1,7,2.57,0.57,0.14,1
"152","JOVANY LOPEZ",2,2,3.1,27,3.3,0.6,0.6
"153","JUAN GRULLON",10,4,8.2,2.08,1.73,0.46,1.15
"154","JUAN MACIAS",5,1,6.2,2.7,1.35,0.15,0.75
"155","JUAN OMAR ESPINOZA",5,4,9.1,5.79,1.29,0.43,0.54
"156","JUAN PABLO ORAMAS",19,13,28.1,1.91,1.2,0.46,0.67
"157","JUAN PANIAGUA",2,0,2,0,0,0,1
"158","JUAN RAMON NORIEGA",6,1,9,5,1.33,0.11,0.67
"159","JUAN RODRIGUEZ",3,6,6.2,10.8,2.1,0.9,0.45
"160","JUAN SANDOVAL",5,0,10.1,5.23,1.35,0,0.48
"161","JULIAN ARBALLO",5,4,4.2,5.79,2.36,0.86,1.07
"162","JULIO FELIX",6,3,9,5,1,0.33,0.67
"163","KELVIN MARTE",7,7,15.2,5.17,1.47,0.45,0.45
"164","KYLE DRABEK",2,7,2,49.5,7,3.5,1
"165","KYLE LOBSTEIN",10,9,14.1,1.26,1.6,0.63,0.7
"166","LENIX OSUNA",3,0,1.1,13.5,2.25,0,2.25
"167","LEURIS GOMEZ",11,5,13.1,4.05,1.65,0.38,0.82
"168","LINDER CASTRO",7,1,7,2.57,1.43,0.14,1
"169","LOIGER PADRON",2,1,3,3,1.67,0.33,0.67
"170","LUIS ANGEL DANIEL",9,5,10.2,2.53,0.94,0.47,0.84
"171","LUIS AYALA",5,2,2.2,10.12,2.25,0.75,1.88
"172","LUIS DE LA O",4,2,6,3,1.17,0.33,0.67
"173","LUIS DE LUNA",5,2,4.1,2.08,1.15,0.46,1.15
"174","LUIS IVAN RODRIGUEZ",7,6,10,5.4,1.4,0.6,0.7
"175","LUIS MENDEZ",8,5,12.1,10.95,2.11,0.41,0.65
"176","LUIS NIEBLA",13,10,16,4.5,1.69,0.62,0.81
"177","LUIS PAYAN",4,7,8.2,9.35,2.31,0.81,0.46
"178","LUIS PEREZ",17,13,25,4.68,1.4,0.52,0.68
"179","MAIKEL CLETO",7,3,8,2.25,1.12,0.38,0.88
"180","MANNY ACOSTA",6,0,9.2,0,0.72,0,0.62
"181","MANNY BARREDA",3,4,3.2,12.27,3.27,1.09,0.82
"182","MANUEL AL FLORES",11,3,12,9,1.75,0.25,0.92
"183","MANUEL BAEZ",5,0,7,5.14,1.29,0,0.71
"184","MANUEL VALDEZ",7,5,5,10.8,1.6,1,1.4
"185","MARCO ANTONIO DUARTE",11,7,12,9,2.08,0.58,0.92
"186","MARCO CAMARENA",1,3,6,7.5,1.17,0.5,0.17
"187","MARCO CARRILLO",9,4,16.1,4.41,1.35,0.24,0.55
"188","MARCO MENDIVIL",0,0,2.1,3.86,2.14,0,0
"189","MARCO QUEVEDO",8,3,12.2,2.84,1.34,0.24,0.63
"190","MARCO RAMIREZ",4,4,4.2,9.64,2.14,0.86,0.86
"191","MARCO TOVAR",10,9,18.2,0.96,0.8,0.48,0.54
"192","MARCOS MACHADO",2,2,3.2,19.64,3.27,0.55,0.55
"193","MARCOS RIVAS",3,1,9,1,0.67,0.11,0.33
"194","MARIO GONZALEZ",7,2,17.2,4.08,1.47,0.11,0.4
"195","MARIO MEZA",1,0,1.2,16.2,2.4,0,0.6
"196","MARIO MORALES",4,4,10.2,5.06,1.5,0.38,0.38
"197","MARK SERRANO",5,0,4.2,3.86,0.86,0,1.07
"198","MARK SIMON",6,1,5,5.4,1.2,0.2,1.2
"199","MARLON ARIAS",15,16,19.2,7.78,1.93,0.81,0.76
"200","MARTIN SOTELO",2,4,6.2,18.9,3.3,0.6,0.3
"201","MAURICIO LARA",13,6,12,6.75,1.92,0.5,1.08
"202","MICHAELANGELO GUZMAN",1,5,2,18,6,2.5,0.5
"203","MIGUEL MEJIA",8,2,11.1,3.97,1.32,0.18,0.71
"204","MIGUEL PENA",2,5,9.1,5.79,1.61,0.54,0.21
"205","MITCH LAMBSON",14,6,24.1,1.85,1.07,0.25,0.58
"206","NATHANAEL SANTIAGO",13,5,8.2,6.23,1.38,0.58,1.5
"207","NESTOR MOLINA",16,4,20,0,0.55,0.2,0.8
"208","NICK STRUCK",9,3,10,0.9,1.1,0.3,0.9
"209","NICOLAS HEREDIA",9,3,7.2,8.22,1.7,0.39,1.17
"210","NORMAN ELENES",7,4,8,1.12,1.12,0.5,0.88
"211","OCTAVIO ACOSTA",26,7,31,3.48,1.1,0.23,0.84
"212","ORLANDO LARA",13,3,15,4.2,1.13,0.2,0.87
"213","OSCAR FELIX",4,3,3.2,14.73,1.91,0.82,1.09
"214","OSCAR HURTADO",8,14,9.2,13.97,3.1,1.45,0.83
"215","OSCAR VERDUGO",11,4,15,9,1.73,0.27,0.73
"216","OSWALDO MARTINEZ",2,4,5.2,3.18,1.76,0.71,0.35
"217","OZZIE MENDEZ",5,3,4.2,3.86,1.71,0.64,1.07
"218","PABLO ORTEGA",6,0,2,18,3,0,3
"219","PATRICK JOHNSON",6,2,10,2.7,1.1,0.2,0.6
"220","PATRICK MCCOY",4,0,6,0,0.67,0,0.67
"221","PAUL CLEMENS",5,3,8,2.25,1,0.38,0.62
"222","PAUL PAEZ",1,4,2,22.5,3.5,2,0.5
"223","PEDRO RODRIGUEZ",4,2,7.2,0,0.65,0.26,0.52
"224","PEDRO VILLARREAL",2,0,6.1,2.84,0.47,0,0.32
"225","PHIL COKE",15,1,16,2.25,0.56,0.06,0.94
"226","RAFAEL DIAZ",9,3,10.1,4.35,1.16,0.29,0.87
"227","RAFAEL MARTIN",12,0,8.1,1.08,0.48,0,1.44
"228","RAFAEL PINEDA",9,6,13,4.85,1.62,0.46,0.69
"229","RAUL BARRON",6,1,6,6,1.83,0.17,1
"230","RAUL CARRILLO",11,5,15.2,6.32,1.79,0.32,0.7
"231","RAUL VALDES",10,3,10.1,3.48,1.26,0.29,0.97
"232","REFUGIO MARIN",0,4,2.1,7.71,3.86,1.71,0
"233","REINIER ROIBAL",12,5,11.2,7.71,1.89,0.43,1.03
"234","RENE COSS",1,3,2,22.5,3.5,1.5,0.5
"235","RICARDO JACQUEZ",3,2,3,6,2.67,0.67,1
"236","RICARDO RIVERO",1,2,2.1,3.86,3,0.86,0.43
"237","ROBERT GARCIA",9,7,10.1,5.23,1.94,0.68,0.87
"238","ROBERTO ESPINOSA",4,2,4,9,1.75,0.5,1
"239","ROBINSON LOPEZ",4,8,13.2,5.93,1.76,0.59,0.29
"240","RODOLFO AGUILAR",3,2,4.2,11.57,1.93,0.43,0.64
"241","RODOLFO AGUIRRE",6,7,9.2,11.17,2.59,0.72,0.62
"242","RODRIGO VALENZUELA",9,1,7.2,5.87,2.22,0.13,1.17
"243","ROGELIO BERNAL",9,8,16,1.69,1.38,0.5,0.56
"244","ROGELIO MARTINEZ",4,3,6.2,4.05,1.35,0.45,0.6
"245","ROLANDO VALDEZ",9,0,18.2,4.34,1.34,0,0.48
"246","ROMAN PENA",1,2,6.2,0,1.05,0.3,0.15
"247","ROMARIO GIL",17,6,12.2,3.55,1.26,0.47,1.34
