"","TEAM","GP","W","L","PCT","WinRatio","RperG","RAperG","RunsRatio","PCTexp","Wexp","Lexp","Rdif"
"1","vaq",18,3,14,0.176470588235294,0.214285714285714,3.05555555555556,5.61111111111111,0.544554455445545,0.228716165129291,13,44,-46
"2","tij",18,8,9,0.470588235294118,0.888888888888889,5.66666666666667,5.05555555555556,1.12087912087912,0.556810275622157,32,25,11
"3","lar",18,9,8,0.529411764705882,1.125,4.88888888888889,3.94444444444444,1.23943661971831,0.605709816190849,35,22,17
"4","mxo",18,11,6,0.647058823529412,1.83333333333333,7.38888888888889,5.61111111111111,1.31683168316832,0.634241663678738,36,21,32
"5","mty",18,12,5,0.705882352941177,2.4,5.33333333333333,4.33333333333333,1.23076923076923,0.602352941176471,34,23,18
"6","mva",18,7,10,0.411764705882353,0.7,5.38888888888889,6.11111111111111,0.881818181818182,0.437444790552792,25,32,-13
"7","yuc",18,12,5,0.705882352941177,2.4,5.5,4.61111111111111,1.19277108433735,0.587237866986219,33,24,16
"8","qui",18,11,6,0.647058823529412,1.83333333333333,5.5,5.05555555555556,1.08791208791209,0.542030748810972,31,26,8
"9","agu",18,9,8,0.529411764705882,1.125,5.88888888888889,5.22222222222222,1.12765957446809,0.559784774810682,32,25,12
"10","dur",18,7,10,0.411764705882353,0.7,7.55555555555556,9,0.839506172839506,0.413410818059902,24,33,-26
"11","leo",18,7,10,0.411764705882353,0.7,6.27777777777778,6.66666666666667,0.941666666666667,0.469984173138503,27,30,-7
"12","oax",18,9,8,0.529411764705882,1.125,7.16666666666667,6.44444444444444,1.11206896551724,0.552912250390404,32,25,13
"13","slt",18,6,11,0.352941176470588,0.545454545454545,4.72222222222222,5.66666666666667,0.833333333333333,0.409836065573771,23,34,-17
"14","pue",18,12,5,0.705882352941177,2.4,7.11111111111111,5.27777777777778,1.34736842105263,0.644810893777795,37,20,33
"15","tab",18,7,10,0.411764705882353,0.7,3.38888888888889,4.77777777777778,0.709302325581395,0.33471260232077,19,38,-25
"16","cam",18,6,11,0.352941176470588,0.545454545454545,4.38888888888889,5.83333333333333,0.752380952380952,0.361461832503185,21,36,-26
