"","DATE","AWAY","aR","aH","aE","AW","AL","HOME","hR","hH","hE","HW","HL","ATT","TIME"
"1","2018-03-22","MVA",6,9,2,1,0,"TIJ",1,5,1,0,1,17698,195
"2","2018-03-23","VAQ",2,4,0,0,1,"LAR",8,7,0,1,0,5012,160
"3","2018-03-23","PUE",8,11,1,1,0,"MXO",5,8,1,0,1,5600,210
"4","2018-03-23","SLT",1,5,1,0,1,"MTY",5,7,1,1,0,21746,169
"5","2018-03-23","YUC",4,9,0,1,0,"TAB",2,8,0,0,1,8132,171
"6","2018-03-23","DUR",14,17,0,1,0,"AGU",10,11,1,0,1,4863,219
"7","2018-03-23","OAX",6,11,2,0,1,"LEO",7,7,1,1,0,4138,210
"8","2018-03-23","QUI",13,19,0,1,0,"CAM",6,15,2,0,1,6684,203
"9","2018-03-23","MVA",0,7,1,1,1,"TIJ",9,12,0,1,1,8025,178
"10","2018-03-24","VAQ",2,10,1,0,2,"LAR",5,6,0,2,0,4956,193
"11","2018-03-24","PUE",3,9,0,1,1,"MXO",10,12,0,1,1,5050,185
"12","2018-03-24","SLT",2,7,1,0,2,"MTY",3,6,0,2,0,16504,160
"13","2018-03-24","YUC",2,10,0,2,0,"TAB",1,5,0,0,2,3185,201
"14","2018-03-24","DUR",4,10,2,1,1,"AGU",14,22,0,1,1,1245,190
"15","2018-03-24","OAX",4,10,2,1,1,"LEO",3,11,2,1,1,3412,277
"16","2018-03-24","QUI",9,17,0,2,0,"CAM",8,14,1,0,2,2186,210
"17","2018-03-24","MVA",0,6,1,1,2,"TIJ",4,9,0,2,1,15967,160
"18","2018-03-25","QUI",4,9,0,2,1,"CAM",5,9,1,1,2,2480,187
"19","2018-03-25","PUE",1,5,0,1,2,"MXO",5,9,0,2,1,4500,173
"20","2018-03-25","VAQ",3,6,0,0,3,"LAR",4,12,1,3,0,4375,168
"21","2018-03-25","YUC",4,5,1,3,0,"TAB",0,4,1,0,3,2014,141
