"","TEAM","SO","BB","IP","ERA","WHIP","BB/9","K/9"
"1","AGU",104,54,152,5.21,1.49,0.36,0.68
"2","CAM",90,42,150,5.76,1.62,0.28,0.6
"3","DUR",112,82,150,7.26,1.93,0.55,0.75
"4","LAR",128,53,151.2,4.04,1.3,0.35,0.84
"5","LEO",122,72,154.2,6.05,1.64,0.47,0.79
"6","MTY",123,51,155.2,4.16,1.32,0.33,0.79
"7","MVA",115,63,149.1,5.97,1.75,0.42,0.77
"8","MXO",157,71,153.1,4.99,1.57,0.46,1.02
"9","OAX",98,66,152.1,4.73,1.58,0.43,0.64
"10","PUE",106,75,149,4.83,1.54,0.5,0.71
"11","QUI",124,51,153,4.59,1.54,0.33,0.81
"12","SLT",118,64,148.2,5.57,1.5,0.43,0.79
"13","TAB",101,68,152,4.8,1.51,0.45,0.66
"14","TIJ",95,54,150,4.92,1.51,0.36,0.63
"15","VAQ",75,86,147,5.39,1.65,0.59,0.51
"16","YUC",99,52,155.1,4.35,1.4,0.33,0.64
