"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"1","AARON KURCZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"2","AARON LAFFEY",0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ABRAHAM RAMOS",0,1,0,0,0,0,0,0,0,0,0,0,0
"4","ADAN MUNOZ",37,6,10,0,0,3,10,4,7,0,0,0,0
"5","ADRIAN C. RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ADRIAN GARZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ADRIAN GUTIERREZ",6,0,1,0,0,0,0,0,0,1,0,0,0
"8","ADRIAN NICOLI",3,3,0,0,0,0,0,0,1,0,0,0,0
"9","AGUSTIN MURILLO",56,11,19,4,0,2,7,6,7,1,3,0,0
"10","AGUSTIN SEPTIMO",8,0,2,0,0,0,0,0,2,0,0,0,0
"11","ALAN ESPINOZA",12,1,4,1,0,1,7,0,0,0,0,0,0
"12","ALAN LOPEZ",13,5,2,0,0,0,3,2,5,0,1,0,0
"13","ALAN SANCHEZ",26,1,11,0,0,0,7,2,4,0,0,0,0
"14","ALBERT CANEDO",0,1,0,0,0,0,0,0,0,0,0,0,0
"15","ALBERTO CALLASPO",48,6,16,2,0,0,5,7,5,0,1,1,0
"16","ALBERTO CARREON",60,11,19,2,0,0,4,2,11,1,2,0,1
"17","ALBERTO LEYVA",0,0,0,0,0,0,0,0,0,0,0,0,0
"18","ALBERTO QUERALES",43,6,12,1,0,0,5,1,6,0,0,2,2
"19","ALDO FLORES",0,0,0,0,0,0,0,0,0,0,0,0,0
"20","ALDO MONTES",0,0,0,0,0,0,0,0,0,0,0,0,0
"21","ALDO RAMIREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"22","ALEJANDRO ARTEAGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"23","ALEJANDRO ASTORGA",0,0,0,0,0,0,0,0,0,0,0,0,0
"24","ALEJANDRO BARRAZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"25","ALEJANDRO CHAVARRIA",0,0,0,0,0,0,0,0,0,0,0,0,0
