"","Pitcher_Name","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"1","AARON KURCZ",22,6,1,3,3,7,4,3,0,1,1,0
"2","AARON LAFFEY",39,17,1,9,8,3,2,0,1,1,0,0
"3","ADRIAN C. RAMIREZ",6,5,0,5,5,1,3,0,0,0,0,0
"4","ADRIAN GARZA",21,6,1,4,4,4,6,0,0,0,0,0
"5","ALBERTO LEYVA",19,11,0,8,7,6,5,0,1,0,4,0
"6","ALDO MONTES",54,19,0,7,5,15,6,0,1,2,0,0
"7","ALDO RAMIREZ",18,7,2,3,3,2,3,0,0,0,0,0
"8","ALEJANDRO ARTEAGA",16,2,0,3,3,6,4,0,0,0,0,0
"9","ALEJANDRO ASTORGA",51,17,0,7,6,12,7,2,0,1,0,0
"10","ALEJANDRO BARRAZA",18,2,0,2,2,3,5,0,2,0,3,1
"11","ALEJANDRO CHAVARRIA",19,10,0,5,5,6,3,0,0,1,0,0
"12","ALEJANDRO MARTINEZ",21,11,1,8,8,3,3,0,1,0,0,0
"13","ALEJANDRO SOTO",25,19,4,16,15,7,7,0,0,2,0,0
"14","ALEX DELGADO",22,9,2,7,6,9,3,0,1,0,0,0
"15","ALEX SANABIA",36,13,1,8,8,4,6,0,2,1,0,0
"16","ALEXIS CANDELARIO",35,16,2,10,10,12,5,0,0,1,0,0
"17","ALEXIS PORTILLO",10,10,0,10,10,2,1,0,0,2,0,0
"18","ALFONSO SANCHEZ",13,0,0,1,1,5,3,0,0,1,2,0
"19","ANDRES AVILA",30,7,1,4,4,10,3,0,1,1,3,0
"20","ANDREW GUTIERREZ",2,5,0,5,5,1,1,1,0,0,0,0
"21","ANGEL ADRIAN RAMIREZ",13,5,0,1,1,3,1,0,0,0,0,0
"22","ANGEL ARAIZA",48,16,3,9,9,13,3,0,0,2,0,0
"23","ANGEL CASTRO",42,18,1,12,10,6,11,0,0,1,0,0
"24","ANGEL LANDAZURI",40,1,0,1,1,6,5,0,0,0,0,0
"25","ANGEL RODRIGUEZ",26,13,1,11,9,6,5,0,0,0,0,0
"26","ANTHONY CARTER",43,15,1,11,7,13,3,0,2,3,0,4
"27","ANTONIO GARZON",28,9,0,4,4,5,1,0,0,0,3,0
"28","ARCENIO LEON",25,5,0,4,2,8,2,0,1,0,0,3
"29","ARIEL GRACIA",18,13,2,12,8,6,6,0,1,0,0,0
"30","ARIEL PENA",38,18,1,15,14,8,8,0,1,2,0,0
"31","ARTURO BARRADAS",33,12,1,4,4,7,6,0,1,0,5,0
"32","ARTURO FLORENTINO",24,12,0,12,12,5,10,0,0,1,0,0
"33","ATAHUALPA SEVERINO",15,6,1,4,2,6,5,0,0,0,3,0
"34","AXEL RIOS",26,17,3,6,5,9,3,0,1,1,2,0
"35","BARRY ENRIGHT",51,18,1,7,7,13,5,0,2,0,0,0
"36","BENNY SUAREZ",16,6,0,4,1,4,4,0,0,0,0,0
"37","BRANDON CUNNIFF",6,1,0,0,0,0,1,0,0,0,0,0
"38","BRANDON QUINTERO",19,6,2,4,4,4,1,0,0,0,1,0
"39","BRAULIO LARA",18,4,0,3,3,8,5,0,0,0,4,0
"40","BRAULIO TORRES-PEREZ",6,3,0,1,1,0,1,0,0,1,0,0
"41","BRYAN EVANS",48,18,2,10,8,16,2,0,1,1,0,0
"42","CARLOS CHAVEZ",16,8,1,8,6,3,4,0,0,0,1,0
"43","CARLOS DE LEON",31,11,2,5,4,11,4,0,1,0,1,0
"44","CARLOS FELIX",15,7,0,1,1,1,2,0,0,0,0,0
"45","CARLOS FISHER",33,8,0,3,3,16,3,0,1,0,4,0
"46","CARLOS HERNANDEZ",73,24,2,12,12,21,1,0,2,2,0,0
"47","CARLOS MORALES",27,11,1,8,6,7,5,0,0,0,0,0
"48","CARLOS PECH",17,9,0,4,4,5,3,0,0,0,0,0
"49","CARLOS TELLER",6,5,0,5,5,0,3,0,0,1,0,0
"50","CARLOS ZUNIGA",3,2,0,0,0,0,0,0,0,0,0,0
"51","CESAR VALDEZ",48,26,2,10,10,9,5,0,1,2,0,0
"52","CHAD GAUDIN",16,7,0,6,0,5,0,0,1,1,0,1
"53","CHRIS ROCHA",33,13,1,4,4,10,3,0,0,1,0,0
"54","CONFESOR LARA",37,15,1,10,8,9,9,0,1,2,2,0
"55","DALLAS MARTINEZ",3,0,0,0,0,0,1,0,0,0,0,0
"56","DANIEL BRITO",18,9,1,6,5,1,3,0,0,0,0,0
"57","DANIEL DUARTE",13,7,0,3,3,3,0,0,1,0,3,0
"58","DANIEL FLORES",11,3,0,2,2,1,2,0,0,0,0,0
"59","DANIEL GUERRERO",39,14,3,9,9,10,9,0,0,2,0,0
"60","DAVID GUTIERREZ",32,7,0,5,3,7,5,0,0,0,4,0
"61","DAVID REYES",45,22,2,15,15,17,6,1,2,0,0,0
"62","DAVID RICHARDSON",30,5,2,5,5,16,4,0,1,0,4,0
"63","DEMETRIO GUTIERREZ",24,4,1,1,1,3,5,0,2,0,0,0
"64","DERRICK LOOP",30,9,0,1,0,16,6,0,0,0,3,3
"65","DUSTIN CRENSHAW",90,36,5,15,13,17,8,0,1,1,0,0
"66","EDER LLAMAS",38,6,1,4,4,8,2,0,0,1,0,0
