,Pitcher_Name,H,HR,R,ER,SO,BB,BK,W,L,HLD,SV,IP,ERA,WHIP
1,AARON KURCZ,3,1,1,1,2,1,0,0,1,0,0,3.0,3.00,1.33
2,AARON LAFFEY,6,0,4,3,0,2,0,0,1,0,0,3.0,9.00,2.67
3,ADRIAN GARZA,1,0,0,0,1,3,0,0,0,0,0,3.1,0.00,1.20
4,ALBERTO LEYVA,6,0,5,5,2,1,0,0,0,2,0,2.1,19.29,3.00
5,ALDO MONTES,4,0,3,2,1,3,0,1,0,0,0,5.0,3.60,1.40
6,ALDO RAMIREZ,1,0,0,0,2,0,0,0,0,0,0,2.0,0.00,0.50
7,ALEJANDRO ARTEAGA,2,0,3,3,3,3,0,0,0,0,0,2.2,10.12,1.88
8,ALEJANDRO ASTORGA,9,0,4,4,2,2,0,0,0,0,0,4.0,9.00,2.75
9,ALEJANDRO BARRAZA,1,0,1,1,1,2,0,1,0,0,0,3.0,3.00,1.00
10,ALEJANDRO CHAVARRIA,2,0,1,1,3,1,0,0,1,0,0,2.1,3.86,1.29
11,ALEJANDRO MARTINEZ,1,1,1,1,1,1,0,0,0,0,0,2.2,3.38,0.75
12,ALEJANDRO SOTO,5,0,4,3,5,4,0,0,1,0,0,3.0,9.00,3.00
13,ALEX SANABIA,4,0,5,5,0,1,0,0,1,0,0,1.2,27.00,3.00
14,ALEXIS CANDELARIO,7,2,7,7,1,0,0,0,1,0,0,1.2,37.80,4.20
15,ALEXIS PORTILLO,4,0,4,4,0,0,0,0,0,0,0,1.1,27.00,3.00
16,ALFONSO SANCHEZ,0,0,0,0,5,2,0,0,0,1,0,4.0,0.00,0.50
17,ANDRES AVILA,2,0,1,1,3,2,0,1,0,1,0,4.1,2.08,0.92
18,ANDREW GUTIERREZ,5,0,5,5,1,1,1,0,0,0,0,0.2,67.50,9.00
19,ANGEL ADRIAN RAMIREZ,2,0,0,0,1,0,0,0,0,0,0,0.2,0.00,3.00
