,Pitcher_Name,SO,BB,IP,ERA,WHIP,BB/9,K/9
1,AARON KURCZ,2,1,3.0,3.00,1.33,3.00,6.00
2,AARON LAFFEY,0,2,3.0,9.00,2.67,6.00,0.00
3,ADRIAN GARZA,1,3,3.1,0.00,1.20,8.10,2.70
4,ALBERTO LEYVA,2,1,2.1,19.29,3.00,3.86,7.71
5,ALDO MONTES,1,3,5.0,3.60,1.40,5.40,1.80
6,ALDO RAMIREZ,2,0,2.0,0.00,0.50,0.00,9.00
7,ALEJANDRO ARTEAGA,3,3,2.2,10.12,1.88,10.12,10.12
8,ALEJANDRO ASTORGA,2,2,4.0,9.00,2.75,4.50,4.50
9,ALEJANDRO BARRAZA,1,2,3.0,3.00,1.00,6.00,3.00
10,ALEJANDRO CHAVARRIA,3,1,2.1,3.86,1.29,3.86,11.57
11,ALEJANDRO MARTINEZ,1,1,2.2,3.38,0.75,3.38,3.38
12,ALEJANDRO SOTO,5,4,3.0,9.00,3.00,12.00,15.00
13,ALEX SANABIA,0,1,1.2,27.00,3.00,5.40,0.00
14,ALEXIS CANDELARIO,1,0,1.2,37.80,4.20,0.00,5.40
15,ALEXIS PORTILLO,0,0,1.1,27.00,3.00,0.00,0.00
16,ALFONSO SANCHEZ,5,2,4.0,0.00,0.50,4.50,11.25
17,ANDRES AVILA,3,2,4.1,2.08,0.92,4.15,6.23
18,ANDREW GUTIERREZ,1,1,0.2,67.50,9.00,13.50,13.50
19,ANGEL ADRIAN RAMIREZ,1,0,0.2,0.00,3.00,0.00,13.50
20,ANGEL ARAIZA,6,1,6.0,1.50,0.50,1.50,9.00
21,ANGEL CASTRO,6,6,8.1,6.48,1.92,6.48,6.48
22,ANGEL LANDAZURI,0,1,1.0,9.00,1.00,9.00,0.00
23,ANGEL RODRIGUEZ,3,1,3.0,6.00,1.67,3.00,9.00
24,ANTHONY CARTER,4,0,4.0,0.00,0.75,0.00,9.00
25,ANTONIO GARZON,0,0,3.1,2.70,1.50,0.00,0.00
26,ARCENIO LEON,1,0,1.0,0.00,0.00,0.00,9.00
27,ARIEL GRACIA,4,2,4.0,4.50,2.00,4.50,9.00
28,ARIEL PENA,5,5,7.2,5.87,1.57,5.87,5.87
29,ARTURO BARRADAS,3,2,3.0,3.00,1.67,6.00,9.00
30,ARTURO FLORENTINO,3,2,4.2,5.79,1.71,3.86,5.79
31,ATAHUALPA SEVERINO,2,3,2.2,3.38,1.50,10.12,6.75
32,AXEL RIOS,7,2,5.1,1.69,1.50,3.38,11.81
33,BARRY ENRIGHT,8,3,10.0,6.30,2.00,2.70,7.20
34,BENNY SUAREZ,3,1,4.0,2.25,1.25,2.25,6.75
35,BRANDON QUINTERO,0,1,0.1,27.00,6.00,27.00,0.00
36,BRAULIO LARA,6,5,4.1,0.00,1.15,10.38,12.46
37,BRAULIO TORRES-PEREZ,0,0,1.0,9.00,3.00,0.00,0.00
38,BRYAN EVANS,5,1,5.0,1.80,1.40,1.80,9.00
39,CARLOS CHAVEZ,2,3,1.1,27.00,4.50,20.25,13.50
40,CARLOS DE LEON,1,1,2.2,0.00,1.88,3.38,3.38
41,CARLOS FISHER,5,3,3.1,5.40,2.70,8.10,13.50
42,CARLOS HERNANDEZ,3,0,5.0,0.00,0.40,0.00,5.40
