"","TEAM","GP","W","L","PCT","WinRatio","RperG","RAperG","RunsRatio","PCTexp","Wexp","Lexp","Rdif"
"1","vaq",6,0,6,0,0,3,6,0.5,0.2,11,46,-18
"2","tij",6,2,4,0.333333333333333,0.5,4,4.5,0.888888888888889,0.441379310344828,25,32,-3
"3","lar",6,4,2,0.666666666666667,2,6,3.66666666666667,1.63636363636364,0.728089887640449,42,15,14
"4","mxo",6,4,2,0.666666666666667,2,6.66666666666667,5,1.33333333333333,0.64,36,21,10
"5","mty",6,6,0,1,Inf,6,3.16666666666667,1.89473684210526,0.782136391068196,45,12,17
"6","mva",6,3,3,0.5,1,3.5,5.5,0.636363636363636,0.288235294117647,16,41,-12
"7","yuc",6,4,2,0.666666666666667,2,4.66666666666667,3.16666666666667,1.47368421052632,0.68471615720524,39,18,9
"8","qui",6,4,2,0.666666666666667,2,7,6.16666666666667,1.13513513513514,0.563038621129907,32,25,5
"9","agu",6,4,2,0.666666666666667,2,8,6,1.33333333333333,0.64,36,21,12
"10","dur",6,4,2,0.666666666666667,2,6.83333333333333,7.33333333333333,0.931818181818182,0.464749792645839,26,31,-3
"11","leo",6,2,4,0.333333333333333,0.5,5.16666666666667,7.83333333333333,0.659574468085106,0.303154574132492,17,40,-16
"12","oax",6,2,4,0.333333333333333,0.5,5.5,5,1.1,0.547511312217195,31,26,3
"13","slt",6,1,5,0.166666666666667,0.2,3.83333333333333,5,0.766666666666667,0.370188943317005,21,36,-7
"14","pue",6,4,2,0.666666666666667,2,4.83333333333333,4.33333333333333,1.11538461538462,0.554383651944628,32,25,3
"15","tab",6,2,4,0.333333333333333,0.5,3.33333333333333,3.33333333333333,1,0.5,28,29,0
"16","cam",6,2,4,0.333333333333333,0.5,4.83333333333333,7.16666666666667,0.674418604651163,0.312639405204461,18,39,-14
