"","runs","hits","doubles","triples","home_runs","base_on_balls","hit_by_pitch"
"1",0,1,0,0,0,0,0
"2",1,1,0,0,0,0,0
"3",2,2,0,0,0,0,1
"4",2,3,1,0,0,1,0
"5",0,1,0,0,0,0,0
"6",0,2,0,0,0,0,0
"7",4,10,2,0,1,7,1
"8",62,141,26,0,14,26,4
"9",64,122,31,1,7,56,1
"10",1,4,0,0,1,1,0
"11",1,2,1,0,0,0,0
"12",95,133,24,2,24,35,1
"13",52,101,16,0,19,40,1
"14",16,45,5,0,6,11,3
"15",11,13,6,0,4,6,0
"16",72,130,19,2,7,39,4
"17",33,34,1,0,19,13,0
"18",9,19,3,0,1,4,1
"19",64,95,17,2,10,55,1
"20",7,8,1,0,2,3,0
"21",67,133,25,5,15,23,3
"22",9,14,3,1,1,4,0
"23",46,103,18,1,7,34,2
"24",2,5,0,0,0,1,1
"25",10,16,6,0,0,3,0
"26",54,97,15,3,11,27,9
"27",27,53,11,2,2,10,1
"28",5,25,5,0,1,3,0
"29",14,26,8,1,3,1,0
"30",69,117,22,3,4,42,6
"31",7,14,3,0,1,5,1
"32",20,44,11,1,3,8,7
"33",42,84,16,2,4,42,3
"34",12,42,8,0,1,17,4
"35",35,83,15,0,13,10,4
"36",67,113,22,0,19,39,1
"37",49,113,22,0,14,48,0
"38",77,110,19,4,16,45,4
"39",12,37,4,0,2,7,0
"40",5,13,0,0,0,6,0
"41",66,124,29,0,14,29,2
"42",65,109,22,0,15,43,6
"43",30,52,9,1,1,25,3
"44",53,112,27,9,6,38,3
"45",42,72,10,5,3,26,3
"46",60,114,15,4,8,15,2
"47",23,48,8,2,1,9,1
"48",71,110,23,0,16,20,3
"49",0,1,0,0,0,0,0
"50",4,6,1,0,0,3,0
"51",7,6,0,0,0,2,1
"52",62,107,19,0,11,37,7
"53",0,1,0,0,0,0,0
"54",1,1,0,0,0,0,0
"55",21,25,5,0,2,6,5
"56",8,17,6,0,1,4,0
"57",24,56,10,0,5,8,2
"58",26,55,9,1,0,11,5
"59",70,104,15,2,12,35,10
"60",41,57,14,0,5,20,0
"61",46,110,23,1,10,38,10
"62",16,32,8,0,2,6,0
"63",5,16,1,0,3,4,1
"64",50,100,18,0,22,24,2
"65",48,106,17,2,3,37,4
"66",50,83,18,1,7,40,4
"67",16,22,0,0,3,9,2
"68",34,52,16,1,1,28,1
"69",4,10,1,0,3,5,1
"70",51,81,10,6,5,15,1
"71",41,96,11,1,4,13,4
"72",43,78,14,4,3,27,2
"73",75,119,21,2,4,37,2
"74",66,98,22,0,16,30,2
"75",46,106,20,2,6,24,1
"76",30,71,13,0,3,19,1
"77",14,39,6,0,1,8,3
"78",23,44,7,0,5,13,2
"79",49,100,15,2,7,45,2
"80",59,112,20,2,4,14,4
"81",50,83,15,0,18,31,8
"82",58,104,24,0,8,39,1
"83",49,104,21,4,2,34,3
"84",53,102,20,0,15,51,6
"85",43,70,12,0,18,25,12
"86",13,21,5,0,3,7,4
"87",29,63,11,0,1,21,3
"88",62,103,17,1,22,25,8
"89",1,5,1,0,0,1,1
"90",29,50,8,0,0,9,10
"91",47,81,16,0,14,20,2
"92",45,76,14,1,11,19,0
"93",41,66,13,1,2,42,2
"94",10,23,7,0,0,7,0
"95",54,83,19,1,12,42,0
"96",35,48,14,0,8,17,1
"97",40,89,11,1,8,39,3
"98",46,79,18,0,15,34,6
"99",2,4,0,0,0,1,0
"100",38,83,24,0,9,34,5
"101",41,82,14,6,3,27,2
"102",6,11,2,1,0,2,2
"103",94,94,13,0,29,47,9
"104",58,83,16,2,4,39,13
"105",13,44,7,0,4,28,2
"106",10,27,6,0,3,10,0
"107",27,46,7,0,11,12,0
"108",76,111,18,2,7,57,6
"109",42,81,21,0,5,24,3
"110",58,84,24,1,7,27,5
"111",31,61,10,0,5,17,1
"112",14,32,7,0,1,9,0
"113",54,80,18,1,11,51,1
"114",50,95,7,2,7,20,3
"115",66,107,24,1,5,45,9
"116",58,94,17,3,7,53,2
"117",39,78,15,2,8,22,7
"118",37,71,9,0,4,28,5
"119",51,89,13,5,9,29,4
"120",29,49,6,1,13,8,2
"121",34,73,17,0,4,12,2
"122",55,85,13,1,11,27,6
"123",57,102,17,1,14,54,0
"124",0,6,2,0,0,3,0
"125",23,50,12,1,8,27,5
"126",54,112,25,6,8,27,10
"127",31,60,12,0,15,34,2
"128",20,28,9,0,4,12,2
"129",25,42,6,0,10,19,0
"130",35,70,14,0,4,38,5
"131",60,97,20,3,7,26,7
"132",60,86,12,4,9,60,5
"133",22,43,10,0,1,10,2
"134",33,86,14,1,10,12,5
"135",32,73,15,0,9,35,3
"136",33,86,20,3,6,15,5
"137",47,65,16,0,9,34,2
"138",38,70,13,0,0,46,0
"139",62,106,27,3,16,27,8
"140",32,74,12,0,6,15,4
"141",15,33,8,1,2,10,3
"142",62,74,14,0,33,76,3
"143",19,35,3,0,7,18,0
"144",27,72,14,0,3,11,13
"145",45,82,13,0,11,41,5
"146",46,84,12,1,11,37,3
"147",32,90,10,0,7,18,4
"148",36,81,15,2,4,17,2
"149",35,72,20,0,17,10,4
"150",53,78,14,0,13,39,2
"151",45,76,16,2,14,52,10
"152",45,94,21,1,4,31,11
"153",11,22,7,0,0,2,1
"154",0,2,1,0,0,0,0
"155",34,64,16,0,10,23,2
"156",23,40,7,0,5,21,3
"157",51,75,20,2,16,28,8
"158",22,41,3,1,3,18,1
"159",7,23,3,0,2,0,1
"160",11,23,3,0,3,7,0
"161",36,53,8,2,0,31,2
"162",6,15,6,0,1,0,3
"163",62,88,16,0,28,51,1
"164",6,13,4,1,1,4,1
"165",51,89,20,0,14,23,6
"166",53,77,19,2,5,13,7
"167",21,53,13,0,4,16,5
"168",35,62,15,3,11,34,3
"169",19,40,8,0,3,12,3
"170",25,49,14,1,2,8,7
"171",42,63,10,1,0,39,2
"172",28,62,14,0,7,27,1
"173",25,69,11,1,3,13,1
"174",27,46,9,0,4,18,3
"175",61,88,15,1,3,51,4
"176",56,89,12,1,19,30,2
"177",43,80,15,1,8,48,1
"178",26,50,7,0,9,10,3
"179",47,89,12,0,7,43,1
"180",23,44,9,2,2,21,2
"181",55,76,12,0,21,42,7
"182",39,44,9,6,5,24,3
"183",14,21,4,0,4,8,0
"184",27,45,8,1,7,12,10
"185",27,53,13,3,5,19,3
"186",33,70,14,2,0,14,1
"187",49,73,12,3,1,27,3
"188",20,22,3,0,0,3,0
"189",49,79,18,0,15,74,2
"190",10,23,1,2,1,8,1
"191",3,6,1,0,0,1,0
"192",44,69,18,0,12,52,0
"193",25,66,10,1,5,32,0
