"","x"
"1","Aaron Altherr"
"2","Aaron Antonini"
"3","Aaron Colmenares"
"4","Abiam Cruz"
"5","Abiel Amador"
"6","Abraham Almonte"
"7","Abraham Lopez"
"8","Abraham Ramos"
"9","Adalberto Carrillo"
"10","Addison Russell"
"11","Adeiny Hechavarría"
"12","Ademar Rifaela"
"13","Aderlin Rodríguez"
"14","Adolfo Valdez"
"15","Adonis García"
"16","Adrián González"
"17","Adrian Gutierrez"
"18","Adrian Salazar"
"19","Adrian Tovalin"
"20","Agustin Murillo"
"21","Alan Espinoza"
"22","Alan Garcia"
"23","Alan Lopez"
"24","Alan Sanchez"
"25","Alay Lago"
"26","Albert Lara"
"27","Alberth Martinez"
"28","Alberto Carreon"
"29","Alberto Rodriguez"
"30","Alcides Escobar"
"31","Aldo Flores"
"32","Aldo Nunez"
"33","Aldrem Corredor"
"34","Aledmys Díaz"
"35","Alejandro Flores"
"36","Alejandro Gonzalez"
"37","Alejandro Mejia"
"38","Alejandro Ortiz"
"39","Alejandro Quezada"
"40","Alejandro Rivero"
"41","Alejandro Urias"
"42","Alen Hanson"
"43","Alex D. Mejia"
"44","Alex Liddi"
"45","Alex Robles"
"46","Alex Valdez"
"47","Alexander Palma"
"48","Alexi Amarista"
"49","Alexis Wilson"
"50","Alfonso Rivas III"
"51","Alfredo Hurtado"
"52","Alfredo Lopez"
"53","Alfredo Marte"
"54","Alfredo Meza"
"55","Ali Castillo"
"56","Ali Solis"
"57","Allen Córdoba"
"58","Alonzo Harris"
"59","Alvaro Gonzalez"
"60","Amadeo Zazueta"
"61","Amilcar Gomez"
"62","Andrelton Simmons"
"63","Andres Ayon"
"64","Andres Figueroa"
"65","Andres Martin"
"66","Andres Moreno"
"67","Andretty Cordero"
"68","Andrew Banuelos"
"69","Andrew Bynum"
"70","Andrew Stevenson"
"71","Aneury Tavárez"
"72","Angel Aguilar"
"73","Angel Arredondo"
"74","Angel Camacho"
"75","Angel Chavarin"
"76","Angel Erro"
"77","Angel Resendez"
"78","Angel Reyes"
"79","Angelo Castellano"
"80","Anthony Alford"
"81","Anthony García"
"82","Anthony Giansanti"
"83","Anthony Williams"
"84","Antonio Almeida"
"85","Antonio Castaneda"
"86","Antonio Lamas"
"87","Antonio Monroy"
"88","Antonio Ruiz"
"89","Arel Campoy"
"90","Ariel Sandoval"
"91","Arismendy Alcántara"
"92","Aristides Aquino"
"93","Armando Aguilar"
"94","Armando Araiza"
"95","Art Charles"
"96","Arturo Nieto"
"97","Arturo Rodriguez"
"98","Asael Sanchez"
"99","Axel Santos"
"100","Balbino Fuenmayor"
"101","Beau Amaral"
"102","Beder Gutierrez"
"103","Bernardo Heras"
"104","Billy Hamilton"
"105","BJ Boyd"
"106","Blake Rutherford"
"107","Bobby Bradley"
"108","Brandon Jaime"
"109","Brandon Lewis"
"110","Brandon Macias"
"111","Brandon Phillips"
"112","Brandon Villarreal"
"113","Braulio Cavero"
"114","Braulio Vasquez"
"115","Brayan Gomez"
"116","Brayan Mendoza"
"117","Brayan Quintero"
"118","Brennon Lund"
"119","Breyvic Valera"
"120","Brian Garcia"
"121","Brian Goodwin"
"122","Brian Hernandez"
"123","Brian Sanchez"
"124","Bruce Maxwell"
"125","Bryan Araiza"
"126","Bryan Corral"
"127","Bryant Aragon"
"128","Bryant Flete"
"129","C.J. Retherford"
"130","Cade Gotta"
"131","Calvin Estrada"
"132","Cane Agis"
"133","Carlo Mancillas"
"134","Carlos Alberto Gastelum"
"135","Carlos Alvarez"
"136","Carlos Arellano"
"137","Carlos Baez"
"138","Carlos Castro"
"139","Carlos Figueroa"
"140","Carlos Franco"
"141","Carlos Garzon"
"142","Carlos Herrera"
"143","Carlos Lopez"
"144","Carlos M. Rodriguez"
"145","Carlos Martínez"
"146","Carlos Mendivil"
"147","Carlos Morales"
"148","Carlos Munoz"
"149","Carlos Orrantia"
"150","Carlos Pacheco"
"151","Carlos Paulino"
"152","Carlos Peguero"
"153","Carlos Pérez"
"154","Carlos Rivero"
"155","Carlos Santiago"
"156","Carlos Sepulveda"
"157","Carlos Soto"
"158","Carlos Tocci"
"159","Carlos Villegas"
"160","Cedric Hunter"
"161","Cesar Cuevas"
"162","Cesar Tapia"
"163","Channy Ortiz"
"164","Chase Dawson"
"165","Chris Carter"
"166","Chris Mariscal"
"167","Chris Roberson"
