"","total_splits","season","num_teams","rank","games_played","ground_outs","air_outs","runs","doubles","triples","home_runs","strike_outs","base_on_balls","intentional_walks","hits","hit_by_pitch","avg","at_bats","obp","slg","ops","caught_stealing","stolen_bases","stolen_base_percentage","ground_into_double_play","number_of_pitches","plate_appearances","total_bases","rbi","left_on_base","sac_bunts","sac_flies","babip","ground_outs_to_airouts","catchers_interference","at_bats_per_home_run","team_id","team_name","team_link","player_id","player_full_name","player_link","player_first_name","player_last_name","league_id","league_name","league_link","sport_id","sport_link","sport_abbreviation","position_code","position_name","position_type","position_abbreviation","player_pool","type_display_name","group_display_name"
"1",450,"2024",1,1,1,0,0,0,0,0,0,0,0,0,1,0,"1.000",1,"1.000","1.000","2.000",0,0,".---",0,7,1,1,0,0,0,0,"1.000","-.--",0,"-.--",579,"Guerreros de Oaxaca","/api/v1/teams/579",665776,"Pedro Castellanos","/api/v1/people/665776","Pedro","Castellanos",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"2",450,"2024",1,1,1,0,0,1,0,0,0,0,0,0,1,0,"1.000",1,"1.000","1.000","2.000",0,0,".---",0,2,1,1,0,0,0,0,"1.000","-.--",0,"-.--",532,"Diablos Rojos del Mexico","/api/v1/teams/532",827462,"Joseph Uzeta","/api/v1/people/827462","Joseph","Uzeta",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","hitting"
"3",450,"2024",1,3,5,1,0,2,0,0,0,0,0,0,2,1,".667",3,".750",".667","1.417",0,0,".---",0,11,4,2,1,0,0,0,".667","1.00",0,"-.--",520,"Pericos de Puebla","/api/v1/teams/520",803165,"Luis Medina","/api/v1/people/803165","Luis","Medina",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"4",450,"2024",1,4,8,0,0,2,1,0,0,2,1,0,3,0,".600",5,".667",".800","1.467",0,0,".---",0,20,6,4,0,0,0,0,"1.000","-.--",0,"-.--",496,"Leones de Yucatan","/api/v1/teams/496",827111,"Jafet Ojeda","/api/v1/people/827111","Jafet","Ojeda",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"5",450,"2024",1,5,3,0,0,0,0,0,0,1,0,0,1,0,".500",2,".500",".500","1.000",0,0,".---",0,6,2,1,0,0,0,0,"1.000","-.--",0,"-.--",442,"Olmecas de Tabasco","/api/v1/teams/442",677900,"Manuel Barradas","/api/v1/people/677900","Manuel","Barradas",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"6",450,"2024",1,5,3,2,0,0,0,0,0,0,0,0,2,0,".500",4,".500",".500","1.000",0,0,".---",0,8,4,2,0,3,0,0,".500","2.00",0,"-.--",520,"Pericos de Puebla","/api/v1/teams/520",679114,"Giancarlo Servin","/api/v1/people/679114","Giancarlo","Servin",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","X","Unknown","Unknown","X","ALL","season","hitting"
"7",450,"2024",1,7,7,7,1,4,2,0,1,4,7,1,10,1,".455",22,".600",".682","1.282",0,1,"1.000",0,122,30,15,7,10,0,0,".529","7.00",0,"22.00",434,"Bravos de Leon","/api/v1/teams/434",622698,"Sandber Pimentel","/api/v1/people/622698","Sandber","Pimentel",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","10","Designated Hitter","Hitter","DH","ALL","season","hitting"
"8",450,"2024",1,8,78,90,58,62,26,0,14,41,26,4,141,4,".431",327,".475",".639","1.114",0,0,".---",10,1235,360,209,77,130,0,3,".462","1.55",0,"23.36",532,"Diablos Rojos del Mexico","/api/v1/teams/532",429664,"Robinson Canó","/api/v1/people/429664","Robinson","Canó",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","4","Second Base","Infielder","2B","ALL","season","hitting"
"9",450,"2024",1,9,85,79,68,64,31,1,7,37,56,3,122,1,".401",304,".494",".579","1.073",9,10,".526",9,1469,363,176,54,96,1,1,".441","1.16",0,"43.43",6304,"Charros de Jalisco","/api/v1/teams/6304",605353,"Vimael Machín","/api/v1/people/605353","Vimael","Machín",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","5","Third Base","Infielder","3B","ALL","season","hitting"
"10",450,"2024",1,10,3,1,3,1,0,0,1,2,1,0,4,0,".400",10,".455",".700","1.155",0,0,".---",0,47,11,7,1,2,0,0,".429","0.33",0,"10.00",496,"Leones de Yucatan","/api/v1/teams/496",541608,"Ramón Cabrera","/api/v1/people/541608","Ramón","Cabrera",125,"MEX","/api/v1/league/125",23,"/api/v1/sports/23","IND","2","Catcher","Catcher","C","ALL","season","hitting"
