Name,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Yadir Drake,27,71,260,300,100,63,21,2,14,46,61,28,3,39,7,5,0,8,6,4,0.385
Chris Roberson,37,66,277,318,106,65,25,3,13,62,46,28,7,43,4,7,2,5,13,7,0.383
Zoilo Almonte,28,72,295,333,109,68,28,1,12,55,52,30,6,60,5,3,0,5,0,0,0.369
Jesus Valdez,32,63,233,256,86,59,18,1,8,41,35,20,4,30,2,1,0,3,3,3,0.369
Daniel Mayora,31,70,269,302,98,75,15,0,8,46,38,28,1,40,3,2,0,10,8,0,0.364
Justin Greene,31,67,261,298,95,73,12,1,9,60,27,30,0,51,4,1,2,7,37,15,0.364
Jesus Castillo,34,74,280,331,101,67,19,0,15,55,61,48,9,48,2,1,0,7,8,4,0.361
Endy Chavez,39,61,265,291,95,79,11,0,5,38,40,22,1,19,0,0,4,3,1,5,0.358
Carlos Figueroa,25,69,282,312,100,86,10,3,1,65,22,23,2,45,1,1,5,5,23,5,0.355
Max Ramirez,32,54,189,223,67,46,12,0,9,29,31,29,0,32,4,1,0,7,1,1,0.354
Julio Borbon,31,54,210,240,74,60,9,3,2,41,22,19,3,21,4,3,4,4,8,3,0.352
Francisco Lugo,25,58,214,234,74,61,7,1,5,40,34,11,0,24,4,0,5,6,5,2,0.346
Leo German,24,67,215,241,74,60,13,1,0,36,17,12,1,43,4,2,8,8,16,6,0.344
Amadeo Zazueta,31,66,262,278,90,62,19,1,8,46,43,12,0,28,1,3,0,8,5,4,0.344
Jordany Valdespin,29,68,251,294,86,65,13,4,4,48,36,35,3,32,5,1,2,7,15,7,0.343
Ivan Terrazas,33,69,263,283,90,64,23,0,3,34,49,16,3,32,1,0,3,10,0,1,0.342
Antonio Lamas,27,63,214,238,73,56,11,2,4,46,35,18,2,21,3,2,1,7,8,5,0.341
Ramon Rios,29,64,264,286,89,73,11,1,4,46,25,15,0,24,1,3,3,12,0,0,0.337
Jesus Arredondo,26,71,266,303,89,59,21,1,8,48,53,31,4,44,2,3,1,8,5,3,0.335
Alex Romero,33,69,276,307,92,84,5,1,2,40,25,20,3,18,3,2,6,5,3,3,0.333
Luis Borges,36,65,231,250,77,62,14,0,1,30,28,13,2,16,0,0,6,12,1,1,0.333
Welington Dotel,31,71,279,305,93,64,15,5,9,58,43,20,2,58,2,1,3,6,15,13,0.333
Jairo Perez,29,63,240,260,80,56,14,0,10,40,49,13,1,29,5,1,1,13,6,3,0.333
Sandy Madera,36,71,267,302,88,64,18,0,6,33,35,31,2,25,2,2,0,5,0,0,0.33
