Name,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Art Charles,26,116,19.00%,19.80%,0.96,0.351,0.474,0.777,1.251,0.426,3.6,0.377,0.1,33,17.3,0.528,214
Yadir Drake,27,300,9.30%,13.00%,0.72,0.385,0.45,0.642,1.092,0.258,4.3,0.406,-0.3,71,31.4,0.475,180
Dan Johnson,37,271,19.90%,13.70%,1.46,0.319,0.47,0.585,1.055,0.266,2.9,0.333,-0.6,62,26.4,0.467,175
Ramon Urias,23,461,8.90%,16.30%,0.55,0.34,0.433,0.577,1.011,0.237,5.7,0.38,-1.7,99,38.3,0.449,164
Jesus Valdez,32,388,8.20%,10.10%,0.82,0.363,0.42,0.586,1.006,0.223,3.8,0.374,-0.4,81,30.1,0.443,159
Asael Sanchez,23,125,9.60%,19.20%,0.5,0.36,0.427,0.541,0.968,0.18,4.5,0.434,-0.1,25,9,0.436,155
Jesus Castillo,34,481,13.90%,13.10%,1.06,0.342,0.435,0.548,0.982,0.205,3.3,0.365,0,96,33.3,0.433,153
Rainel Rosario,28,468,10.90%,15.80%,0.69,0.331,0.406,0.572,0.978,0.241,4,0.35,-0.4,93,31.8,0.431,152
Cyle Hankerd,32,398,10.30%,16.30%,0.63,0.321,0.415,0.556,0.97,0.235,4.3,0.354,0.6,79,26.7,0.43,151
Max Ramirez,32,373,13.90%,15.30%,0.91,0.325,0.429,0.524,0.953,0.199,1.6,0.355,0.2,74,25,0.43,151
Daniel Mayora,31,364,8.50%,14.30%,0.6,0.37,0.429,0.514,0.942,0.144,4.5,0.418,2.2,71,23.3,0.427,149
Justin Greene,31,438,10.00%,18.30%,0.55,0.354,0.426,0.513,0.939,0.159,7.1,0.421,0.6,85,27.3,0.425,148
Zoilo Almonte,28,497,9.30%,16.90%,0.55,0.355,0.421,0.536,0.957,0.181,2.1,0.41,0.5,96,31,0.425,148
Corey Brown,31,462,15.80%,26.80%,0.59,0.291,0.406,0.562,0.967,0.27,7,0.367,3.3,89,28.1,0.423,147
Saul Soto,38,468,16.70%,12.40%,1.34,0.332,0.44,0.487,0.927,0.155,1.4,0.364,0.1,90,28.4,0.423,146
Alejandro Ortiz,27,182,7.70%,17.00%,0.45,0.354,0.412,0.53,0.943,0.177,2.3,0.415,-1.5,34,10.6,0.42,145
Chris Roberson,37,468,7.90%,13.70%,0.58,0.344,0.397,0.572,0.969,0.228,6.6,0.37,-0.1,88,26.8,0.419,144
Junior Lake,27,186,16.10%,14.00%,1.15,0.288,0.411,0.51,0.921,0.222,6.9,0.314,1,34,10,0.414,141
Jesus Arredondo,26,449,9.40%,14.50%,0.65,0.332,0.397,0.533,0.93,0.201,4,0.363,-0.3,81,22.6,0.41,138
Esteban Quiroz,25,358,17.90%,11.50%,1.56,0.293,0.428,0.488,0.916,0.195,4.3,0.311,1.1,65,17.7,0.41,138
