"","Season","Name","Team","GP","GS","A","PO","E","F%","DP","TP","CS","SB","SB%","PB","pickoffs","team_id","team_code","team_abbreviation","franchise_name","club_name","venue_id","venue_name","capacity","league_id","division_id","sport_id"
"1","2024","Felipe Acosta","DUR",15,0,1,0,0,"1.000",0,0,NA,NA,NA,NA,NA,4444,"dur","DUR","Durango","Caliente",5321,"Estadio Francisco Villa",4983,125,223,23
"2","2024","Abel Adames","CAM",13,0,3,0,0,"1.000",0,0,NA,NA,NA,NA,NA,523,"cam","CAM","Campeche","Piratas",2949,"Parque Nelson Barrera Romellon",4190,125,223,23
"3","2024","Jose Adames","TIG",32,0,4,2,0,"1.000",0,0,NA,NA,NA,NA,NA,569,"qui","TIG","Quintana Roo","Tigres",3929,"Estadio De Beisbol Beto Avila",10825,125,222,23
"4","2024","Samuel Adames","LEO",12,0,1,5,0,"1.000",0,0,NA,NA,NA,NA,NA,434,"leo","LEO","Leon","Bravos",5320,"Parque Domingo Santana",6500,125,223,23
"5","2024","Micker Adolfo","LEO",26,25,2,39,0,"1.000",2,0,NA,NA,NA,NA,NA,434,"leo","LEO","Leon","Bravos",5320,"Parque Domingo Santana",6500,125,223,23
"6","2024","Miguel Aguilar","JAL",35,0,7,3,0,"1.000",1,0,NA,NA,NA,NA,NA,6304,"jal","JAL","Jalisco","Charros",4710,"Estadio Panamericano",16500,125,222,23
"7","2024","Ryan Aguilar","LAR",8,6,0,3,0,"1.000",0,0,NA,NA,NA,NA,NA,536,"lar","LAR","Dos Laredos","Tecos",3410,"Parque la Junta",5000,125,223,23
"8","2024","Ryan Aguilar","LAR",3,0,0,1,0,"1.000",0,0,NA,NA,NA,NA,NA,536,"lar","LAR","Dos Laredos","Tecos",3410,"Parque la Junta",5000,125,223,23
"9","2024","Al Alburquerque","TAB",20,0,1,2,0,"1.000",0,0,NA,NA,NA,NA,NA,442,"tab","TAB","Tabasco","Olmecas",2955,"Parque Centenario 27 de Febrero",6600,125,222,23
"10","2024","Elkin Alcala","JAL",25,0,3,0,0,"1.000",0,0,NA,NA,NA,NA,NA,6304,"jal","JAL","Jalisco","Charros",4710,"Estadio Panamericano",16500,125,222,23
"11","2024","Ismael Alcantara","AGS",1,0,0,2,0,"1.000",0,0,NA,NA,NA,NA,NA,528,"agu","AGS","Aguascalientes","Rieleros",2929,"Estadio Alberto Romo Chavez",6496,125,223,23
"12","2024","Reza Aleaziz","OAX",38,0,1,3,0,"1.000",0,0,NA,NA,NA,NA,NA,579,"oax","OAX","Oaxaca","Guerreros",2951,"Parque Lic. Eduardo Vasconcelos",7200,125,223,23
"13","2024","Tyler Alexander","SLT",7,7,1,3,0,"1.000",0,0,NA,NA,NA,NA,NA,502,"slt","SLT","Saltillo","Saraperos",2953,"Parque Francisco I. Madero",11000,125,222,23
"14","2024","Diogenes Almengo","CAM",35,0,5,1,0,"1.000",0,0,NA,NA,NA,NA,NA,523,"cam","CAM","Campeche","Piratas",2949,"Parque Nelson Barrera Romellon",4190,125,223,23
"15","2024","Abraham Almonte","TAB",11,11,1,22,0,"1.000",0,0,NA,NA,NA,NA,NA,442,"tab","TAB","Tabasco","Olmecas",2955,"Parque Centenario 27 de Febrero",6600,125,222,23
"16","2024","Cristian Alvarado","PUE",9,0,0,1,0,"1.000",0,0,NA,NA,NA,NA,NA,520,"pue","PUE","Puebla","Pericos",2869,"Estadio Hermanos Serdan",9200,125,222,23
"17","2024","Samuel Alvarado","PUE",20,0,1,0,0,"1.000",0,0,NA,NA,NA,NA,NA,520,"pue","PUE","Puebla","Pericos",2869,"Estadio Hermanos Serdan",9200,125,222,23
