"","Year","Name","Team","POS","GP","GS","INN","TC","RF/G","RF/9","TE","CERA","CI"
"1","2019","Manny Acosta","LEO","P",43,0,"44.1",10,"0.23","2.05",0,NA,NA
"2","2019","Octavio Acosta","MEX","P",24,22,"121.2",15,"0.63","1.12",0,NA,NA
"3","2019","Rolando Acosta","DUR","1B",12,6,"60.1",71,"5.92","10.65",0,NA,NA
"4","2019","Rolando Acosta","DUR","SS",8,6,"52.0",23,"2.88","3.98",0,NA,NA
"5","2019","Rolando Acosta","TIG","2B",9,6,"54.1",30,"3.33","5.00",0,NA,NA
"6","2019","Ruddy Acosta","OAX","P",12,12,"62.1",9,"0.75","1.31",0,NA,NA
"7","2019","Jose Aguilar","YUC","CF",2,1,"10.0",1,"0.50","0.90",0,NA,NA
"8","2019","Miguel Aguilar","MTY","P",42,0,"39.0",7,"0.17","1.62",0,NA,NA
"9","2019","Rodolfo Aguilar","LEO","P",30,0,"15.0",2,"0.07","1.20",0,NA,NA
"10","2019","Eric Aguilera","LAG","LF",5,5,"39.0",9,"1.80","2.08",0,NA,NA
"11","2019","Al Alburquerque","MVA","P",52,0,"52.1",7,"0.13","1.21",0,NA,NA
"12","2019","Jesus Alcantar","DUR","P",30,0,"30.0",4,"0.13","1.20",0,NA,NA
"13","2019","Carlos Alvarez","LAG","LF",3,2,"20.0",6,"2.00","2.70",0,NA,NA
"14","2019","Carlos Alvarez","LAG","RF",7,4,"41.0",7,"1.00","1.54",0,NA,NA
"15","2019","Dario Álvarez","YUC","P",2,1,"3.2",1,"0.50","3.00",0,NA,NA
"16","2019","Henderson Alvarez III","TIG","P",30,10,"87.2",22,"0.73","2.28",0,NA,NA
"17","2019","Jose Alvarez","TIJ","3B",1,1,"9.0",1,"1.00","1.00",0,NA,NA
"18","2019","Japhet Amador","MEX","1B",4,4,"33.0",31,"7.75","8.45",0,NA,NA
"19","2019","Beau Amaral","TIJ","LF",55,11,"186.1",30,"0.55","1.45",0,NA,NA
"20","2019","Beau Amaral","TIJ","CF",17,2,"64.0",10,"0.59","1.41",0,NA,NA
"21","2019","Abel Amaya","CAM","P",7,1,"11.2",1,"0.14","0.82",0,NA,NA
"22","2019","Hector Ambriz","SLT","P",21,21,"90.2",12,"0.57","1.20",0,NA,NA
"23","2019","Tony Amezcua","YUC","P",36,0,"23.0",4,"0.11","1.57",0,NA,NA
"24","2019","Genaro Andrade","AGS","C",4,1,"12.0",13,"3.25","9.75",0,"12.00",0
"25","2019","Fabian Anguamea","MEX","P",31,1,"39.1",7,"0.23","1.62",0,NA,NA
"26","2019","Nestor Anguamea","LAG","P",5,0,"6.0",1,"0.20","1.50",0,NA,NA
"27","2019","Yancarlo Angulo","DUR","LF",8,6,"50.1",14,"1.75","2.52",0,NA,NA
"28","2019","Yancarlo Angulo","DUR","CF",1,0,"2.0",1,"1.00","4.50",0,NA,NA
"29","2019","Mike Antonini","PUE","P",26,0,"20.1",3,"0.12","1.35",0,NA,NA
"30","2019","Jose Antonio","AGS","C",13,2,"42.0",40,"3.08","8.57",0,"7.50",0
"31","2019","Julian Arballo","DUR","P",27,2,"39.2",5,"0.19","1.15",0,NA,NA
"32","2019","Oswaldo Arcia","MEX","LF",3,3,"27.0",2,"0.67","0.67",0,NA,NA
"33","2019","Oswaldo Arcia","TAB","RF",3,3,"23.0",4,"1.33","1.57",0,NA,NA
"34","2019","Jonathan Armenta","DUR","1B",7,4,"34.1",32,"4.57","8.47",0,NA,NA
"35","2019","Eduardo Arredondo","LEO","LF",1,1,"7.0",3,"3.00","3.86",0,NA,NA
"36","2019","Felipe Arredondo","TIG","P",43,2,"64.0",17,"0.40","2.39",0,NA,NA
"37","2019","Jairo Asencio","SLT","P",5,0,"4.0",1,"0.20","2.25",0,NA,NA
"38","2019","Gabino Avalos","LAR","P",17,1,"22.0",1,"0.06","0.41",0,NA,NA
"39","2019","Andres Avila","YUC","P",59,0,"56.0",12,"0.20","1.93",0,NA,NA
"40","2019","Manuel Baez","LAG","P",1,0,"1.0",1,"1.00","9.00",0,NA,NA
"41","2019","Alberto Baldonado","MTY","P",20,0,"24.2",2,"0.10","0.75",0,NA,NA
"42","2019","Travis Banwart","PUE","P",9,9,"45.1",9,"1.00","1.80",0,NA,NA
