"","Season","Name","Team","POS","GP","GS","INN","A","PO","E","F%","DP","TP","CS","SB","CS%","PB","PK"
"1","2024","Felipe Acosta","DUR","P",15,0,"17.0",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"2","2024","Abel Adames","CAM","P",13,0,"11.1",3,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"3","2024","Jose Adames","TIG","P",32,0,"33.1",4,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"4","2024","Samuel Adames","LEO","P",12,0,"11.2",1,5,0,"1.000",0,0,NA,NA,NA,NA,NA
"5","2024","Micker Adolfo","LEO","RF",26,25,"213.2",2,39,0,"1.000",2,0,NA,NA,NA,NA,NA
"6","2024","Miguel Aguilar","JAL","P",35,0,"28.2",7,3,0,"1.000",1,0,NA,NA,NA,NA,NA
"7","2024","Ryan Aguilar","LAR","LF",8,6,"44.2",0,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"8","2024","Ryan Aguilar","LAR","RF",3,0,"9.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"9","2024","Al Alburquerque","TAB","P",20,0,"18.0",1,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"10","2024","Elkin Alcala","JAL","P",25,0,"24.2",3,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"11","2024","Ismael Alcantara","AGS","RF",1,0,"4.0",0,2,0,"1.000",0,0,NA,NA,NA,NA,NA
"12","2024","Reza Aleaziz","OAX","P",38,0,"31.2",1,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"13","2024","Tyler Alexander","SLT","P",7,7,"31.0",1,3,0,"1.000",0,0,NA,NA,NA,NA,NA
"14","2024","Diogenes Almengo","CAM","P",35,0,"36.0",5,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"15","2024","Abraham Almonte","TAB","LF",11,11,"92.0",1,22,0,"1.000",0,0,NA,NA,NA,NA,NA
"16","2024","Cristian Alvarado","PUE","P",9,0,"8.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"17","2024","Samuel Alvarado","PUE","P",20,0,"19.2",1,0,0,"1.000",0,0,NA,NA,NA,NA,NA
"18","2024","Abiel Amador","AGS","LF",1,0,"3.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"19","2024","Abiel Amador","AGS","CF",2,0,"4.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
"20","2024","Japhet Amador","MEX","1B",2,2,"18.0",0,16,0,"1.000",1,0,NA,NA,NA,NA,NA
"21","2024","Daniel Amaral","MVA","LF",4,1,"14.1",0,4,0,"1.000",0,0,NA,NA,NA,NA,NA
"22","2024","Daniel Amaral","MVA","CF",28,21,"192.2",2,45,0,"1.000",0,0,NA,NA,NA,NA,NA
"23","2024","Daniel Amaral","MVA","RF",7,3,"34.2",0,14,0,"1.000",0,0,NA,NA,NA,NA,NA
"24","2024","Shaun Anderson","TAB","P",1,1,"7.0",0,1,0,"1.000",0,0,NA,NA,NA,NA,NA
