"","Year","Team","GP","CS","SB","CS%","PB","PK","TC","RF/G","RF/9","TE","CI"
"1","2019","Diablos Rojos del Mexico",116,52,40,56.5217391304348,9,4,4976,"42.26","3.66",38,0
"2","2019","Toros de Tijuana",120,33,50,39.7590361445783,10,1,4476,"36.67","4.15",34,0
"3","2019","Piratas de Campeche",115,46,85,35.1145038167939,8,3,4868,"41.57","3.65",46,1
"4","2019","Sultanes de Monterrey",118,36,52,40.9090909090909,7,4,5200,"43.22","3.68",40,1
"5","2019","Generales de Durango",119,36,93,27.906976744186,7,1,4395,"36.21","4.14",34,2
"6","2019","Tigres de Quintana Roo",119,33,62,34.7368421052632,9,1,4418,"36.39","4.15",44,1
"7","2019","Leones de Yucatan",118,38,50,43.1818181818182,8,1,4505,"37.42","4.25",42,1
"8","2019","Acereros del Norte",120,41,77,34.7457627118644,6,2,5306,"43.31","3.65",49,0
"9","2019","Guerreros de Oaxaca",120,38,69,35.5140186915888,4,1,4461,"36.37","4.18",56,0
"10","2019","Rieleros de Aguascalientes",119,26,80,24.5283018867925,18,2,4397,"36.13","4.14",41,0
"11","2019","Saraperos de Saltillo",119,44,78,36.0655737704918,5,1,5124,"42.07","3.65",50,1
"12","2019","Pericos de Puebla",117,44,75,36.9747899159664,4,4,5157,"43.05","3.71",56,1
"13","2019","Bravos de Leon",117,32,89,26.4462809917355,8,0,4983,"41.60","3.66",61,1
"14","2019","Algodoneros Union Laguna",116,31,86,26.4957264957265,15,1,5059,"42.58","3.74",62,0
"15","2019","Tecos de los Dos Laredos",120,42,65,39.2523364485981,7,1,4510,"36.68","4.21",55,0
"16","2019","Olmecas de Tabasco",117,45,84,34.8837209302326,7,3,4314,"35.91","4.13",62,3
"17","2021","Toros de Tijuana",65,21,22,48.8372093023256,9,0,2382,"36.12","4.10",14,1
"18","2021","Leones de Yucatan",64,25,35,41.6666666666667,2,1,2342,"36.05","4.24",16,0
"19","2021","Tecos de los Dos Laredos",66,22,38,36.6666666666667,7,0,2379,"35.47","4.10",28,0
"20","2021","Tigres de Quintana Roo",66,28,30,48.2758620689655,2,4,2462,"36.70","4.23",24,0
"21","2021","Acereros del Norte",66,24,41,36.9230769230769,5,2,2424,"36.09","4.09",19,0
"22","2021","Saraperos de Saltillo",66,25,32,43.859649122807,7,2,2376,"35.36","4.08",17,0
"23","2021","El Aguila de Veracruz",66,16,45,26.2295081967213,4,1,2428,"36.12","4.15",25,0
"24","2021","Diablos Rojos del Mexico",65,28,52,35,2,1,2381,"35.92","4.14",30,0
"25","2021","Mariachis de Guadalajara",63,21,16,56.7567567567568,4,7,2295,"35.71","4.24",22,1
"26","2021","Algodoneros Union Laguna",64,13,43,23.2142857142857,6,1,2390,"36.61","4.18",23,0
"27","2021","Piratas de Campeche",63,13,49,20.9677419354839,2,1,2258,"35.06","4.15",26,0
"28","2021","Sultanes de Monterrey",64,20,33,37.7358490566038,5,1,2361,"36.08","4.17",29,0
"29","2021","Generales de Durango",66,24,39,38.0952380952381,5,0,2329,"34.45","4.16",27,2
"30","2021","Rieleros de Aguascalientes",61,21,35,37.5,5,1,2122,"33.95","4.09",23,0
"31","2021","Pericos de Puebla",62,25,58,30.1204819277108,4,2,2166,"34.06","4.17",23,0
"32","2021","Olmecas de Tabasco",66,22,41,34.9206349206349,7,0,2445,"36.08","4.14",37,1
"33","2021","Bravos de Leon",66,37,38,49.3333333333333,3,4,2570,"37.79","4.26",41,0
"34","2021","Guerreros de Oaxaca",65,24,51,32,5,3,2392,"35.66","4.24",42,0
"35","2022","Diablos Rojos del Mexico",84,37,43,46.25,7,3,2858,"33.45","4.18",25,0
"36","2022","Toros de Tijuana",90,27,42,39.1304347826087,13,2,3135,"34.20","4.15",30,0
"37","2022","Leones de Yucatan",89,24,55,30.379746835443,7,1,3217,"35.48","4.28",29,0
"38","2022","Acereros del Norte",85,27,37,42.1875,10,0,2930,"33.79","4.09",25,0
"39","2022","Tecos de los Dos Laredos",86,36,65,35.6435643564356,3,2,2916,"33.23","4.11",31,0
"40","2022","Mariachis de Guadalajara",90,22,45,32.8358208955224,6,1,3059,"33.28","4.17",34,1
"41","2022","Tigres de Quintana Roo",90,40,59,40.4040404040404,2,1,3247,"35.31","4.29",30,0
"42","2022","El Aguila de Veracruz",89,29,59,32.9545454545455,4,0,3004,"33.03","4.13",30,0
"43","2022","Pericos de Puebla",87,30,46,39.4736842105263,6,2,3122,"35.09","4.24",36,0
"44","2022","Sultanes de Monterrey",90,34,46,42.5,6,4,3163,"34.37","4.18",33,0
"45","2022","Saraperos de Saltillo",90,27,54,33.3333333333333,8,3,3118,"33.81","4.18",40,2
"46","2022","Olmecas de Tabasco",84,36,41,46.7532467532467,2,3,2796,"32.48","4.04",29,0
"47","2022","Guerreros de Oaxaca",87,19,53,26.3888888888889,13,1,3011,"33.70","4.25",35,1
"48","2022","Rieleros de Aguascalientes",88,30,50,37.5,8,1,3159,"34.92","4.27",36,0
"49","2022","Piratas de Campeche",87,20,56,26.3157894736842,3,2,2968,"33.18","4.10",43,0
"50","2022","Algodoneros Union Laguna",88,27,58,31.7647058823529,6,4,2989,"33.00","4.07",39,0
"51","2022","Generales de Durango",90,32,60,34.7826086956522,7,0,3070,"33.06","4.21",45,1
"52","2022","Bravos de Leon",90,32,52,38.0952380952381,10,0,3210,"34.46","4.30",63,1
"53","2023","Guerreros de Oaxaca",87,37,44,45.679012345679,5,2,3232,"36.56","4.25",27,0
"54","2023","Leones de Yucatan",90,20,48,29.4117647058824,5,2,3372,"36.83","4.15",34,0
"55","2023","El Aguila de Veracruz",88,23,44,34.3283582089552,6,1,3258,"36.38","4.10",24,0
"56","2023","Sultanes de Monterrey",88,26,43,37.6811594202899,2,3,3234,"36.05","4.13",29,2
"57","2023","Toros de Tijuana",90,27,51,34.6153846153846,9,1,3347,"36.44","4.07",36,0
"58","2023","Acereros del Norte",89,27,68,28.4210526315789,6,4,3285,"36.16","4.08",34,0
"59","2023","Tecos de los Dos Laredos",86,13,62,17.3333333333333,3,0,3186,"36.28","4.16",36,0
"60","2023","Rieleros de Aguascalientes",88,29,80,26.605504587156,5,0,3356,"37.33","4.25",36,2
"61","2023","Mariachis de Guadalajara",90,38,53,41.7582417582418,10,2,3311,"36.00","4.21",42,0
"62","2023","Diablos Rojos del Mexico",88,36,47,43.3734939759036,5,1,3434,"38.16","4.27",37,1
"63","2023","Pericos de Puebla",87,30,35,46.1538461538462,5,2,3165,"35.55","4.16",39,0
"64","2023","Bravos de Leon",90,36,70,33.9622641509434,10,1,3460,"37.57","4.27",33,0
