"","Year","Name","Team","POS","GP","AB","PA","LOB","SH","SF","GO","AO","GO/AO","BABIP","AB/HR","K%","BB%","BB/K","wOBA","wRAA","wRC","wRC+"
"1","2019","Andres Ayon","SLT","X",2,2,2,1,0,0,0,0,"-.--",".000","2.00",0,0,NA,1.043,1.3,2,80
"2","2019","Jose Gaitan","TIJ","X",2,2,2,0,0,0,0,0,"-.--","1.000","-.--",50,0,0,0.476,0.4,1,78
"3","2019","Eduardo Revilla","MEX","DH",15,12,14,10,0,0,0,3,"0.00",".286","4.00",14.3,14.3,100,0.693,5.3,7,94
"4","2019","Miguel Guzman","PUE","DH",57,165,178,52,2,1,0,19,"0.00",".461","55.00",12.4,4.5,36.4,0.453,30.6,58,93
"5","2019","Daniel Mayora","DUR","3B",115,453,514,175,0,5,2,85,"0.02",".427","23.84",13.4,9.5,71,0.47,95.9,175,90
"6","2019","Jibran Castro","SLT","C",10,13,16,5,0,0,0,0,"-.--",".364","13.00",6.2,18.8,300,0.513,3.6,6,99
"7","2019","Felix Pie","LEO","LF",93,328,386,138,0,3,0,64,"0.00",".401","14.91",13.5,13,96.2,0.498,81.1,141,90
"8","2019","Francisco Peguero","MVA","LF",115,463,528,217,0,8,2,52,"0.04",".426","14.94",18.9,9.1,48,0.477,101.6,183,104
"9","2019","Roel Santos","TAB","CF",45,188,210,55,3,0,0,47,"0.00",".405","62.67",8.1,8.6,105.9,0.434,32.8,65,119
"10","2019","Miguel Lopez","CAM","C",5,8,8,1,0,0,0,1,"0.00",".600","-.--",37.5,0,0,0.397,1,2,121
"11","2019","Victor Mendoza","MTY","1B",114,424,512,164,0,5,0,92,"0.00",".393","16.31",12.7,15.2,120,0.495,106.3,185,98
"12","2019","Daniel Cornejo","LEO","CF",69,173,189,78,2,2,0,30,"0.00",".425","86.50",14.3,5.8,40.7,0.392,22.8,52,88
"13","2019","Henry Urrutia","SLT","1B",110,422,475,147,0,6,3,84,"0.04",".375","12.79",14.1,8.8,62.7,0.479,92.2,165,98
"14","2019","Jesus Fabela","MEX","RF",114,454,531,177,10,7,0,104,"0.00",".420","50.44",14.3,7.9,55.3,0.43,81.1,163,80
"15","2019","Emmanuel Avila","MEX","3B",108,406,463,178,0,3,0,101,"0.00",".372","25.38",7.6,8.9,117.1,0.448,77.8,149,81
"16","2019","Reynaldo Rodriguez","TIG","1B",63,240,267,107,0,3,0,68,"0.00",".370","10.00",17.2,8.2,47.8,0.498,56.1,97,115
"17","2019","Ronnier Mustelier","TAB","3B",106,396,457,137,2,5,3,99,"0.03",".375","30.46",7.9,10.7,136.1,0.438,72.9,143,119
"18","2019","Jose Vargas","MVA","1B",67,270,290,139,0,1,0,50,"0.00",".405","9.00",25.2,5.5,21.9,0.502,61.9,107,103
"19","2019","Yancarlo Angulo","DUR","RF",23,58,65,20,0,0,0,11,"0.00",".426","58.00",15.4,7.7,50,0.421,9.4,19,90
"20","2019","Leandro Castro","TIJ","RF",111,429,473,166,0,0,0,114,"0.00",".380","15.89",13.7,8,58.5,0.465,86.2,159,111
"21","2019","Keven Lamas","DUR","3B",54,97,112,42,2,3,0,23,"0.00",".365","24.25",9.8,8,81.8,0.429,17,34,89
"22","2019","Eury Pérez","TAB","CF",31,126,140,42,2,0,0,28,"0.00",".419","126.00",14.3,7.1,50,0.403,18.2,40,120
"23","2019","Kevin Zamudio","YUC","X",8,14,15,5,0,0,0,5,"0.00",".364","14.00",13.3,6.7,50,0.466,2.7,5,112
"24","2019","Erick Rodriguez","OAX","C",87,298,325,117,4,2,2,72,"0.03",".375","24.83",11.4,5.2,45.9,0.419,46.6,97,93
"25","2019","Michael Wing","AGS","2B",108,408,465,170,0,8,1,89,"0.01",".402","14.57",20.9,9.5,45.4,0.46,82.8,154,97
"26","2019","Moisés Sierra","OAX","1B",114,411,498,167,0,2,3,64,"0.05",".405","22.83",15.9,14.3,89.9,0.467,91.6,168,95
"27","2019","Jonathan Jones","YUC","CF",97,391,450,150,8,1,0,79,"0.00",".414","39.10",16.2,8,49.3,0.432,69.5,139,112
"28","2019","Diego Lizarraga","LEO","X",16,17,24,7,0,1,0,3,"0.00",".462","-.--",20.8,20.8,100,0.448,4,8,86
"29","2019","Gabriel Gutierrez","TIJ","C",70,224,249,87,2,1,2,39,"0.05",".375","22.40",12.4,7.2,58.1,0.43,38,76,113
"30","2019","Miguel Torrero","TIJ","3B",38,74,82,27,3,1,0,11,"0.00",".385","74.00",11,3.7,33.3,0.378,8.9,22,112
"31","2019","Jose Alvarez","TIJ","1B",113,447,478,175,0,1,2,99,"0.02",".370","15.41",15.3,2.7,17.8,0.441,77.5,151,112
"32","2019","Michael Choice","LAG","LF",83,317,356,117,0,4,0,69,"0.00",".421","15.85",23.9,7.9,32.9,0.45,60.4,115,108
"33","2019","Alex D. Mejia","MVA","SS",93,377,418,153,3,7,2,95,"0.02",".394","41.89",15.1,6.7,44.4,0.398,52.5,117,104
"34","2019","C.J. Retherford","CAM","1B",21,80,85,29,0,0,0,19,"0.00",".359","16.00",12.9,4.7,36.4,0.44,13.7,27,106
"35","2019","Ramiro Pena","MTY","2B",93,378,420,153,9,7,0,131,"0.00",".358","29.08",9.5,5.5,57.5,0.404,54.9,120,96
"36","2019","Japhet Amador","MEX","DH",101,370,431,174,0,5,0,89,"0.00",".351","13.21",14.4,12.8,88.7,0.462,77.5,144,81
"37","2019","Jeremias Pineda","OAX","RF",58,240,269,84,0,0,0,23,"0.00",".443","120.00",20.4,9.7,47.3,0.4,34.3,76,93
"38","2019","Juan Carlos Gamboa","MEX","SS",99,333,398,159,2,5,0,75,"0.00",".406","30.27",17.8,13.6,76.1,0.431,61.1,122,80
"39","2019","Hector Hernandez","YUC","2B",61,186,211,100,3,3,1,46,"0.02",".390","93.00",13.3,7.1,53.6,0.382,23.7,56,115
"40","2019","Alex Liddi","YUC","3B",59,221,263,99,0,9,0,54,"0.00",".398","18.42",21.7,11,50.9,0.442,42.8,83,113
"41","2019","Alonzo Harris","OAX","LF",119,469,550,147,0,5,2,125,"0.02",".360","12.03",17.5,13.1,75,0.484,109.1,194,95
"42","2019","Kevin Medrano","MEX","LF",89,210,237,88,2,1,0,39,"0.00",".400","35.00",16.9,10.1,60,0.409,32,68,79
"43","2019","Manuel Orduno","TIG","2B",77,285,333,104,16,3,0,56,"0.00",".386","47.50",13.8,7.2,52.2,0.4,42.4,94,119
"44","2019","Yordanys Linares","TIG","CF",75,294,320,111,1,1,0,57,"0.00",".382","58.80",12.8,5.9,46.3,0.389,37.8,87,120
"45","2019","Chris Roberson","MTY","LF",72,260,289,132,0,0,0,73,"0.00",".359","32.50",10,8.7,86.2,0.413,40,84,97
"46","2019","Brian Hernandez","TIG","3B",117,456,497,204,0,3,1,128,"0.01",".364","41.46",11.1,7.2,65.5,0.392,59.9,136,120
"47","2019","Alfredo Lopez","MVA","X",53,77,94,39,1,0,0,19,"0.00",".413","-.--",14.9,13.8,92.9,0.43,14.4,29,104
"48","2019","Jovan Rosa","TAB","1B",67,243,282,106,0,4,1,48,"0.02",".395","20.25",20.6,11,53.4,0.427,42.4,86,119
"49","2019","Jasson Atondo","CAM","3B",109,446,490,159,11,2,0,90,"0.00",".367","111.50",9.4,6.3,67.4,0.367,48.7,124,109
"50","2019","Roger Bernadina","LAG","CF",34,128,142,59,0,0,0,21,"0.00",".394","32.00",17.6,9.2,52,0.405,18.7,41,107
"51","2019","Carlos Rivero","LEO","3B",109,423,475,191,0,2,0,102,"0.00",".372","17.62",17.7,10.3,58.3,0.432,73.4,147,89
"52","2019","Juan Carlos Perez","AGS","RF",106,412,477,204,3,1,0,95,"0.00",".385","37.46",15.1,11.3,75,0.415,66.8,140,96
"53","2019","Balbino Fuenmayor","LAR","DH",107,416,452,188,0,5,1,114,"0.01",".344","13.42",16.8,6,35.5,0.433,70.2,140,109
"54","2019","Jaime Brena","OAX","2B",1,3,3,3,0,0,0,0,"-.--",".500","-.--",33.3,0,0,0.317,0.2,1,61
"55","2019","Antonio Lamas","PUE","3B",96,375,410,160,2,2,2,88,"0.02",".353","28.85",11.5,6.6,57.4,0.394,50.1,113,92
"56","2019","Maxwell Leon","TIJ","2B",73,241,293,86,7,0,0,50,"0.00",".385","24.10",16.7,11.3,67.3,0.443,48,93,112
"57","2019","Jay Austin","CAM","CF",109,434,485,129,6,4,0,109,"0.00",".347","28.93",11.1,8,72.2,0.399,61.4,136,108
"58","2019","Sergio Perez","PUE","X",77,219,239,86,3,3,3,41,"0.07",".367","36.50",15.1,5.4,36.1,0.377,25.8,63,91
"59","2019","Art Charles","YUC","DH",37,116,141,47,0,2,0,29,"0.00",".397","12.89",25.5,15.6,61.1,0.464,25.6,47,112
"60","2019","Cedric Hunter","LEO","CF",109,397,455,192,0,5,2,131,"0.02",".333","20.90",11,11.6,106,0.427,68.3,138,89
"61","2019","O'Koyea Dickson","DUR","LF",27,107,120,50,0,1,0,37,"0.00",".333","21.40",10.8,8.3,76.9,0.426,17.9,36,89
"62","2019","Alan Espinoza","TAB","C",96,331,365,141,0,5,4,76,"0.05",".353","25.46",14.8,6.6,44.4,0.397,45.6,102,121
"63","2019","Rodolfo Amador","MVA","3B",119,463,511,251,5,3,1,128,"0.01",".331","24.37",9.4,6.7,70.8,0.399,64.7,143,105
"64","2019","Daniel Carbonell","TAB","RF",112,411,468,206,1,7,3,105,"0.03",".372","25.69",18.2,9.2,50.6,0.412,64.4,136,120
"65","2019","Amadeo Zazueta","MTY","SS",103,387,434,166,6,5,0,99,"0.00",".334","55.29",6.7,6.2,93.1,0.381,48.3,115,97
"66","2019","Bruce Maxwell","MVA","C",109,424,487,206,0,3,1,89,"0.01",".369","17.67",19.3,12.1,62.8,0.43,74.4,149,104
"67","2019","Israel Nunez","LEO","C",57,163,173,86,0,2,1,44,"0.02",".362","54.33",13.9,2.3,16.7,0.354,15.3,42,86
