"","Year","Name","Team","POS","GP","AB","PA","H","RBI","SB","2B","3B","HR","R","TB","HBP","K","BB","IBB","AVG","OBP","SLG","OPS"
"1","2019","Andres Ayon","SLT","X",2,2,2,1,2,0,0,0,1,1,4,0,0,0,0,".500",".500","2.000","2.500"
"2","2019","Jose Gaitan","TIJ","X",2,2,2,1,0,0,0,0,0,1,1,0,1,0,0,".500",".500",".500","1.000"
"3","2019","Eduardo Revilla","MEX","DH",15,12,14,5,4,0,0,0,3,7,14,0,2,2,0,".417",".500","1.167","1.667"
"4","2019","Miguel Guzman","PUE","DH",57,165,178,68,27,1,9,3,3,39,92,2,22,8,1,".412",".443",".558","1.001"
"5","2019","Daniel Mayora","DUR","3B",115,453,514,177,92,1,39,2,19,89,277,7,69,49,3,".391",".453",".611","1.064"
"6","2019","Jibran Castro","SLT","C",10,13,16,5,4,0,0,0,1,2,8,0,1,3,0,".385",".500",".615","1.115"
"7","2019","Felix Pie","LEO","LF",93,328,386,125,80,3,23,2,22,70,218,5,52,50,2,".381",".466",".665","1.131"
"8","2019","Francisco Peguero","MVA","LF",115,463,528,176,106,7,26,0,31,123,295,9,100,48,2,".380",".441",".637","1.078"
"9","2019","Roel Santos","TAB","CF",45,188,210,71,22,12,12,3,3,36,98,1,17,18,1,".378",".435",".521",".956"
"10","2019","Miguel Lopez","CAM","C",5,8,8,3,0,0,2,0,0,2,5,0,3,0,0,".375",".375",".625","1.000"
"11","2019","Victor Mendoza","MTY","1B",114,424,512,159,101,0,36,3,26,98,279,5,65,78,3,".375",".473",".658","1.131"
"12","2019","Daniel Cornejo","LEO","CF",69,173,189,64,24,4,5,0,2,21,75,1,27,11,0,".370",".406",".434",".840"
"13","2019","Henry Urrutia","SLT","1B",110,422,475,156,100,3,27,1,33,95,284,5,67,42,5,".370",".427",".673","1.100"
"14","2019","Jesus Fabela","MEX","RF",114,454,531,167,62,9,28,3,9,104,228,18,76,42,1,".368",".436",".502",".938"
"15","2019","Emmanuel Avila","MEX","3B",108,406,463,149,76,6,20,2,16,73,221,13,35,41,4,".367",".438",".544",".982"
"16","2019","Reynaldo Rodriguez","TIG","1B",63,240,267,88,79,6,15,1,24,63,177,2,46,22,5,".367",".419",".738","1.157"
"17","2019","Ronnier Mustelier","TAB","3B",106,396,457,145,73,6,28,0,13,63,212,5,36,49,6,".366",".437",".535",".972"
"18","2019","Jose Vargas","MVA","1B",67,270,290,98,72,1,17,1,30,65,207,3,73,16,3,".363",".403",".767","1.170"
"19","2019","Yancarlo Angulo","DUR","RF",23,58,65,21,10,2,4,0,1,13,28,2,10,5,0,".362",".431",".483",".914"
"20","2019","Leandro Castro","TIJ","RF",111,429,473,155,92,11,30,4,27,84,274,5,65,38,0,".361",".419",".639","1.058"
