"","Year","Team","GP","AB","PA","H","2B","3B","HR","RBI","R","SB","CS","TB","HBP","K","BB","IBB","AVG","OBP","SLG","OPS","GIDP","LOB","SH","SF","GO","AO","GO/AO","AB/HR","BABIP","K%","BB%","BB/K","1B","wOBA","wRAA","wRC","wRC+"
"1","2019","Diablos Rojos del Mexico",116,4074,4680,1315,212,15,136,715,764,55,29,1965,64,700,457,30,".323",".395",".482",".877",113,922,31,53,0,990,"0.00","29.96",".358",15,9.8,65.3,952,0.4,596.2,1317,78
"2","2019","Acereros del Norte",120,4335,5010,1388,260,16,197,845,896,64,27,2271,64,899,535,27,".320",".398",".524",".922",122,960,18,56,9,1008,"0.01","22.00",".361",17.9,10.7,59.5,915,0.414,697.5,1469,104
"3","2019","Sultanes de Monterrey",118,4194,4775,1313,256,23,165,742,776,73,30,2110,56,649,441,31,".313",".382",".503",".885",101,924,36,48,0,1143,"0.00","25.42",".335",13.6,9.2,68,869,0.398,600.2,1336,97
"4","2019","Saraperos de Saltillo",119,4198,4682,1297,241,13,194,735,770,61,33,2146,45,789,386,16,".309",".371",".511",".882",102,843,21,31,9,1031,"0.01","21.64",".340",16.9,8.2,48.9,849,0.395,576.6,1298,97
"5","2019","Toros de Tijuana",120,4221,4737,1294,220,11,191,713,768,111,52,2109,84,778,378,17,".307",".373",".500",".873",126,836,28,26,12,1021,"0.01","22.10",".336",16.4,8,48.6,872,0.394,579.4,1309,113
"6","2021","Olmecas de Tabasco",66,2202,2493,640,112,7,37,285,309,46,22,877,31,387,207,8,".291",".356",".398",".754",79,467,26,27,663,565,"1.17","59.51",".334",15.5,8.3,53.5,484,0.348,-131.8,222,161
"7","2021","Acereros del Norte",66,2298,2606,659,111,11,58,343,358,23,17,966,42,455,220,10,".287",".357",".420",".777",55,513,23,21,633,595,"1.06","39.62",".333",17.5,8.4,48.4,479,0.357,-117.9,252,112
"8","2021","Diablos Rojos del Mexico",65,2204,2525,632,112,9,65,352,374,45,24,957,21,432,262,9,".287",".365",".434",".799",49,479,19,18,627,550,"1.14","33.91",".329",17.1,10.4,60.6,446,0.366,-94.9,264,46
"9","2021","Algodoneros Union Laguna",64,2206,2522,624,112,12,55,318,338,27,16,925,29,533,252,4,".283",".362",".419",".781",55,504,20,15,572,512,"1.12","40.11",".348",21.1,10,47.3,445,0.36,-107.6,250,123
"10","2021","Bravos de Leon",66,2325,2643,651,103,6,74,353,384,41,12,988,36,493,240,4,".280",".354",".425",".779",63,489,23,19,653,570,"1.15","31.42",".325",18.7,9.1,48.7,468,0.358,-117.3,258,68
"11","2021","Guerreros de Oaxaca",65,2131,2403,582,113,4,75,315,329,47,35,928,27,498,204,15,".273",".341",".435",".776",50,403,21,20,575,517,"1.11","28.41",".321",20.7,8.5,41,390,0.352,-118.9,222,82
"12","2021","Piratas de Campeche",63,2036,2311,555,92,9,42,227,250,40,30,791,24,302,203,9,".273",".344",".389",".733",59,448,38,10,632,595,"1.06","48.48",".301",13.1,8.8,67.2,412,0.34,-137.8,190,126
"13","2021","Leones de Yucatan",64,2096,2406,571,99,7,68,309,332,34,15,888,32,416,229,9,".272",".350",".424",".774",48,450,29,19,578,579,"1.00","30.82",".308",17.3,9.5,55,397,0.355,-112.9,229,137
"14","2021","Tigres de Quintana Roo",66,2167,2490,560,96,5,34,252,276,66,28,768,22,440,251,9,".258",".339",".354",".693",42,493,36,14,634,583,"1.09","63.74",".308",17.7,10.1,57,425,0.327,-175.9,178,169
"15","2022","Diablos Rojos del Mexico",84,2736,3233,883,162,17,129,569,614,17,21,1466,47,563,406,3,".323",".415",".536",".951",96,618,10,34,707,627,"1.13","21.21",".363",17.4,12.6,72.1,575,0.428,311.2,835,75
"16","2022","Rieleros de Aguascalientes",88,2904,3335,921,147,5,120,528,562,45,48,1438,27,558,350,13,".317",".392",".495",".887",85,610,23,31,769,710,"1.08","24.20",".355",16.7,10.5,62.7,649,0.402,247.4,788,94
"17","2022","Saraperos de Saltillo",90,3013,3447,952,182,17,154,595,629,36,18,1630,47,580,330,5,".316",".389",".541",".930",91,619,27,30,833,705,"1.18","19.56",".346",16.8,9.6,56.9,599,0.414,290.8,849,97
"18","2022","Toros de Tijuana",90,2968,3399,933,142,11,161,588,624,42,29,1580,59,590,330,9,".314",".390",".532",".922",95,600,12,29,802,684,"1.17","18.44",".344",17.4,9.7,55.9,619,0.415,289.7,840,116
"19","2022","Acereros del Norte",85,2838,3315,878,167,13,145,585,622,55,26,1506,45,603,386,9,".309",".396",".531",".927",55,627,12,34,714,689,"1.04","19.57",".345",18.2,11.6,64,553,0.415,282.5,820,105
"20","2022","Olmecas de Tabasco",84,2647,3017,816,147,24,66,398,437,46,20,1209,51,396,246,14,".308",".375",".457",".832",79,563,49,24,807,701,"1.15","40.11",".340",13.1,8.2,62.1,579,0.38,167.5,656,128
"21","2022","Algodoneros Union Laguna",88,2865,3314,882,169,10,108,497,535,54,34,1395,41,561,356,11,".308",".389",".487",".876",92,644,24,27,771,702,"1.10","26.53",".348",16.9,10.7,63.5,595,0.397,231.8,769,111
"22","2022","Guerreros de Oaxaca",87,2793,3170,857,165,14,125,497,533,52,28,1425,42,609,294,12,".307",".379",".510",".889",80,551,19,22,733,635,"1.15","22.34",".352",19.2,9.3,48.3,553,0.399,227.1,741,92
"23","2022","Sultanes de Monterrey",90,2937,3325,873,180,14,106,493,523,83,37,1399,20,600,317,10,".297",".367",".476",".843",61,599,23,27,753,761,"0.99","27.71",".340",18,9.5,52.8,573,0.378,179,718,95
"24","2022","Bravos de Leon",90,2926,3370,866,143,19,108,474,512,58,29,1371,54,622,335,13,".296",".376",".469",".845",91,646,32,23,811,682,"1.19","27.09",".342",18.5,9.9,53.9,596,0.386,204.3,750,84
"25","2022","Pericos de Puebla",87,2825,3242,832,165,12,138,510,546,50,31,1435,56,588,311,13,".295",".372",".508",".880",83,551,21,28,774,680,"1.14","20.47",".326",18.1,9.6,52.9,517,0.395,221.3,746,90
"26","2022","Tecos de los Dos Laredos",86,2688,3124,788,149,5,77,424,460,52,21,1178,45,589,344,16,".293",".380",".438",".818",87,633,23,24,716,642,"1.12","34.91",".348",18.9,11,58.4,557,0.377,165.5,672,114
"27","2022","El Aguila de Veracruz",89,2815,3143,813,160,11,83,399,433,46,27,1244,57,568,231,8,".289",".353",".442",".795",80,565,20,20,792,682,"1.16","33.92",".334",18.1,7.3,40.7,559,0.362,126.5,636,109
"28","2022","Piratas de Campeche",87,2816,3148,801,149,17,69,378,414,57,26,1191,38,523,239,9,".284",".346",".423",".769",68,575,35,20,822,725,"1.13","40.81",".326",16.6,7.6,45.7,566,0.351,97.3,607,113
"29","2022","Tigres de Quintana Roo",90,2918,3318,827,168,9,91,425,474,94,46,1286,51,508,299,11,".283",".358",".441",".799",65,609,30,20,840,793,"1.06","32.07",".315",15.3,9,58.9,559,0.364,139.2,677,128
"30","2022","Leones de Yucatan",89,2880,3347,809,171,8,114,467,495,30,15,1338,40,607,376,12,".281",".369",".465",".834",75,648,28,23,770,745,"1.03","25.26",".319",18.1,11.2,61.9,516,0.378,180.1,722,119
"31","2023","Diablos Rojos del Mexico",88,3107,3691,934,204,17,91,554,606,23,18,1445,56,686,464,18,".301",".396",".465",".861",82,764,23,41,764,787,"0.97","34.14",".356",18.6,12.6,67.6,622,0.393,289.1,780,75
"32","2023","Algodoneros Union Laguna",89,3101,3595,929,175,18,77,530,567,93,46,1371,60,613,349,7,".300",".376",".442",".818",67,660,37,47,858,785,"1.09","40.27",".347",17.1,9.7,56.9,659,0.375,227,705,111
"33","2023","Sultanes de Monterrey",88,3030,3443,884,176,10,72,431,468,66,22,1296,31,516,329,18,".292",".364",".428",".792",79,681,24,29,837,846,"0.99","42.08",".329",15,9.6,63.8,626,0.363,182.5,640,96
"34","2023","Saraperos de Saltillo",89,3064,3449,871,147,12,96,430,464,52,32,1330,42,673,284,13,".284",".351",".434",".785",73,634,41,18,849,730,"1.16","31.92",".335",19.5,8.2,42.2,616,0.359,171.2,630,96
"35","2023","Tecos de los Dos Laredos",86,2908,3251,825,148,18,60,387,427,80,23,1189,32,598,262,8,".284",".346",".409",".755",69,598,13,35,761,772,"0.99","48.47",".335",18.4,8.1,43.8,599,0.346,125.6,558,115
"36","2023","Rieleros de Aguascalientes",88,3073,3478,859,155,6,66,403,433,55,31,1224,44,548,312,7,".280",".352",".398",".750",69,695,24,25,890,825,"1.08","46.56",".319",15.8,9,56.9,632,0.347,137.4,600,94
