"","Year","Team","GP","AB","PA","H","2B","3B","HR","RBI","R","SB","CS","TB","HBP","K","BB","IBB","AVG","OBP","SLG","OPS"
"1","2019","Diablos Rojos del Mexico",116,4074,4680,1315,212,15,136,715,764,55,29,1965,64,700,457,30,".323",".395",".482",".877"
"2","2019","Acereros del Norte",120,4335,5010,1388,260,16,197,845,896,64,27,2271,64,899,535,27,".320",".398",".524",".922"
"3","2019","Sultanes de Monterrey",118,4194,4775,1313,256,23,165,742,776,73,30,2110,56,649,441,31,".313",".382",".503",".885"
"4","2019","Saraperos de Saltillo",119,4198,4682,1297,241,13,194,735,770,61,33,2146,45,789,386,16,".309",".371",".511",".882"
"5","2019","Toros de Tijuana",120,4221,4737,1294,220,11,191,713,768,111,52,2109,84,778,378,17,".307",".373",".500",".873"
"6","2019","Bravos de Leon",117,4046,4608,1237,209,25,129,643,680,51,40,1883,46,818,434,21,".306",".376",".465",".841"
"7","2019","Pericos de Puebla",117,4108,4642,1240,237,16,156,677,730,42,38,1977,78,762,382,27,".302",".369",".481",".850"
"8","2019","Tecos de los Dos Laredos",120,4209,4659,1265,205,16,166,637,683,77,43,2000,48,877,336,13,".301",".356",".475",".831"
"9","2019","Guerreros de Oaxaca",120,4196,4773,1258,272,28,176,749,794,132,57,2114,77,914,440,23,".300",".373",".504",".877"
"10","2019","Leones de Yucatan",118,4038,4760,1206,218,27,126,657,714,103,44,1856,89,875,513,23,".299",".386",".460",".846"
"11","2019","Rieleros de Aguascalientes",119,4175,4828,1239,220,29,168,749,785,72,35,2021,61,897,520,18,".297",".379",".484",".863"
"12","2019","Olmecas de Tabasco",117,3983,4491,1178,196,15,85,537,581,72,47,1659,58,769,346,18,".296",".357",".417",".774"
"13","2019","Piratas de Campeche",115,3946,4399,1163,173,16,130,583,619,72,31,1758,34,681,331,17,".295",".351",".446",".797"
"14","2019","Tigres de Quintana Roo",119,4124,4662,1211,207,17,120,624,669,69,35,1812,50,832,403,23,".294",".361",".439",".800"
"15","2019","Algodoneros Union Laguna",116,3971,4479,1138,226,25,108,596,628,46,40,1738,56,882,384,23,".287",".355",".438",".793"
"16","2021","Saraperos de Saltillo",66,2335,2626,719,143,11,102,413,438,30,14,1190,25,469,226,6,".308",".372",".510",".882"
