Name,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
Nestor Molina,28,9,1,1.57,16,16,1,0,0,0,0,108.2,431,88,25,19,5,25,1,5,4,1,76
Jose Samayoa,27,9,1,2.34,16,10,0,0,0,0,0,73,303,68,22,19,2,24,0,2,7,0,53
Walter Silva,40,4,7,2.51,15,15,1,0,0,0,0,86,357,81,34,24,3,24,0,4,3,0,45
Jose Pina,31,4,5,2.57,12,12,0,0,0,0,0,73.2,294,65,24,21,4,17,1,4,1,1,48
Irwin Delgado,28,9,2,2.6,15,15,1,0,0,0,0,93.1,393,86,32,27,3,39,1,4,4,0,84
Yoanner Negrin,33,8,3,2.81,15,15,2,2,0,0,0,96,391,84,33,30,4,23,1,6,3,0,70
Josh Roenicke,34,6,4,2.92,14,14,0,0,0,0,0,83.1,359,97,32,27,6,22,0,4,4,0,75
Ruddy Acosta,25,4,3,2.93,9,9,1,1,0,0,0,61.1,245,63,21,20,2,7,1,5,0,0,31
Pablo Ortega,40,9,3,3.01,14,14,0,0,0,0,0,89.2,365,87,32,30,7,19,0,9,4,2,52
Octavio Acosta,26,9,1,3.16,15,14,0,0,0,0,0,85.1,356,82,30,30,8,32,1,3,8,0,66
Manuel Al Flores,31,4,5,3.31,14,14,1,0,0,0,0,84.1,338,79,32,31,6,15,1,2,5,0,60
Salvador Valdez,34,2,6,3.36,15,15,0,0,0,0,0,72.1,310,87,32,27,5,19,0,1,2,0,33
Miguel Pena,26,6,2,3.41,13,13,0,0,0,0,0,66,276,66,25,25,6,24,0,2,1,0,46
Josh Lowey,32,6,5,3.52,14,14,0,0,0,0,0,87,362,90,37,34,2,20,0,2,7,0,104
Francisco Rodriguez,34,6,3,3.58,12,10,0,0,0,0,0,60.1,255,63,24,24,5,20,0,1,5,1,29
Raul Carrillo,25,3,2,3.62,15,11,0,0,0,0,1,69.2,301,75,32,28,4,28,0,5,3,0,35
Alex Maestri,32,3,6,3.63,15,15,1,0,0,0,0,86.2,359,76,37,35,6,31,2,3,4,0,61
Jaime Lugo,25,5,1,3.88,17,9,0,0,0,1,1,67.1,296,77,32,29,4,26,0,1,5,0,49
Rolando Valdez,31,6,4,3.89,15,15,1,0,0,0,0,90.1,382,102,44,39,12,18,0,4,0,1,54
Kameron Loe,35,6,5,4.04,15,15,0,0,0,0,0,91.1,389,87,44,41,3,30,0,5,12,0,82
Alejandro Astorga,30,2,9,4.13,15,15,0,0,0,0,0,76.1,336,89,43,35,7,24,1,7,1,0,48
Angel Castro,34,9,2,4.24,15,15,2,0,0,0,0,93.1,397,108,53,44,6,25,0,2,4,0,62
Daniel Guerrero,31,2,7,4.27,15,15,0,0,0,0,0,84.1,374,101,47,40,9,34,0,2,3,0,44
Manny Barreda,28,1,6,4.31,13,12,0,0,0,0,0,62.2,276,64,34,30,5,26,0,3,2,0,56
Amilcar Gaxiola,26,7,3,4.33,14,14,0,0,0,0,0,72.2,322,81,35,35,8,30,0,6,2,1,45
Andres Ivan Meza,30,5,3,4.42,14,14,0,0,0,0,0,73.1,331,91,39,36,3,25,0,8,5,0,50
Frankie De La Cruz,33,6,4,4.48,13,13,0,0,0,0,0,76.1,324,71,42,38,6,29,4,7,4,0,57
Dustin Crenshaw,28,6,3,4.5,13,13,1,1,0,0,0,78,329,85,42,39,9,11,1,5,3,0,45
Enrique Lechuga,31,5,2,4.55,13,12,0,0,0,0,0,59.1,259,85,33,30,3,15,0,3,0,0,31
Mauricio Lara,38,5,5,4.56,13,13,0,0,0,0,0,73,318,81,42,37,4,22,1,9,2,0,48
Arturo Lopez,34,6,2,4.66,14,14,0,0,0,0,0,77.1,325,87,42,40,7,18,1,0,3,0,41
Yohan Flande,31,9,4,4.72,16,16,0,0,0,0,0,89.2,391,107,49,47,5,23,0,2,6,4,71
David Reyes,27,6,6,4.74,15,15,2,1,0,0,0,89.1,393,111,54,47,10,21,0,5,3,0,56
Jonathan Castellanos,35,4,3,4.79,12,12,0,0,0,0,0,67.2,293,77,41,36,7,26,0,4,2,0,34
Daniel Rodriguez,32,6,5,4.87,15,15,0,0,0,0,0,85,378,96,48,46,4,35,2,1,15,0,54
Javier Solano,27,7,4,4.88,15,15,1,0,0,0,0,94,390,99,52,51,14,18,0,5,3,0,55
Roy Merritt,31,5,4,5,15,15,0,0,0,0,0,77.1,341,100,48,43,11,17,0,5,4,1,62
Ernesto Zaragoza,24,5,4,5.21,13,13,0,0,0,0,0,67.1,299,69,43,39,9,32,0,4,7,0,60
Alfonso Sanchez,28,4,7,5.49,15,12,0,0,0,0,0,62.1,278,73,42,38,4,23,1,2,5,0,40
Tyler Herron,30,3,5,5.52,12,12,0,0,0,0,0,60.1,279,80,42,37,5,23,0,1,5,0,52
Henry Garcia,27,4,5,5.52,13,12,0,0,0,0,0,58.2,271,80,42,36,6,26,1,3,4,0,32
Carlos Teller,30,2,4,5.64,14,14,0,0,0,0,0,68.2,314,79,49,43,5,29,0,6,5,1,43
Jesse Estrada,33,3,6,5.64,12,12,0,0,0,0,0,59,259,70,37,37,10,14,1,4,1,0,24
Orlando Lara,32,6,6,5.89,15,14,0,0,0,0,0,73.1,328,93,49,48,9,21,0,2,3,0,55
Edgar Osuna,29,5,6,6.11,15,15,0,0,0,0,0,70.2,328,98,50,48,8,29,1,1,1,0,44
Mario Gonzalez,30,1,8,6.61,15,15,0,0,0,0,0,81.2,383,114,65,60,16,25,5,5,6,0,63
Juan Pablo Oramas,27,1,6,6.85,14,14,0,0,0,0,0,64.1,304,83,57,49,7,35,0,1,3,1,55
Sergio Valenzuela,32,4,6,6.89,14,14,0,0,0,0,0,65.1,305,95,53,50,14,20,0,3,1,0,39
