Name,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP
Wirfin Obispo,32,72.1,12.32,2.61,4.71,0,33.70%,7.10%,26.50%,0.223,1.12,0.353,76.50%,2.12,1.91,0.2,3.14
Jose Valverde,39,57.2,11.24,2.65,4.24,0.31,28.90%,6.80%,22.10%,0.253,1.3,0.361,77.10%,2.81,2.61,0.2,3.27
Josh Lowey,32,127,10.35,2.55,4.06,0.28,28.10%,6.90%,21.20%,0.239,1.19,0.334,72.60%,2.69,2.62,0.07,2.98
Alberto Leyva,20,50.2,8.17,1.6,5.11,0.36,24.00%,4.70%,19.30%,0.199,0.89,0.256,83.70%,1.78,2.96,-1.19,3.65
Rafael Diaz,46,75,6.6,2.4,2.75,0.24,17.10%,6.20%,10.90%,0.292,1.44,0.353,66.90%,4.44,3.34,1.1,4.28
Carlos Hernandez,30,97.2,5.99,1.38,4.33,0.37,16.70%,3.90%,12.90%,0.253,1.12,0.297,75.00%,2.67,3.34,-0.67,3.65
Nestor Molina,28,152.2,7.31,2.18,3.35,0.35,20.20%,6.00%,14.20%,0.226,1.08,0.279,80.90%,1.89,3.41,-1.52,3.98
Ryan Verdugo,30,81.2,9.48,1.98,4.78,0.88,25.80%,5.40%,20.40%,0.26,1.22,0.335,83.30%,2.64,3.44,-0.8,3.13
Yohan Flande,31,130,6.99,2.35,2.97,0.42,18.00%,6.10%,12.00%,0.288,1.42,0.348,66.60%,4.36,3.49,0.87,3.61
Raul Barron,31,51,5.65,2.47,2.29,0.18,16.50%,7.20%,9.30%,0.19,0.94,0.226,79.80%,1.76,3.5,-1.73,4.13
Josh Roenicke,34,120,7.73,2.1,3.68,0.6,20.50%,5.60%,14.90%,0.274,1.31,0.336,78.80%,2.7,3.57,-0.87,3.8
Yoanner Negrin,33,129,6.49,2.16,3,0.35,17.70%,5.90%,11.80%,0.237,1.13,0.284,73.50%,2.93,3.58,-0.65,4.17
Antonio Guzman,29,73.2,8.31,3.54,2.34,0.24,22.40%,9.50%,12.80%,0.198,1.11,0.258,69.60%,2.69,3.59,-0.9,4.57
Edgar Gonzalez,34,95,4.93,2.18,2.26,0.19,13.20%,5.80%,7.30%,0.263,1.26,0.302,70.70%,2.94,3.62,-0.68,4.35
Kameron Loe,35,132.2,7.46,2.98,2.5,0.41,19.50%,7.80%,11.70%,0.26,1.34,0.32,65.90%,4.07,3.65,0.42,3.71
Manuel Al Flores,31,130.1,6.63,1.73,3.84,0.62,17.90%,4.70%,13.30%,0.262,1.21,0.308,70.10%,3.59,3.68,-0.09,4.05
Jesus Barraza,26,50.1,6.26,2.68,2.33,0.36,18.00%,7.70%,10.30%,0.202,1.01,0.241,81.30%,2.15,3.69,-1.55,4.58
Eder Llamas,31,64,5.34,2.67,2,0.14,12.80%,6.40%,6.40%,0.325,1.69,0.375,64.20%,4.78,3.71,1.07,4.78
Jose Samayoa,27,110,6.3,3.11,2.03,0.33,17.20%,8.50%,8.70%,0.233,1.21,0.278,79.80%,2.29,3.81,-1.52,4.52
Alex Sanabia,28,51.1,5.26,2.1,2.5,0.35,13.50%,5.40%,8.10%,0.256,1.27,0.291,67.50%,3.86,3.83,0.03,4.64
Angel Castro,34,138.2,6.23,2.66,2.34,0.45,16.50%,7.00%,9.40%,0.284,1.4,0.336,65.40%,4.28,3.86,0.42,4.22
Mitch Lively,31,74.2,7.23,2.41,3,0.6,19.30%,6.40%,12.90%,0.259,1.26,0.312,78.30%,2.41,3.88,-1.47,3.9
Emmanuel Torres,23,71,7.99,3.93,2.03,0.38,20.40%,10.00%,10.40%,0.242,1.37,0.304,70.60%,2.79,3.91,-1.12,4.28
Jaime Lugo,25,108.1,5.65,2.82,2,0.42,14.40%,7.20%,7.20%,0.287,1.47,0.331,68.60%,3.9,3.93,-0.02,4.71
Jose Pina,31,112.1,5.93,2.48,2.39,0.48,16.40%,6.90%,9.50%,0.231,1.13,0.269,77.70%,2.64,3.95,-1.31,4.34
Juan Sandoval,36,58.2,7.21,3.22,2.24,0.46,19.00%,8.50%,10.50%,0.256,1.33,0.312,73.30%,3.07,3.96,-0.89,4.08
Irwin Delgado,28,119,8.39,3.93,2.13,0.53,21.20%,9.90%,11.30%,0.277,1.52,0.352,72.80%,3.93,3.98,-0.04,4.08
Axel Rios,24,76,7.58,4.26,1.78,0.36,18.40%,10.30%,8.10%,0.285,1.63,0.351,61.10%,4.97,3.98,0.99,4.2
Manny Barreda,28,93,8.61,3.29,2.62,0.77,22.60%,8.60%,14.00%,0.241,1.29,0.3,68.90%,4.06,4.01,0.05,3.86
Dustin Crenshaw,28,125,5.69,1.15,4.94,0.79,15.20%,3.10%,12.10%,0.269,1.2,0.302,69.00%,3.96,4.02,-0.06,3.94
Guillermo Moscoso,33,88,6.14,2.45,2.5,0.61,16.50%,6.60%,9.90%,0.237,1.18,0.272,68.70%,3.89,4.02,-0.14,4.48
Miguel Pena,26,107.1,6.96,2.85,2.44,0.67,19.10%,7.80%,11.30%,0.244,1.22,0.29,82.10%,2.77,4.04,-1.28,3.92
Hector Galvan,29,70,5.01,2.96,1.7,0.39,13.30%,7.90%,5.50%,0.26,1.33,0.295,73.50%,3.09,4.09,-1,4.78
Walter Silva,40,117.1,4.53,2.76,1.64,0.31,11.80%,7.20%,4.60%,0.264,1.34,0.296,71.00%,3.07,4.1,-1.03,4.57
Salvador Valdez,34,100,4.14,2.25,1.84,0.45,10.70%,5.80%,4.90%,0.3,1.46,0.329,68.60%,3.69,4.13,-0.44,4.67
Jorge Reyes,29,56.2,6.19,3.81,1.63,0.32,15.20%,9.30%,5.80%,0.283,1.57,0.333,72.90%,3.97,4.13,-0.16,5.01
Enrique Lechuga,31,59.1,4.7,2.28,2.07,0.46,12.00%,5.80%,6.20%,0.353,1.69,0.396,70.90%,4.55,4.14,0.41,4.71
