"","Venue","Team","Hits/9in","Runs/9in","Pitches/Pitcher","Time/Pitch","Time/PA","Time/9inGame"
"1","Estadio Mobil Super","Sultanes de Monterrey",20.66,11.47,28.545,"00:00:36","00:02:19","03:01:27"
"2","Estadio Hermanos Serdan","Pericos de Puebla",21.74,12.76,26.363,"00:00:38","00:02:20","03:03:49"
"3","Estadio Alberto Romo Chavez","Rieleros de Aguascalientes",21.92,12.87,27.613,"00:00:36","00:02:15","03:02:37"
"4","Parque Nelson Barrera Romellon","Piratas de Campeche",17.44,9.97,29.984,"00:00:36","00:02:20","03:00:08"
"5","Estadio Kickapoo Lucky Eagle","Acereros del Norte",18.99,10,28.013,"00:00:36","00:02:18","02:57:27"
"6","Parque Lic. Eduardo Vasconcelos","Guerreros de Oaxaca",23.18,14.18,28.38,"00:00:37","00:02:22","03:11:54"
"7","Parque Francisco I. Madero","Saraperos de Saltillo",21.84,11.64,26.591,"00:00:39","00:02:20","03:01:34"
"8","Parque Centenario 27 de Febrero","Olmecas de Tabasco",15.64,7.35,31.088,"00:00:36","00:02:23","02:55:16"
"9","Estadio de la Revolucion","Algodoneros Union Laguna",19.08,10.29,27.096,"00:00:37","00:02:24","03:07:44"
"10","Estadio Chevron","Toros de Tijuana",16.14,8.59,27.839,"00:00:35","00:02:19","02:52:41"
"11","Estadio Universitario Beto Avila","El Aguila de Veracruz",17.03,9.28,30.902,"00:00:38","00:02:25","02:59:58"
"12","Estadio Chihuahua","Dorados de Chihuahua",22.49,12.78,27.554,"00:00:38","00:02:18","03:03:01"
"13","Parque la Junta","Tecos de los Dos Laredos",20.11,10.3,30.38,"00:00:33","00:02:13","02:50:41"
"14","Estadio De Beisbol Beto Avila","Tigres de Quintana Roo",16.05,7.52,28.738,"00:00:36","00:02:24","03:02:25"
"15","Estadio Panamericano","Charros de Jalisco",22.36,13.74,28.768,"00:00:35","00:02:17","03:06:07"
"16","Parque Domingo Santana","Bravos de Leon",22.59,13.54,28.292,"00:00:37","00:02:23","03:16:16"
"17","Estadio Francisco Villa","Caliente de Durango",21.74,13.52,27.841,"00:00:36","00:02:21","03:12:20"
"18","Uni-Trade Stadium","Tecos de los Dos Laredos",16.88,8.4,30.876,"00:00:34","00:02:17","02:49:13"
"19","Estadio Alfredo Harp Helu","Diablos Rojos del Mexico",23.15,14.08,29.135,"00:00:36","00:02:21","03:06:14"
"20","Estadio Conspiradores","Conspiradores de Queretaro",24.86,15.82,31.886,"00:00:38","00:02:24","03:19:25"
"21","Estadio de Beisbol VIctor Cervera Pacheco","Leones de Yucatan",16.95,8.87,30.688,"00:00:35","00:02:16","02:50:56"
