"","Year","Name","Team","POS","GP","GS","IP","GO","AO","NP","O","CG","SHO","BK","GO/AO","P/INN","K/BB","K/9","W/9","H/9","R/9","HR/9","K%","BB%","K-BB%","FIP"
"1","2019","Beau Amaral","TIJ","OF",1,0,"2.0",0,3,22,6,0,0,0,"0.00","11.00","-.--","0.00","0.00","4.50","0.00","0.00",0,0,0,3.81
"2","2019","Kida De La Cruz","TIG","P",1,0,"1.0",0,2,25,3,0,0,0,"0.00","25.00","0.50","9.00","18.00","9.00","0.00","0.00",16.7,33.3,-16.6,7.81
"3","2019","Juan Omar Espinoza","PUE","P",1,0,"0.2",0,0,16,2,0,0,0,"-.--","24.00","0.00","0.00","13.50","13.50","0.00","0.00",0,25,-25,18.81
"4","2019","Ryan Flores","MEX","P",1,0,"1.2",0,1,36,5,0,0,0,"0.00","21.60","1.00","5.40","5.40","10.80","0.00","0.00",12.5,12.5,0,4.65
"5","2019","Mario Gonzalez","LAR","P",5,1,"5.2",0,9,80,17,0,0,0,"0.00","14.12","1.00","1.59","1.59","11.12","0.00","0.00",4.5,4.5,0,4.01
"6","2019","Yosshel Hurtado","PUE","P",3,0,"5.2",0,5,90,17,0,0,0,"0.00","15.88","5.00","7.94","1.59","4.76","0.00","0.00",22.7,4.5,18.2,3.62
"7","2019","Jordan Mejia","LEO","P",1,0,"1.0",0,1,20,3,0,0,0,"0.00","20.00","0.00","0.00","9.00","9.00","0.00","0.00",0,16.7,-16.7,9.81
"8","2019","Enrique Burgos","YUC","P",16,0,"15.1",0,9,235,46,0,0,0,"0.00","15.33","3.80","11.15","2.93","4.70","1.17","0.00",32.2,8.5,23.7,2.49
"9","2019","Carlos Pech","YUC","P",7,0,"11.0",0,17,182,33,0,0,0,"0.00","16.55","1.25","4.09","3.27","8.18","1.64","0.82",10.6,8.5,2.1,5.45
"10","2019","Ulises Joaquin","PUE","P",13,0,"16.2",0,19,243,50,0,0,0,"0.00","14.58","4.00","10.80","2.70","3.78","1.62","0.00",32.3,8.1,24.2,2.27
"11","2019","Juan Cossio","TIG","P",16,0,"17.2",0,24,272,53,0,0,0,"0.00","15.40","3.17","9.68","3.06","4.08","2.04","1.53",27.9,8.8,19.1,4.92
"12","2019","Alejandro Barraza","LAR","P",22,0,"19.1",0,16,279,58,0,0,0,"0.00","14.43","3.20","7.45","2.33","7.91","2.33","0.47",20.8,6.5,14.3,3.6
"13","2019","Juan Ramon Noriega","TIG","P",57,0,"57.1",0,43,905,172,0,0,2,"0.00","15.78","3.42","10.20","2.98","6.59","2.04","0.78",28.1,8.2,19.9,4.04
"14","2019","Jonathan Partida","OAX","P",33,0,"19.0",0,22,320,57,0,0,0,"0.00","16.84","2.00","7.58","3.79","6.63","3.32","0.47",20.3,10.1,10.2,4.23
"15","2019","Nathanael Santiago","MEX","P",37,0,"37.1",0,33,587,112,0,0,0,"0.00","15.72","3.78","8.20","2.17","7.47","1.93","0.24",22.7,6,16.7,3.38
"16","2019","Justin Kelly","MVA","P",28,0,"16.1",0,18,291,49,0,0,0,"0.00","17.82","1.45","8.82","6.06","4.96","2.20","0.55",23.2,15.9,7.3,4.68
"17","2019","César Valdez","YUC","P",23,23,"147.2",10,96,2001,443,0,0,0,"0.10","13.55","7.18","7.44","1.04","8.53","2.50","0.37",20.8,2.9,17.9,3.15
"18","2019","Alberto Baldonado","MTY","P",20,0,"24.2",3,25,439,74,0,0,0,"0.12","17.80","2.23","10.58","4.74","5.84","2.92","0.73",28.7,12.9,15.8,4.23
"19","2019","Carlos Bustamante","MVA","P",47,0,"49.0",2,41,798,147,0,0,0,"0.05","16.29","4.19","12.31","2.94","7.71","3.31","1.10",32.8,7.8,25,3.71
"20","2019","Horacio Ramirez","TIJ","P",32,1,"34.2",0,33,477,104,0,0,0,"0.00","13.76","1.13","2.34","2.08","8.05","3.12","0.78",6.4,5.7,0.7,5.13
"21","2019","Wirfin Obispo","MTY","P",56,0,"58.1",0,49,857,175,0,0,0,"0.00","14.69","4.81","11.88","2.47","7.56","3.09","0.00",31.8,6.6,25.2,2.3
"22","2019","Matt Ramsey","TIJ","P",32,0,"34.0",3,32,594,102,0,0,2,"0.09","17.47","2.47","9.79","3.97","8.74","4.50","0.00",24.7,10,14.7,3.14
"23","2019","Dustin Crenshaw","YUC","P",7,7,"43.0",0,36,579,129,0,0,0,"0.00","13.47","9.67","6.07","0.63","7.53","3.14","0.63",17.6,1.8,15.8,3.79
"24","2019","Josh Lueke","YUC","P",45,0,"47.1",0,43,710,142,0,0,0,"0.00","15.00","3.29","8.75","2.66","8.94","2.85","0.95",23.2,7.1,16.1,4.2
"25","2019","Mario Morales","MVA","P",50,0,"50.1",0,43,836,151,0,0,0,"0.00","16.61","2.56","8.23","3.22","10.37","2.86","1.25",20.9,8.2,12.7,4.87
"26","2019","Adrian Gusman","MTY","P",44,1,"40.0",0,23,593,120,0,0,0,"0.00","14.83","2.20","7.43","3.38","7.65","2.93","0.90",20.4,9.3,11.1,4.66
"27","2019","Brennan Bernardino","TIJ","P",33,2,"33.2",1,20,515,101,0,0,0,"0.05","15.30","4.33","10.43","2.41","6.95","2.94","0.80",28.7,6.6,22.1,3.81
"28","2019","Alberto Leyva","MVA","P",49,0,"36.2",0,47,600,110,0,0,0,"0.00","16.36","1.50","5.89","3.93","9.82","4.66","1.72",14.9,9.9,5,6.41
"29","2019","Juan Rodriguez","TIG","P",35,0,"36.0",0,37,548,108,0,0,0,"0.00","15.22","1.87","7.00","3.75","9.50","3.50","0.50",17.8,9.6,8.2,4.31
"30","2019","Arquimedes Caminero","MEX","P",33,0,"38.0",8,43,678,114,0,0,0,"0.19","17.84","2.00","8.05","4.03","7.34","3.32","1.18",21.1,10.6,10.5,5.23
"31","2019","Jeff Ibarra","LAR","P",50,0,"29.0",1,21,433,87,0,0,0,"0.05","14.93","3.63","9.00","2.48","7.76","4.03","0.62",23.4,6.5,16.9,3.74
"32","2019","Luis Ivan Rodriguez","TIG","P",61,0,"69.1",0,57,988,208,0,0,0,"0.00","14.25","6.33","7.40","1.17","8.05","3.25","1.04",20.7,3.3,17.4,4.23
"33","2019","Jacinto Garcia","CAM","P",4,0,"5.2",0,5,94,17,0,0,0,"0.00","16.59","1.33","6.35","4.76","6.35","3.18","1.59",19,14.3,4.7,6.51
"34","2019","Felipe Gonzalez","MTY","P",52,0,"50.1",0,39,895,151,0,0,0,"0.00","17.78","2.48","10.19","4.11","8.23","3.93","0.54",25.8,10.4,15.4,3.87
"35","2019","Yoanner Negrin","YUC","P",24,24,"148.0",0,127,2331,444,0,0,0,"0.00","15.75","2.53","7.54","2.98","8.09","3.77","0.61",19.9,7.9,12,4.29
"36","2019","Grant Sides","MEX","P",47,0,"47.1",0,40,809,142,0,0,0,"0.00","17.09","2.17","9.51","4.37","7.23","3.42","0.57",24.6,11.3,13.3,4.37
"37","2019","Aaron Kurcz","TIJ","P",20,0,"19.1",0,12,315,58,0,0,0,"0.00","16.29","7.00","13.03","1.86","6.52","3.26","1.86",37.3,5.3,32,4.39
"38","2019","James Russell","TIJ","P",19,18,"88.1",0,110,1328,265,0,0,0,"0.00","15.03","6.00","6.72","1.12","9.17","3.36","1.32",18.4,3.1,15.3,4.64
"39","2019","Derrick Loop","TAB","P",47,0,"49.2",0,37,793,149,0,0,1,"0.00","15.97","2.33","7.61","3.26","8.34","3.81","0.36",20.3,8.7,11.6,3.85
"40","2019","Al Alburquerque","MVA","P",52,0,"52.1",0,35,692,157,0,0,0,"0.00","13.22","4.75","6.54","1.38","7.74","3.78","1.03",18.4,3.9,14.5,4.48
"41","2019","Juan Robles","MEX","P",37,0,"43.2",0,37,710,131,0,0,0,"0.00","16.26","3.21","9.27","2.89","8.86","3.30","0.82",25.3,7.9,17.4,3.91
"42","2019","Jose Meraz","LAR","P",47,0,"30.0",0,33,505,90,0,0,0,"0.00","16.83","0.89","4.80","5.40","8.10","3.30","0.00",11.9,13.4,-1.5,4.95
"43","2019","Andres Avila","YUC","P",59,0,"56.0",0,49,853,168,0,0,1,"0.00","15.23","3.06","7.88","2.57","7.71","3.70","0.80",21.7,7.1,14.6,4.13
"44","2019","Anthony Carter","AGS","P",51,0,"61.1",2,46,958,184,0,0,0,"0.04","15.62","2.15","8.51","3.96","8.36","4.11","1.32",21.8,10.2,11.6,5.3
"45","2019","Gabriel Arias","PUE","P",19,11,"66.0",0,70,1049,198,0,0,1,"0.00","15.89","2.44","6.00","2.45","9.55","3.95","0.95",15.8,6.5,9.3,4.81
"46","2019","Adam Quintana","MVA","P",40,11,"84.2",0,74,1409,254,0,0,0,"0.00","16.64","1.90","8.08","4.25","8.19","3.61","0.74",21.2,11.1,10.1,4.58
"47","2019","Jesus Pirela","TIJ","P",71,0,"64.0",1,45,973,192,0,0,0,"0.02","15.20","4.13","9.28","2.25","7.59","3.66","0.84",25.6,6.2,19.4,3.91
"48","2019","Juan Gámez","MTY","P",46,0,"46.0",0,26,718,138,0,0,0,"0.00","15.61","1.29","6.07","4.70","7.43","3.52","0.20",15.8,12.2,3.6,4.57
"49","2019","Mario Meza","SLT","P",61,0,"58.2",1,37,1006,176,0,0,0,"0.03","17.15","3.42","12.58","3.68","9.05","4.14","0.61",31.7,9.3,22.4,3.23
"50","2019","Gerardo Sanchez","TIJ","P",62,0,"56.0",3,34,876,168,0,0,0,"0.09","15.64","4.15","8.68","2.09","8.68","3.86","0.96",23.3,5.6,17.7,4.19
"51","2019","Manny Parra","YUC","P",23,1,"27.0",0,25,416,81,0,0,0,"0.00","15.41","2.56","7.67","3.00","8.67","4.67","0.00",19.7,7.7,12,3.11
"52","2019","Scott Harkin","PUE","P",17,14,"83.1",0,74,1411,250,0,0,0,"0.00","16.93","3.14","7.45","2.38","9.72","4.54","0.97",19.7,6.3,13.4,4.39
"53","2019","Joshua Corrales","TIG","P",49,1,"51.1",0,42,897,154,0,0,0,"0.00","17.47","3.22","10.17","3.16","7.89","4.21","0.70",26.6,8.3,18.3,3.79
"54","2019","Jose Martinez","SLT","P",9,0,"9.2",0,8,161,29,0,0,0,"0.00","16.66","1.80","8.38","4.66","7.45","3.72","0.93",22.5,12.5,10,4.9
"55","2019","Ruddy Acosta","OAX","P",12,12,"62.1",0,59,1093,187,0,0,1,"0.00","17.53","1.95","5.92","3.03","11.26","5.05","1.44",14.6,7.5,7.1,5.7
"56","2019","Roman Mendez","LAR","P",59,0,"62.1",0,62,1092,187,0,0,0,"0.00","17.52","1.91","9.39","4.91","7.94","3.90","1.01",23.6,12.4,11.2,4.88
"57","2019","Felipe Arredondo","TIG","P",43,2,"64.0",0,70,953,192,0,0,0,"0.00","14.89","2.13","6.89","3.23","8.44","4.50","1.13",18.4,8.6,9.8,5.08
"58","2019","Daniel Cruz","MTY","P",19,0,"23.2",0,30,407,71,0,0,0,"0.00","17.20","3.00","9.13","3.04","8.37","3.80","1.14",23.8,7.9,15.9,4.59
"59","2019","Francisco Haro","CAM","P",76,0,"70.2",0,64,1026,212,0,0,1,"0.00","14.52","3.00","6.88","2.29","8.79","4.08","1.02",18.1,6,12.1,4.91
"60","2019","Juan Pablo Oramas","TAB","P",23,23,"140.1",0,153,2295,421,3,1,1,"0.00","16.35","2.79","9.30","3.33","9.36","4.10","0.71",24,8.6,15.4,3.9
"61","2019","Manny Acosta","LEO","P",43,0,"44.1",0,34,781,133,0,0,0,"0.00","17.62","2.00","10.56","5.28","7.51","4.26","0.20",26.4,13.2,13.2,3.72
"62","2019","Juan Alvarado","PUE","P",1,0,"2.1",0,6,49,7,0,0,0,"0.00","21.00","0.00","0.00","7.71","11.57","3.86","0.00",0,16.7,-16.7,6.67
"63","2019","Jumbo Díaz","TIJ","P",58,0,"56.0",2,38,884,168,0,0,0,"0.05","15.79","3.30","10.61","3.21","7.39","4.34","0.64",28.4,8.6,19.8,3.62
"64","2019","Miguel Socolovich","OAX","P",40,0,"42.0",0,37,676,126,0,0,0,"0.00","16.10","3.70","7.93","2.14","10.07","3.86","0.86",20.9,5.6,15.3,4.07
"65","2019","Josh Lowey","MVA","P",9,9,"53.0",4,51,797,159,0,0,0,"0.08","15.04","3.93","9.34","2.38","8.15","3.91","0.85",25.5,6.5,19,3.76
"66","2019","Carlos Hernandez","TIJ","P",18,17,"73.0",0,48,1172,219,0,0,0,"0.00","16.05","3.88","8.14","2.10","10.97","5.05","0.37",20.3,5.2,15.1,3.44
"67","2019","Devin Raftery","MVA","P",19,0,"20.1",0,22,336,61,0,0,0,"0.00","16.52","4.60","10.18","2.21","8.85","4.43","0.89",28,6.1,21.9,3.56
"68","2019","Roman Pena","LAG","RF",70,0,"44.2",1,40,701,134,0,0,0,"0.03","15.69","1.93","5.84","3.02","10.07","4.43","0.81",14.9,7.7,7.2,4.83
"69","2019","Jose Samayoa","YUC","P",22,22,"115.2",0,111,1885,347,0,0,0,"0.00","16.30","3.30","8.48","2.57","9.18","4.90","0.86",22.1,6.7,15.4,4.2
"70","2019","Erick Casillas","OAX","P",55,0,"44.1",1,48,680,133,0,0,0,"0.02","15.34","3.23","8.53","2.64","8.53","4.06","1.22",23,7.1,15.9,4.63
"71","2019","Lisalverto Bonilla","TIG","P",4,2,"11.0",0,8,194,33,0,0,0,"0.00","17.64","1.29","7.36","5.73","8.18","4.09","0.82",18,14,4,5.54
"72","2019","Gabriel Garcia","TIJ","P",11,11,"55.0",4,50,931,165,0,0,0,"0.08","16.93","3.06","8.51","2.78","9.65","4.42","1.31",21.8,7.1,14.7,4.79
"73","2019","Rodolfo Aguirre","PUE","P",11,0,"15.1",1,20,258,46,0,0,0,"0.05","16.83","3.75","8.80","2.35","7.63","5.28","1.76",24.2,6.5,17.7,5.2
"74","2019","Francisco Rios","MEX","P",21,1,"34.1",2,22,624,103,0,0,0,"0.09","18.17","1.56","6.55","4.19","8.39","4.46","1.05",16.8,10.7,6.1,5.46
"75","2019","Wilfredo Boscan","TIG","P",20,20,"108.2",0,93,1634,326,0,0,0,"0.00","15.04","2.58","5.55","2.15","8.86","4.72","0.50",14.7,5.7,9,4.32
"76","2019","Thomas Melgarejo","MTY","P",40,0,"35.2",0,36,552,107,0,0,0,"0.00","15.48","2.91","8.07","2.78","8.58","4.29","0.25",20.8,7.1,13.7,3.73
"77","2019","Francisco Rodríguez","MVA","P",10,0,"8.1",0,12,127,25,0,0,0,"0.00","15.24","2.25","9.72","4.32","7.56","4.32","2.16",23.7,10.5,13.2,7.02
"78","2019","Nick Struck","MTY","P",37,0,"37.1",0,28,626,112,0,0,0,"0.00","16.77","1.93","6.99","3.62","10.61","4.82","0.48",17.1,8.8,8.3,4.49
"79","2019","César Vargas","MTY","P",32,18,"114.0",0,78,1734,342,0,0,0,"0.00","15.21","3.41","7.26","2.13","10.82","4.74","0.71",18.9,5.5,13.4,3.96
"80","2019","Eddie Gamboa","MTY","P",9,0,"12.1",0,13,181,37,0,0,0,"0.00","14.68","3.00","4.38","1.46","12.41","4.38","2.19",11.3,3.8,7.5,6.54
"81","2019","Manny Barreda","TIJ","P",23,21,"104.1",0,97,1868,313,0,0,1,"0.00","17.90","2.26","8.19","3.62","10.01","4.83","1.64",20.6,9.1,11.5,5.69
"82","2019","Ernesto Zaragoza","AGS","P",14,8,"47.0",0,52,847,141,0,0,0,"0.00","18.02","1.43","6.32","4.40","11.11","4.40","0.77",14.9,10.4,4.5,5.37
"83","2019","Jesus Juarez","AGS","P",14,1,"16.1",0,23,247,49,0,0,0,"0.00","15.12","1.83","6.06","3.31","8.82","5.51","1.10",15.5,8.5,7,5.18
"84","2019","Jovany Lopez","CAM","P",26,0,"16.1",0,15,237,49,0,0,0,"0.00","14.51","2.80","7.71","2.76","5.51","4.41","1.10",22.6,8.1,14.5,4.81
"85","2019","Dennis O'Grady","TAB","P",13,13,"65.1",0,53,1114,196,0,0,0,"0.00","17.05","2.42","7.99","3.31","10.61","5.65","0.55",19.5,8.1,11.4,4.03
"86","2019","Arcenio Leon","CAM","P",18,0,"18.1",0,12,307,55,0,0,1,"0.00","16.75","3.17","9.33","2.95","8.84","4.91","0.98",24.4,7.7,16.7,4.14
"87","2019","Conor Harber","MVA","P",9,9,"46.2",0,46,790,140,0,0,0,"0.00","16.93","2.40","6.94","2.89","10.80","4.82","0.96",17.5,7.3,10.2,4.9
"88","2019","Demetrio Gutierrez","SLT","P",49,1,"48.2",0,53,757,146,0,0,0,"0.00","15.55","2.80","7.77","2.77","11.65","4.81","0.92",19.4,6.9,12.5,4.41
