"","Year","Name","Team","POS","GP","GS","IP","ERA","W","L","SV","SVO","HLD","K","BB","IBB","BF","H","HR","ER","HBP","GIDP","WP"
"1","2019","Beau Amaral","TIJ","OF",1,0,"2.0","0.00",0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
"2","2019","Kida De La Cruz","TIG","P",1,0,"1.0","0.00",0,0,0,0,0,1,2,0,6,1,0,0,0,0,0
"3","2019","Juan Omar Espinoza","PUE","P",1,0,"0.2","0.00",0,0,0,0,0,0,1,0,4,1,0,0,0,0,0
"4","2019","Ryan Flores","MEX","P",1,0,"1.2","0.00",0,0,0,0,0,1,1,0,8,2,0,0,0,0,1
"5","2019","Mario Gonzalez","LAR","P",5,1,"5.2","0.00",0,0,0,0,1,1,1,0,22,7,0,0,0,0,0
"6","2019","Yosshel Hurtado","PUE","P",3,0,"5.2","0.00",0,0,0,0,0,5,1,0,22,3,0,0,2,2,2
"7","2019","Jordan Mejia","LEO","P",1,0,"1.0","0.00",0,0,0,0,0,0,1,0,6,1,0,0,1,0,1
"8","2019","Enrique Burgos","YUC","P",16,0,"15.1","0.59",2,0,0,0,7,19,5,1,59,8,0,1,1,1,1
"9","2019","Carlos Pech","YUC","P",7,0,"11.0","0.82",0,0,0,0,0,5,4,0,47,10,1,1,1,2,0
"10","2019","Ulises Joaquin","PUE","P",13,0,"16.2","1.08",0,0,4,4,1,20,5,1,62,7,0,2,0,1,1
"11","2019","Juan Cossio","TIG","P",16,0,"17.2","1.53",1,0,0,0,2,19,6,0,68,8,3,3,0,0,1
"12","2019","Alejandro Barraza","LAR","P",22,0,"19.1","1.86",1,1,0,0,6,16,5,0,77,17,1,4,0,2,2
"13","2019","Juan Ramon Noriega","TIG","P",57,0,"57.1","1.88",4,1,12,14,4,65,19,2,231,42,5,12,7,10,1
"14","2019","Jonathan Partida","OAX","P",33,0,"19.0","1.89",2,1,0,0,7,16,8,0,79,14,1,4,1,3,2
"15","2019","Nathanael Santiago","MEX","P",37,0,"37.1","1.93",4,2,9,11,10,34,9,1,150,31,1,8,4,4,8
"16","2019","Justin Kelly","MVA","P",28,0,"16.1","2.20",1,0,0,0,6,16,11,0,69,9,1,4,0,2,1
"17","2019","César Valdez","YUC","P",23,23,"147.2","2.26",15,2,0,0,0,122,17,0,587,140,6,37,6,18,8
"18","2019","Alberto Baldonado","MTY","P",20,0,"24.2","2.55",1,1,0,0,7,29,13,0,101,16,2,7,1,3,5
"19","2019","Carlos Bustamante","MVA","P",47,0,"49.0","2.57",1,3,27,30,0,67,16,3,204,42,6,14,1,4,7
"20","2019","Horacio Ramirez","TIJ","P",32,1,"34.2","2.60",4,0,0,1,8,9,8,0,140,31,3,10,0,8,3
"21","2019","Wirfin Obispo","MTY","P",56,0,"58.1","2.62",6,5,30,33,0,77,16,3,242,49,0,17,6,1,8
"22","2019","Matt Ramsey","TIJ","P",32,0,"34.0","2.65",0,4,1,5,7,37,15,2,150,33,0,10,2,2,3
"23","2019","Dustin Crenshaw","YUC","P",7,7,"43.0","2.72",5,1,0,0,0,29,3,0,165,36,3,13,3,6,0
"24","2019","Josh Lueke","YUC","P",45,0,"47.1","2.85",1,2,22,28,0,46,14,2,198,47,5,15,1,4,3
