"","Year","Team","GP","IP","W","L","SV","SVO","HLD","K","BB","IBB","BF","H","HR","ER","ERA","WHIP","HBP","GIDP","WP","GO","AO","NP","O","CG","SHO","BK","GO/AO","P/INN","K/BB","K/9","W/9","H/9","R/9","HR/9","K%","BB%","K-BB%","FIP"
"1","2019","Toros de Tijuana",120,"1061.1",75,45,29,52,107,980,321,19,4578,1142,126,520,"4.41","1.38",51,96,54,20,919,17248,3184,0,9,2,"0.02","16.25","3.05","8.31","2.72","9.68","4.76","1.07",21.4,7,14.4,4.56
"2","2019","Leones de Yucatan",118,"1040.0",66,52,24,39,59,850,311,11,4508,1115,100,514,"4.45","1.37",75,105,74,14,926,16619,3120,0,7,2,"0.02","15.98","2.73","7.36","2.69","9.65","5.00","0.87",18.9,6.9,12,4.54
"3","2019","Tigres de Quintana Roo",119,"1044.0",62,57,20,35,34,873,406,31,4587,1107,132,563,"4.85","1.45",74,104,88,3,995,17248,3132,3,9,6,"0.00","16.52","2.15","7.53","3.50","9.54","5.38","1.14",19,8.9,10.1,5.16
"4","2019","Sultanes de Monterrey",118,"1040.0",72,46,34,56,77,816,363,10,4608,1194,111,563,"4.87","1.50",61,103,88,0,1002,16802,3120,0,7,5,"0.00","16.16","2.25","7.06","3.14","10.33","5.24","0.96",17.7,7.9,9.8,4.85
"5","2021","Tecos de los Dos Laredos",66,"570.2",30,36,9,16,17,539,250,13,2546,635,53,310,"4.89","1.55",29,58,33,573,520,9925,1712,0,1,4,"1.10","17.39","2.16","8.50","3.94","10.01","5.28","0.84",21.2,9.8,11.4,4.6
"6","2021","Tigres de Quintana Roo",66,"572.2",32,33,16,20,32,403,250,15,2548,627,58,317,"4.98","1.53",53,62,40,643,572,9321,1718,0,6,1,"1.12","16.28","1.61","6.33","3.93","9.85","5.39","0.91",15.8,9.8,6,5.31
"7","2021","Piratas de Campeche",63,"532.2",24,39,12,19,34,383,214,8,2342,582,66,296,"5.00","1.49",21,54,24,586,556,8680,1598,0,3,4,"1.05","16.30","1.79","6.47","3.62","9.83","5.44","1.12",16.4,9.1,7.3,5.31
"8","2021","El Aguila de Veracruz",66,"574.2",35,31,12,22,30,465,221,9,2514,612,82,322,"5.04","1.45",27,57,36,633,556,9443,1724,2,6,0,"1.14","16.43","2.10","7.28","3.46","9.58","5.42","1.28",18.5,8.8,9.7,5.35
"9","2021","Sultanes de Monterrey",64,"554.1",30,33,9,22,27,447,222,2,2505,650,64,311,"5.05","1.57",33,54,62,607,546,9320,1663,0,2,4,"1.11","16.81","2.01","7.26","3.60","10.55","5.75","1.04",17.8,8.9,8.9,5.08
"10","2021","Acereros del Norte",66,"582.1",35,31,16,23,36,508,245,6,2634,689,71,348,"5.38","1.60",27,52,46,565,600,9908,1747,1,2,2,"0.94","17.01","2.07","7.85","3.79","10.65","5.76","1.10",19.3,9.3,10,5.06
"11","2021","Algodoneros Union Laguna",64,"561.0",31,33,19,32,35,379,237,10,2525,649,69,336,"5.39","1.58",26,72,50,628,606,9430,1683,0,3,5,"1.04","16.81","1.60","6.08","3.80","10.41","6.02","1.11",15,9.4,5.6,5.47
"12","2021","Saraperos de Saltillo",66,"571.2",36,30,14,25,39,475,235,6,2612,696,52,345,"5.43","1.63",27,57,48,587,592,9617,1715,0,1,1,"0.99","16.82","2.02","7.48","3.70","10.96","5.89","0.82",18.2,9,9.2,4.71
"13","2021","Bravos de Leon",66,"586.0",29,37,8,17,24,422,259,10,2680,714,63,377,"5.79","1.66",36,70,45,686,563,10163,1758,2,2,4,"1.22","17.34","1.63","6.48","3.98","10.97","6.34","0.97",15.7,9.7,6,5.28
"14","2021","Rieleros de Aguascalientes",61,"506.2",30,31,8,17,17,440,194,9,2329,637,66,333,"5.92","1.64",35,46,44,518,505,8678,1520,1,2,6,"1.03","17.13","2.27","7.82","3.45","11.32","6.70","1.17",18.9,8.3,10.6,5.13
"15","2021","Guerreros de Oaxaca",65,"547.1",20,45,8,24,21,439,228,9,2524,676,69,365,"6.00","1.65",28,55,59,635,518,9467,1642,1,1,2,"1.23","17.30","1.93","7.22","3.75","11.12","6.81","1.13",17.4,9,8.4,5.25
"16","2021","Pericos de Puebla",62,"506.0",31,31,12,24,30,423,240,8,2389,656,86,363,"6.46","1.77",36,49,39,566,468,9103,1518,1,2,5,"1.21","17.99","1.76","7.52","4.27","11.67","7.20","1.53",17.7,10,7.7,5.99
"17","2021","Generales de Durango",66,"546.0",20,45,5,23,24,358,225,9,2605,784,74,444,"7.32","1.85",22,61,54,596,618,9535,1638,1,0,3,"0.96","17.46","1.59","5.90","3.71","12.92","7.85","1.22",13.7,8.6,5.1,5.62
