"","Year","Team","GP","IP","W","L","SV","SVO","HLD","K","BB","IBB","BF","H","HR","ER","ERA","WHIP","HBP","GIDP","WP"
"1","2019","Toros de Tijuana",120,"1061.1",75,45,29,52,107,980,321,19,4578,1142,126,520,"4.41","1.38",51,96,54
"2","2019","Leones de Yucatan",118,"1040.0",66,52,24,39,59,850,311,11,4508,1115,100,514,"4.45","1.37",75,105,74
"3","2019","Tigres de Quintana Roo",119,"1044.0",62,57,20,35,34,873,406,31,4587,1107,132,563,"4.85","1.45",74,104,88
"4","2019","Sultanes de Monterrey",118,"1040.0",72,46,34,56,77,816,363,10,4608,1194,111,563,"4.87","1.50",61,103,88
"5","2019","Acereros del Norte",120,"1068.0",75,45,32,46,91,958,375,15,4735,1241,158,587,"4.95","1.51",44,113,85
"6","2019","Diablos Rojos del Mexico",116,"1004.1",67,49,29,50,76,802,391,15,4506,1218,122,604,"5.41","1.60",57,102,67
"7","2019","Saraperos de Saltillo",119,"1030.0",66,53,29,41,64,819,369,20,4669,1309,150,625,"5.46","1.63",60,116,85
"8","2019","Pericos de Puebla",117,"1017.1",56,60,23,43,59,752,406,40,4614,1233,161,632,"5.59","1.61",54,109,76
"9","2019","Guerreros de Oaxaca",120,"1044.2",68,51,34,63,79,804,397,18,4726,1302,162,670,"5.77","1.63",31,116,71
"10","2019","Olmecas de Tabasco",117,"1017.0",45,72,22,44,66,751,432,34,4695,1273,126,664,"5.88","1.68",59,97,90
"11","2019","Tecos de los Dos Laredos",120,"1045.2",60,60,37,51,79,826,485,26,4817,1257,161,708,"6.09","1.67",69,105,72
"12","2019","Piratas de Campeche",115,"982.1",47,68,22,40,59,739,476,28,4528,1166,168,683,"6.26","1.67",70,91,95
"13","2019","Generales de Durango",119,"1042.0",47,72,17,41,66,778,449,19,4898,1404,172,783,"6.76","1.78",60,119,99
"14","2019","Rieleros de Aguascalientes",119,"1038.1",54,65,14,33,47,853,534,35,4918,1297,198,793,"6.87","1.76",65,99,101
"15","2019","Bravos de Leon",117,"996.0",47,70,18,34,50,793,456,17,4743,1339,155,794,"7.17","1.80",80,113,83
"16","2019","Algodoneros Union Laguna",116,"990.1",37,79,16,32,32,643,486,12,4803,1413,189,886,"8.05","1.92",87,135,115
"17","2021","Olmecas de Tabasco",66,"575.2",36,30,19,27,37,422,216,9,2486,564,38,228,"3.56","1.35",23,41,45
"18","2021","Leones de Yucatan",64,"544.0",34,30,13,25,33,409,178,6,2300,521,39,223,"3.69","1.28",29,46,34
"19","2021","Toros de Tijuana",65,"573.1",40,25,16,31,38,525,179,6,2423,566,72,246,"3.86","1.30",24,55,33
"20","2021","Diablos Rojos del Mexico",65,"564.0",41,23,18,29,49,436,209,5,2473,622,50,297,"4.74","1.47",25,60,36
