DATE,cam,leo,oax,pue,qui,tab,vra,yuc
2017-03-31,1,0,0,1,0,0,1,1
2017-04-01,1,0.5,0.5,0.5,0,0,0.5,1
2017-04-02,0.667,0.333,0.667,0.667,0,0.333,0.333,1
2017-04-04,0.5,0.25,0.75,0.75,0.25,0.5,0.25,0.75
2017-04-05,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.8
2017-04-06,0.5,0.333,0.667,0.667,0.333,0.4,0.333,0.8
2017-04-07,0.429,0.429,0.714,0.571,0.429,0.333,0.286,0.833
2017-04-08,0.375,0.5,0.625,0.625,0.5,0.286,0.25,0.857
2017-04-09,0.333,0.556,0.556,0.667,0.556,0.25,0.222,0.875
2017-04-11,0.4,0.5,0.6,0.6,0.5,0.222,0.2,0.778
2017-04-12,0.455,0.545,0.545,0.545,0.455,0.2,0.182,0.7
2017-04-13,0.417,0.583,0.5,0.5,0.417,0.182,0.25,0.636
2017-04-14,0.385,0.538,0.538,0.538,0.385,0.167,0.308,0.667
2017-04-15,0.357,0.5,0.571,0.5,0.429,0.231,0.286,0.692
2017-04-16,0.333,0.467,0.571,0.533,0.4,0.214,0.333,0.643
2017-04-18,0.375,0.467,0.6,0.5,0.375,0.2,0.412,0.6
2017-04-19,0.353,0.471,0.563,0.471,0.375,0.25,0.389,0.6
2017-04-20,0.333,0.444,0.529,0.444,0.375,0.294,0.389,0.588
2017-04-21,0.316,0.421,0.529,0.474,0.412,0.278,0.368,0.556
2017-04-22,0.3,0.4,0.5,0.45,0.389,0.263,0.35,0.579
2017-04-23,0.333,0.429,0.5,0.429,0.421,0.3,0.381,0.6
2017-04-25,0.364,0.409,0.476,0.455,0.4,0.286,0.409,0.619
2017-04-26,0.391,0.391,0.5,0.478,0.381,0.273,0.435,0.591
2017-04-27,0.417,0.375,0.478,0.5,0.409,0.261,0.417,0.609
2017-04-28,0.4,0.36,0.5,0.52,0.391,0.292,0.4,0.625
2017-04-29,0.385,0.385,0.52,0.538,0.375,0.28,0.423,0.6
2017-04-30,0.407,0.37,0.5,0.519,0.4,0.308,0.407,0.615
2017-05-02,0.429,0.357,0.481,0.536,0.423,0.296,0.393,0.63
2017-05-03,0.448,0.345,0.464,0.517,0.444,0.321,0.379,0.643
2017-05-04,0.467,0.333,0.448,0.5,0.444,0.345,0.379,0.655
2017-05-05,0.484,0.333,0.467,0.484,0.429,0.345,0.367,0.667
2017-05-06,0.5,0.355,0.484,0.469,0.414,0.333,0.355,0.677
2017-05-07,0.485,0.394,0.469,0.485,0.433,0.313,0.375,0.656
2017-05-09,0.471,0.382,0.485,0.471,0.452,0.303,0.394,0.667
2017-05-10,0.457,0.371,0.5,0.457,0.469,0.294,0.412,0.676
2017-05-11,0.444,0.361,0.486,0.472,0.485,0.286,0.429,0.686
2017-05-12,0.459,0.378,0.472,0.459,0.471,0.278,0.444,0.694
2017-05-13,0.474,0.395,0.459,0.474,0.457,0.297,0.432,0.676
2017-05-14,0.462,0.385,0.474,0.462,0.472,0.316,0.447,0.658
2017-05-16,0.475,0.375,0.462,0.475,0.486,0.333,0.436,0.667
2017-05-17,0.488,0.366,0.475,0.488,0.5,0.325,0.425,0.675
2017-05-18,0.476,0.357,0.463,0.5,0.513,0.317,0.439,0.659
2017-05-19,0.465,0.349,0.452,0.512,0.5,0.333,0.452,0.643
2017-05-20,0.455,0.364,0.442,0.5,0.488,0.326,0.465,0.628
2017-05-21,0.444,0.356,0.432,0.511,0.476,0.341,0.477,0.628
2017-05-23,0.457,0.348,0.444,0.5,0.488,0.356,0.489,0.636
2017-05-24,0.447,0.34,0.435,0.489,0.488,0.348,0.478,0.636
2017-05-25,0.438,0.333,0.447,0.5,0.489,0.34,0.468,0.63
2017-05-26,0.429,0.327,0.438,0.51,0.478,0.333,0.458,0.638
2017-05-27,0.42,0.32,0.429,0.5,0.489,0.347,0.469,0.625
2017-05-28,0.412,0.333,0.44,0.49,0.479,0.34,0.46,0.633
2017-05-30,0.423,0.327,0.431,0.481,0.49,0.353,0.46,0.633
2017-05-31,0.415,0.34,0.442,0.491,0.48,0.346,0.462,0.627
2017-06-01,0.415,0.34,0.442,0.491,0.48,0.346,0.462,0.627
2017-06-02,0.407,0.34,0.434,0.481,0.49,0.358,0.453,0.635
2017-06-03,0.418,0.352,0.426,0.473,0.481,0.37,0.463,0.642
2017-06-04,0.429,0.339,0.436,0.482,0.491,0.364,0.455,0.63
2017-06-06,0.439,0.339,0.429,0.474,0.491,0.375,0.446,0.636
2017-06-07,0.448,0.339,0.421,0.466,0.491,0.386,0.439,0.643
2017-06-08,0.441,0.345,0.431,0.475,0.491,0.379,0.448,0.632
2017-06-09,0.441,0.339,0.431,0.483,0.482,0.39,0.441,0.638
2017-06-10,0.441,0.339,0.441,0.492,0.474,0.383,0.45,0.638
2017-06-11,0.426,0.328,0.45,0.484,0.483,0.377,0.459,0.65
2017-06-13,0.419,0.339,0.459,0.476,0.492,0.387,0.452,0.639
2017-06-14,0.413,0.349,0.452,0.484,0.5,0.381,0.444,0.645
2017-06-15,0.413,0.344,0.444,0.492,0.5,0.381,0.453,0.645
2017-06-20,0.406,0.338,0.438,0.5,0.5,0.375,0.462,0.635
2017-06-21,0.415,0.333,0.431,0.493,0.5,0.369,0.455,0.641
2017-06-22,0.409,0.328,0.424,0.485,0.5,0.379,0.448,0.631
2017-06-23,0.403,0.324,0.433,0.478,0.508,0.373,0.441,0.636
2017-06-24,0.412,0.333,0.441,0.486,0.5,0.382,0.435,0.636
