"","all_star_status","team_id","team_full_name","link","season","team_code","file_code","team_abbreviation","team_name","location_name","first_year_of_play","short_name","parent_org_name","parent_org_id","franchise_name","club_name","active","venue_id","venue_name","venue_link","league_id","league_name","league_link","division_id","division_name","division_link","sport_id","sport_link","sport_name"
"1","N",6304,"Charros de Jalisco","/api/v1/teams/6304",2025,"jal","t6304","JAL","Charros","Jalisco","2024","Jalisco","Office of the Commissioner",11,"Jalisco","Charros",TRUE,4710,"Estadio Panamericano","/api/v1/venues/4710",125,"Mexican League","/api/v1/league/125",222,"Mexican League Norte","/api/v1/divisions/222",23,"/api/v1/sports/23","Independent Leagues"
"2","N",579,"Guerreros de Oaxaca","/api/v1/teams/579",2025,"oax","t579","OAX","Guerreros","Oaxaca","1960","Oaxaca","Office of the Commissioner",11,"Oaxaca","Guerreros",TRUE,2951,"Parque Lic. Eduardo Vasconcelos","/api/v1/venues/2951",125,"Mexican League","/api/v1/league/125",223,"Mexican League Sur","/api/v1/divisions/223",23,"/api/v1/sports/23","Independent Leagues"
"3","N",520,"Pericos de Puebla","/api/v1/teams/520",2025,"pue","t520","PUE","Pericos","Puebla","1960","Puebla","Office of the Commissioner",11,"Puebla","Pericos",TRUE,2869,"Estadio Hermanos Serdan","/api/v1/venues/2869",125,"Mexican League","/api/v1/league/125",223,"Mexican League Sur","/api/v1/divisions/223",23,"/api/v1/sports/23","Independent Leagues"
"4","N",523,"Piratas de Campeche","/api/v1/teams/523",2025,"cam","t523","CAM","Piratas","Campeche","1960","Campeche","Office of the Commissioner",11,"Campeche","Piratas",TRUE,2949,"Estadio Cruz Azul Nelson Barrera Romellón","/api/v1/venues/2949",125,"Mexican League","/api/v1/league/125",223,"Mexican League Sur","/api/v1/divisions/223",23,"/api/v1/sports/23","Independent Leagues"
"5","N",560,"Acereros del Norte","/api/v1/teams/560",2025,"mva","t560","MVA","Acereros","Monclova","1960","Monclova","Office of the Commissioner",11,"Monclova","Acereros",TRUE,2950,"Estadio Kickapoo Lucky Eagle","/api/v1/venues/2950",125,"Mexican League","/api/v1/league/125",222,"Mexican League Norte","/api/v1/divisions/222",23,"/api/v1/sports/23","Independent Leagues"
"6","N",528,"Rieleros de Aguascalientes","/api/v1/teams/528",2025,"agu","t528","AGS","Rieleros","Aguascalientes","1960","Aguascalientes","Office of the Commissioner",11,"Aguascalientes","Rieleros",TRUE,2929,"Estadio Alberto Romo Chavez","/api/v1/venues/2929",125,"Mexican League","/api/v1/league/125",222,"Mexican League Norte","/api/v1/divisions/222",23,"/api/v1/sports/23","Independent Leagues"
"7","N",496,"Leones de Yucatan","/api/v1/teams/496",2025,"yuc","t496","YUC","Leones","Kanasin","1960","Yucatan","Office of the Commissioner",11,"Yucatan","Leones",TRUE,6081,"Estadio de Beisbol Víctor Cervera Pacheco","/api/v1/venues/6081",125,"Mexican League","/api/v1/league/125",223,"Mexican League Sur","/api/v1/divisions/223",23,"/api/v1/sports/23","Independent Leagues"
"8","N",5010,"Toros de Tijuana","/api/v1/teams/5010",2025,"tij","t5010","TIJ","Toros","Tijuana","2014","Tijuana","Office of the Commissioner",11,"Tijuana","Toros",TRUE,2957,"Estadio de los Toros","/api/v1/venues/2957",125,"Mexican League","/api/v1/league/125",222,"Mexican League Norte","/api/v1/divisions/222",23,"/api/v1/sports/23","Independent Leagues"
"9","N",562,"Sultanes de Monterrey","/api/v1/teams/562",2025,"mty","t562","MTY","Sultanes","Monterrey","1960","Monterrey","Office of the Commissioner",11,"Monterrey","Sultanes",TRUE,2701,"Walmart Park","/api/v1/venues/2701",125,"Mexican League","/api/v1/league/125",222,"Mexican League Norte","/api/v1/divisions/222",23,"/api/v1/sports/23","Independent Leagues"
"10","N",434,"Bravos de Leon","/api/v1/teams/434",2025,"leo","t434","LEO","Bravos","Leon","2004","Leon","Office of the Commissioner",11,"Leon","Bravos",TRUE,5320,"Estadio Domingo Santana TV4","/api/v1/venues/5320",125,"Mexican League","/api/v1/league/125",223,"Mexican League Sur","/api/v1/divisions/223",23,"/api/v1/sports/23","Independent Leagues"
